year,Base case cost,Sheep creek,Water supply creek (hoonah),Turner lake (turner creek),Yehring creek,Tease creek (tease lake),Treadwell ditch,Sawmill creek,Sweetheart lake -- sweetheart falls creek,Peterson lake,Rhine creek,Davidson creek,Davies creek,"Funter bay (s funter bay creek; 58.13', 134.52') -- south funter bay creek","Greens creek (hawk inlet; 58.04', 134.43')",Bear creek (taku harbor),Boundary lake (boundary creek),Carlson creek,Cowee creek,Lemon creek,Nugget creek
2031,349865.556478,3351207.00801,1002445.2889,5764666.67427,7462815.18819,25795761.7188,5685376.87683,2668960.83362,13658104.0821,3991930.18504,2375664.62929,440095.795217,4100505.57722,748822.116445,1043190.01442,305124.190104,28538443.5289,13999466.0801,885236.870529,7030078.84426,8871774.5187
2032,357757.26076,3348730.25149,1001958.11294,5760538.74673,7455778.20201,25776815.9867,5681248.9493,2667516.05898,13624272.4178,3989040.63577,2373910.26008,442615.521538,4097889.50314,753818.395959,1048374.88482,308785.99048,28512731.464,13989146.2613,885005.706587,7024893.13529,8865820.14578
2033,365648.965041,3346253.49497,1001470.93697,5756410.81919,7448741.21583,25757870.2547,5677121.02176,2666071.28434,13590440.7535,3986151.08649,2372155.89088,445135.247859,4095273.42907,758814.675474,1053559.75522,312447.790857,28487019.3991,13978826.4424,884774.542645,7019707.42632,8859865.77286
2034,374417.525354,3343501.54327,1000929.63034,5751824.23304,7440922.3423,25736819.4413,5672534.4356,2664465.97919,13552850.0153,3982940.47618,2370206.59176,447934.943772,4092366.68009,764366.097158,1059320.72233,316516.457941,28458450.4381,13967359.977,884517.69382,7013945.52746,8853249.80295
2035,380555.517573,3341575.17709,1000550.7157,5748613.62273,7435449.13082,25722083.872,5669323.8253,2663342.26558,13526536.4986,3980693.04896,2368842.08238,449894.73091,4090331.95581,768252.092336,1063353.39931,319364.5249,28438452.1654,13959333.4513,884337.899643,7009912.19826,8848618.62401
2036,389324.077886,3338823.2254,1000009.40907,5744027.03658,7427630.25729,25701033.0586,5664737.23914,2661736.96042,13488945.7605,3977482.43865,2366892.78327,452694.426822,4087425.20683,773803.514019,1069114.36642,323433.191985,28409883.2044,13947866.9859,884081.050818,7004150.2994,8842002.65409
2037,394585.214073,3337172.05438,999684.625095,5741275.08489,7422938.93317,25688402.5706,5661985.28745,2660773.77733,13466391.3176,3975556.07247,2365723.2038,454374.24437,4085681.15745,777134.367029,1072570.94669,325874.392235,28392741.8278,13940987.1066,883926.941523,7000693.16009,8838033.07214
2038,403353.774386,3334420.10269,999143.318466,5736688.49873,7415120.05963,25667351.7572,5657398.7013,2659168.47218,13428800.5794,3972345.46216,2363773.90468,457173.940282,4082774.40847,782685.788712,1078331.9138,329943.05932,28364172.8668,13929520.6413,883670.092699,6994931.26123,8831417.10223
2039,410368.622636,3332218.54133,998710.273162,5733019.22981,7408864.9608,25650511.1066,5653729.43237,2657884.22805,13398727.9889,3969776.97391,2362214.46539,459413.697012,4080449.00929,787126.926059,1082940.68749,333197.992988,28341317.698,13920347.469,883464.613639,6990321.74214,8826124.3263
2040,420014.03898,3329191.39447,998114.83587,5727973.98504,7400264.19991,25627355.2119,5648684.1876,2656118.39238,13357378.1769,3966245.30257,2360070.23636,462493.362515,4077251.58542,793233.48991,1089277.75131,337673.526781,28309891.8409,13907734.357,883182.079932,6983983.6534,8818846.75939
2041,420014.03898,3329191.39447,998114.83587,5727973.98504,7400264.19991,25627355.2119,5648684.1876,2656118.39238,13357378.1769,3966245.30257,2360070.23636,462493.362515,4077251.58542,793233.48991,1089277.75131,337673.526781,28309891.8409,13907734.357,883182.079932,6983983.6534,8818846.75939
2042,420014.03898,3329191.39447,998114.83587,5727973.98504,7400264.19991,25627355.2119,5648684.1876,2656118.39238,13357378.1769,3966245.30257,2360070.23636,462493.362515,4077251.58542,793233.48991,1089277.75131,337673.526781,28309891.8409,13907734.357,883182.079932,6983983.6534,8818846.75939
2043,420014.03898,3329191.39447,998114.83587,5727973.98504,7400264.19991,25627355.2119,5648684.1876,2656118.39238,13357378.1769,3966245.30257,2360070.23636,462493.362515,4077251.58542,793233.48991,1089277.75131,337673.526781,28309891.8409,13907734.357,883182.079932,6983983.6534,8818846.75939
2044,420014.03898,3329191.39447,998114.83587,5727973.98504,7400264.19991,25627355.2119,5648684.1876,2656118.39238,13357378.1769,3966245.30257,2360070.23636,462493.362515,4077251.58542,793233.48991,1089277.75131,337673.526781,28309891.8409,13907734.357,883182.079932,6983983.6534,8818846.75939
2045,420014.03898,3329191.39447,998114.83587,5727973.98504,7400264.19991,25627355.2119,5648684.1876,2656118.39238,13357378.1769,3966245.30257,2360070.23636,462493.362515,4077251.58542,793233.48991,1089277.75131,337673.526781,28309891.8409,13907734.357,883182.079932,6983983.6534,8818846.75939
2046,420014.03898,3329191.39447,998114.83587,5727973.98504,7400264.19991,25627355.2119,5648684.1876,2656118.39238,13357378.1769,3966245.30257,2360070.23636,462493.362515,4077251.58542,793233.48991,1089277.75131,337673.526781,28309891.8409,13907734.357,883182.079932,6983983.6534,8818846.75939
2047,420014.03898,3329191.39447,998114.83587,5727973.98504,7400264.19991,25627355.2119,5648684.1876,2656118.39238,13357378.1769,3966245.30257,2360070.23636,462493.362515,4077251.58542,793233.48991,1089277.75131,337673.526781,28309891.8409,13907734.357,883182.079932,6983983.6534,8818846.75939
2048,420014.03898,3329191.39447,998114.83587,5727973.98504,7400264.19991,25627355.2119,5648684.1876,2656118.39238,13357378.1769,3966245.30257,2360070.23636,462493.362515,4077251.58542,793233.48991,1089277.75131,337673.526781,28309891.8409,13907734.357,883182.079932,6983983.6534,8818846.75939
2049,420014.03898,3329191.39447,998114.83587,5727973.98504,7400264.19991,25627355.2119,5648684.1876,2656118.39238,13357378.1769,3966245.30257,2360070.23636,462493.362515,4077251.58542,793233.48991,1089277.75131,337673.526781,28309891.8409,13907734.357,883182.079932,6983983.6534,8818846.75939
2050,420014.03898,3329191.39447,998114.83587,5727973.98504,7400264.19991,25627355.2119,5648684.1876,2656118.39238,13357378.1769,3966245.30257,2360070.23636,462493.362515,4077251.58542,793233.48991,1089277.75131,337673.526781,28309891.8409,13907734.357,883182.079932,6983983.6534,8818846.75939
