year,Base case cost,"Port lions (unnamed stream, site #3) -- unnamed creek, 3","Port lions (unnamed stream, site #2) -- unnamed creek, 2","Uganik bay (one mile, 1/2 mile creek, ne arm uganik bay) -- 0","Port lions (unnamed stream, site #1) -- unnamed creek, 1",Port lions (mennonite creek),"Kodiak (unnamed stream, site #5) -- unnamed creek","Kodiak (unnamed stream, site #4) -- unnamed creek",Kodiak (leanne lake),Kodiak (virginia creek),"Monashka bay, upper -- monashka creek","Monashka bay, lower -- monashka creek","Port lions (crescent lake, port lions river)","Pillar creek, 1"
2031,0.0,181606.877256,538923.617355,528905.404717,104735.552645,110822.636612,551411.175132,467222.517993,2689796.08119,316543.181125,129777.255823,107907.411115,409605.267916,79027.1641718
2032,0.0,177905.519234,528138.371606,518998.093153,102680.763973,107600.312602,538956.073041,457049.294162,2634779.11892,310394.115,127327.448995,105862.222362,400989.050585,77484.5914023
2033,0.0,174286.857363,517596.232355,509321.536226,100672.744325,104439.59417,526766.128134,447096.347195,2580989.24088,304385.6924,124934.480318,103864.388523,392562.448817,75977.2169981
2034,0.0,170733.227123,507253.983264,499864.70906,98705.0056644,101285.053816,514731.332056,437288.082886,2528155.74378,298501.137275,122594.771026,101910.553095,384273.204419,74500.5090759
2035,0.0,167337.093644,497331.171028,490656.029293,96808.828807,98459.1831703,503468.378009,428042.0481,2477702.2018,292818.108726,120320.499882,100013.111898,376403.861737,73075.9035079
2036,0.0,163939.345346,487447.176796,481634.173774,94929.2495837,95420.7691052,491933.402252,418649.004871,2427181.75399,287198.666131,118087.930296,98148.5403076,368472.041981,71665.5443753
2037,0.0,160695.440355,477971.87916,472850.271092,93119.1659437,92708.3030624,481158.554085,409808.459504,2378987.04965,281774.536589,115918.287792,96338.2708454,360951.746871,70305.7325602
2038,0.0,157462.079,468562.429381,464248.853461,91329.0540036,89834.6192873,470204.037903,400881.833454,2330914.4412,276421.40474,113790.141223,94561.0745134,353408.607921,68962.3554909
2039,0.0,154316.171441,459401.35938,455853.200117,89584.8996051,87068.3534486,459583.302622,392216.698569,2284148.10203,271203.741405,111713.540508,92827.198638,346077.748313,67653.2150549
2040,0.0,151193.131273,450333.653033,447636.153882,87864.1844585,84192.3187081,448875.783042,383526.851073,2237695.31328,266064.768637,109678.343718,91126.6940743,338764.057122,66362.768033
2041,0.0,148342.937902,441954.780212,439682.99845,86252.2501897,82069.0298982,439736.914517,375934.821084,2195402.80859,261217.369586,107719.368363,89494.5665956,332228.795004,65149.6263499
2042,0.0,145559.545938,433772.287223,431916.2451,84678.0956304,79995.5056698,430812.238222,368520.729299,2154101.53448,256483.581451,105806.306493,87900.6921047,325846.703093,63964.9176749
2043,0.0,142841.389698,425781.571338,424331.524959,83140.835304,77970.5796464,422096.733946,361280.405221,2113768.2586,251860.741431,103938.081992,86344.1740325,319614.191401,62807.9755986
2044,0.0,140186.940264,417978.137911,416924.571748,81639.6045269,75993.1128404,413585.499361,354209.776288,2074380.29414,247346.249256,102113.644016,84824.1368632,313527.754245,61678.14936
2045,0.0,137594.704491,410357.597465,409691.219013,80173.5588482,74061.9929153,405273.746847,347304.86523,2035915.48516,242937.565497,100331.966308,83339.7255671,307583.967968,60574.8034255
2046,0.0,135063.224243,402915.663431,402627.397979,78741.8736143,72176.1336123,397156.801029,340561.788021,1998352.19511,238632.210261,98592.0466697,81890.1051598,301779.489178,59497.3171606
2047,0.0,132591.075572,395648.149753,395729.135276,77343.7435082,70334.4741437,389230.096157,333976.751709,1961669.29482,234427.761804,96892.9064044,80474.4602362,296111.052881,58445.084484
2048,0.0,130176.867866,388550.968367,388992.550547,75978.3820648,68535.9785535,381489.173365,327546.052131,1925846.14969,230321.855072,95233.5897248,79091.9944786,290575.470512,57417.513502
2049,0.0,127819.24316,381620.127193,382413.854545,74645.0212848,66779.6352095,373929.678476,321266.072094,1890862.60964,226312.180544,93613.1632854,77741.9302668,285169.628373,56414.0262182
2050,0.0,125516.875285,374851.727614,375989.346736,73342.9111492,65064.4561643,366547.359256,315133.279096,1856698.99634,222396.482765,92030.7155921,76423.5081861,279890.485665,55434.0581685
2051,0.0,123268.469161,368241.96241,369715.413338,72071.3192215,63389.4766301,359338.063151,309144.223441,1823336.09278,218572.559158,90485.3565186,75135.9866246,274735.07287,54477.0581213
2052,0.0,121072.760046,361787.113551,363588.525228,70829.5302246,61753.754422,352297.734895,303295.536254,1790755.13213,214838.258746,88976.2167922,73878.6413446,269700.490042,53542.4877588
2053,0.0,118928.512881,355483.550264,357605.236107,69616.8456673,60156.3694663,345422.414389,297583.92772,1758937.78801,211191.481029,87502.4475402,72650.7651046,264783.905289,52629.8213967
2054,0.0,116834.521494,349327.7267,351762.180286,68432.5833962,58596.42321,338708.234162,292006.184974,1727866.16268,207630.174641,86063.2197454,71451.6672059,259982.552959,51738.5456464
2055,0.0,114789.608033,343316.180254,346056.071089,67276.0772729,57073.0381949,332151.417538,286559.170576,1697522.77859,204152.336374,84657.7238528,70280.673165,255293.732327,50868.1591721
2056,0.0,112792.622231,337445.529431,340483.698829,66146.6767623,55585.3575169,325748.276307,281239.820581,1667890.56758,200756.009942,83285.169271,69137.1242974,250714.805931,50018.1723812
2057,0.0,110842.440778,331712.471969,335041.929027,65043.7465729,54132.5443503,319495.208679,276045.142835,1638952.86143,197439.284901,81944.783933,68020.377353,246243.198108,49188.1071531
2058,0.0,108937.966721,326113.783093,329727.700755,63966.6663198,52713.7815055,313388.697381,270972.215396,1610693.38302,194200.295634,80635.8138885,66929.8041752,241876.393635,48377.4965863
2059,0.0,107078.12876,320646.313447,324538.024668,62914.8301271,51328.2709044,307425.307396,266018.184657,1583096.23593,191037.220153,79357.5228198,65864.7912982,237611.936109,47585.8846987
2060,0.0,105261.880745,315306.987602,319469.981597,61887.6463417,49975.2332034,301601.684344,261180.263996,1556145.89689,187948.279244,78109.1916937,64824.739657,233447.426792,46812.8262121
2061,0.0,103488.201058,310092.80225,314520.720827,60884.5371846,48653.9073345,295914.552504,256455.732141,1529827.20663,184931.735412,76890.1183386,63809.0642346,229380.523196,46057.8862901
2062,0.0,101756.091974,305000.824325,309687.458316,59904.9383903,47363.55003,290360.712771,251841.931462,1504125.36047,181985.891802,75699.6170054,62817.1936967,225408.937621,45320.6402664
2063,0.0,100064.579202,300028.189647,304967.475409,58948.2989454,46103.4354783,284937.041172,247336.26675,1479025.9014,179109.091409,74537.0180504,61848.5701272,221530.436093,44600.6734484
2064,0.0,98412.7112645,295172.101107,300358.117113,58014.0807401,44872.8548649,279640.486891,242936.203566,1454514.71096,176299.716034,73401.6675116,60902.6486753,217742.836955,43897.5808546
2065,0.0,96799.5589966,290429.827185,295856.790693,57101.7582822,43671.1159954,274468.070647,238639.266902,1430578.00177,173556.185418,72292.926761,59978.8972656,214044.009705,43210.9669997
2066,0.0,95224.2149477,285798.700199,291460.964008,56210.8183609,42497.5428529,269416.88279,234443.039592,1407202.30864,170876.956238,71210.1720962,59076.7962584,210431.873633,42540.4456411
2067,0.0,93685.7930539,281276.115337,287168.164591,55340.7598603,41351.4753525,264484.082241,230345.161437,1384374.48376,168260.521542,70152.7945137,58195.8382601,206904.397067,41885.6396392
2068,0.0,92183.4279109,276859.528521,282975.977626,54491.0933488,40232.2687999,259666.894165,226343.327268,1362081.68583,165705.409512,69120.1992098,57335.5277077,203459.595705,41246.1806478
2069,0.0,90716.2744662,272546.455503,278882.045085,53661.3409048,39139.2936623,254962.608983,222435.286128,1340311.37559,163210.182946,68111.8053689,56495.3806927,200095.53191,40621.7089829
2070,0.0,89283.5074251,268334.470119,274884.064074,52851.0357808,38071.9351256,250368.580469,218618.839688,1319051.30691,160773.438245,67127.045755,55674.9246205,196810.313348,40011.8733705
