year,Base case diesel consumed,Cordova (lake 1878 elevation - fidalgo creek tributary),"Cordova (lake 1975 elevation - dead creek tributary) -- dead creek, lake 1975","Valdez (lowe river) -- lower river, keystone canyon",Valdez (mineral creek),Valdez (tsina river),Tasnuna river,Tiekel river,"Cleave creek -- copper river, cleave site",Nelchina river,Valdez (tonsina river),Tolsona creek,Kenney lake (tonsina river tributary),Chitina (liberty creek),"Glennallen (tazlina, cache creek)",Kenney lake (tonsina river tributary),Cordova (dead creek - gravina river tributary)
2035,2118399.52075,1470467.76957,1877160.44233,1795628.46135,1753013.35056,-38327.4733927,1602441.34685,-38327.4733927,-38327.4733927,-38327.4733927,1509612.2238,-38327.4733927,2024122.83374,2111571.99966,2083977.43527,1850988.27817,-38327.4733927
2036,2114849.33891,1466917.58772,1873610.26049,1792078.27951,1749463.16872,-41877.6552381,1598891.165,-41877.6552381,-41877.6552381,-41877.6552381,1506062.04196,-41877.6552381,2020572.65189,2108021.81782,2080427.25342,1847438.09632,-41877.6552381
2037,2111806.3259,1463874.57471,1870567.24748,1789035.26649,1746420.15571,-44920.6682485,1595848.15199,-44920.6682485,-44920.6682485,-44920.6682485,1503019.02895,-44920.6682485,2017529.63888,2104978.80481,2077384.24041,1844395.08331,-44920.6682485
2038,2109125.57634,1461193.82516,1867886.49792,1786354.51694,1743739.40615,-47601.4178053,1593167.40244,-47601.4178053,-47601.4178053,-47601.4178053,1500338.27939,-47601.4178053,2014848.88933,2102298.05525,2074703.49086,1841714.33375,-47601.4178053
2039,2106879.54293,1458947.79174,1865640.46451,1784108.48353,1741493.37274,-49847.4512177,1590921.36903,-49847.4512177,-49847.4512177,-49847.4512177,1498092.24598,-49847.4512177,2012602.85591,2100052.02184,2072457.45745,1839468.30034,-49847.4512177
2040,2103981.4353,1456049.68411,1862742.35688,1781210.3759,1738595.26511,-52745.5588467,1588023.2614,-52745.5588467,-52745.5588467,-52745.5588467,1495194.13835,-52745.5588467,2009704.74828,2097153.91421,2069559.34982,1836570.19271,-52745.5588467
2041,2101880.30727,1453948.55608,1860641.22885,1779109.24787,1736494.13708,-54846.6868776,1585922.13337,-54846.6868776,-54846.6868776,-54846.6868776,1493093.01032,-54846.6868776,2007603.62025,2095052.78618,2067458.22179,1834469.06468,-54846.6868776
2042,2099851.63193,1451919.88074,1858612.55351,1777080.57253,1734465.46174,-56875.3622179,1583893.45802,-56875.3622179,-56875.3622179,-56875.3622179,1491064.33498,-56875.3622179,2005574.94491,2093024.11084,2065429.54645,1832440.38934,-56875.3622179
2043,2097605.59851,1449673.84733,1856366.5201,1774834.53911,1732219.42833,-59121.3956303,1581647.42461,-59121.3956303,-59121.3956303,-59121.3956303,1488818.30156,-59121.3956303,2003328.9115,2090778.07743,2063183.51303,1830194.35593,-59121.3956303
2044,2095214.65972,1447282.90854,1853975.5813,1772443.60032,1729828.48953,-61512.3344242,1579256.48582,-61512.3344242,-61512.3344242,-61512.3344242,1486427.36277,-61512.3344242,2000937.97271,2088387.13863,2060792.57424,1827803.41714,-61512.3344242
2045,2092896.17362,1444964.42243,1851657.0952,1770125.11422,1727510.00343,-63830.8205273,1576937.99972,-63830.8205273,-63830.8205273,-63830.8205273,1484108.87667,-63830.8205273,1998619.4866,2086068.65253,2058474.08814,1825484.93103,-63830.8205273
2046,2091229.76173,1443298.01055,1849990.68331,1768458.70233,1725843.59154,-65497.232414,1575271.58783,-65497.232414,-65497.232414,-65497.232414,1482442.46478,-65497.232414,1996953.07472,2084402.24064,2056807.67625,1823818.51915,-65497.232414
2047,2089418.44446,1441486.69328,1848179.36605,1766647.38506,1724032.27427,-67308.5496821,1573460.27056,-67308.5496821,-67308.5496821,-67308.5496821,1480631.14751,-67308.5496821,1995141.75745,2082590.92338,2054996.35898,1822007.20188,-67308.5496821
2048,2087824.48527,1439892.73408,1846585.40685,1765053.42587,1722438.31508,-68902.508878,1571866.31136,-68902.508878,-68902.508878,-68902.508878,1479037.18832,-68902.508878,1993547.79825,2080996.96418,2053402.39979,1820413.24268,-68902.508878
2049,2086230.52607,1438298.77489,1844991.44765,1763459.46667,1720844.35588,-70496.4680739,1570272.35217,-70496.4680739,-70496.4680739,-70496.4680739,1477443.22912,-70496.4680739,1991953.83906,2079403.00498,2051808.44059,1818819.28349,-70496.4680739
2050,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2051,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2052,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2053,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2054,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2055,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2056,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2057,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2058,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2059,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2060,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2061,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2062,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2063,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2064,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2065,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2066,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2067,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2068,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2069,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
2070,2084346.75611,1436415.00493,1843107.67769,1761575.69671,1718960.58592,-72380.2380327,1568388.58221,-72380.2380327,-72380.2380327,-72380.2380327,1475559.45916,-72380.2380327,1990070.0691,2077519.23502,2049924.67063,1816935.51353,-72380.2380327
