year,Base case cost,Cordova (lake 1878 elevation - fidalgo creek tributary),"Cordova (lake 1975 elevation - dead creek tributary) -- dead creek, lake 1975","Valdez (lowe river) -- lower river, keystone canyon",Valdez (mineral creek),Valdez (tsina river),Tasnuna river,Tiekel river,"Cleave creek -- copper river, cleave site",Nelchina river,Valdez (tonsina river),Tolsona creek,Kenney lake (tonsina river tributary),Chitina (liberty creek),"Glennallen (tazlina, cache creek)",Kenney lake (tonsina river tributary),Cordova (dead creek - gravina river tributary)
2038,8689597.37452,8855761.21813,9094065.61297,8346004.64553,8487528.92648,17707377.5256,9706570.24632,62074344.7304,1259156447.07,68484158.6409,10028868.9309,16144626.2051,8873237.4325,9005197.03106,8699290.28152,8481183.62841,7809179.62333
2039,8827825.28486,8889482.24513,9187277.05372,8439771.10576,8572094.22667,17339012.1103,9745810.26625,60909838.4523,1234916620.52,67139525.4005,10047816.1486,15804785.9387,8993417.02521,9136729.89941,8831950.72703,8581216.8704,7619240.12353
2040,9026080.35743,8964109.08308,9333539.47793,8583861.20521,8705780.08998,16969195.7211,9830220.36677,59761480.2523,1210890674.39,65802266.5882,10109318.6226,15462958.654,9170908.15903,9328219.54543,9023622.85343,8733269.89478,7424063.8025
2041,9017066.51818,8900940.87719,9298539.38365,8555117.28016,8671254.56908,16631817.8577,9763045.56949,58667080.7969,1188513817.08,64563503.0625,10029311.4813,15152504.9069,9151304.16098,9313300.38628,9011717.29649,8706613.92761,7256010.62732
2042,9008363.50097,8839352.7363,9264459.16427,8527146.60103,8637637.80027,16302446.8482,9697544.7417,57598430.8889,1166661516.93,63353872.6171,9951279.06759,14849426.9796,9132259.19182,9298830.45511,9000190.33623,8680682.26985,7091995.75862
2043,8998728.01763,8778071.62389,9230041.2567,8498695.04142,8603672.48115,15979659.0257,9632442.64595,56553691.0103,1145320243.41,62171456.4311,9873939.0948,14552315.9955,9112524.14593,9283563.21981,8987797.09598,8654221.94207,6930688.54389
2044,8988470.8902,8717379.31217,9195582.54327,8470062.83964,8569655.74863,15663589.0692,9568018.90521,55532589.7538,1124478308.66,61015905.6567,9797564.30235,14261321.0762,9092404.16453,9267806.33464,8974846.84658,8627534.30261,6772314.49229
2045,8978524.58482,8658179.89719,9162001.8766,8442172.12574,8536506.70394,15354997.4233,9505175.51659,54535490.9801,1104124927.21,59887508.5257,9723049.96482,13977216.7714,9072826.16581,9252489.17209,8962270.53928,8601542.57534,6617722.75335
2046,8971375.67783,8602932.25033,9131772.53865,8417499.38229,8506698.87182,15056202.6758,9446369.30171,53564325.9901,1084251142.4,58788122.4837,9652846.33888,13702335.4429,9056271.3083,9240095.2874,8952553.27104,8578724.31103,6469318.54007
2047,8963605.12675,8548190.27378,9101462.50429,8392615.70973,8476800.46426,14763621.7346,9388152.1611,52615133.4865,1064842360.31,57713714.1094,9583498.91407,13433107.45,9039315.25869,9227202.6878,8942274.55469,8555651.65325,6323603.35445
2048,8956767.04179,8495481.65574,9072613.20501,8369065.59194,8448353.14427,14478648.5007,9332049.82813,51688938.0182,1045889221.72,56665237.5164,9516527.16285,13170939.8298,9023506.96027,9215362.6023,8932987.08957,8533870.10459,6182053.71119
2049,8949928.95684,8443848.12848,9044279.79365,8345907.16248,8420412.29081,14200194.0603,9277102.12614,50784289.9916,1027380137.11,55641174.3293,9450964.79463,12914756.4964,9007908.90125,9203639.75121,8923757.0318,8512438.79342,6043661.37051
2050,8941847.58372,8392021.20626,9015206.89084,8321887.95293,8391722.74532,13926862.3403,9222038.70516,49899441.0981,1009303455.64,54639709.0683,9385535.48868,12663173.9043,8991272.86595,9190788.09865,8913339.74773,8490106.22283,5907109.04465
2051,8941847.58372,8349300.94353,8994707.35016,8306323.65957,8371597.57703,13667828.7988,9176157.79912,49043222.8177,991658338.375,53669607.6165,9329531.6481,12425379.7454,8982918.70369,9186129.62265,8911058.5847,8476189.03781,5781649.13003
2052,8941847.58372,8307581.93679,8974688.26738,8291124.15427,8351944.09229,13414866.3548,9131352.22662,48207072.1497,974426778.476,52722242.9136,9274840.39731,12193158.8862,8974760.34207,9181580.32966,8908830.88641,8462598.03677,5659129.68165
2053,8941847.58372,8266840.71959,8955138.38201,8276280.8875,8332751.23625,13167832.7202,9087596.7851,47390518.7697,957599083.4,51797082.0785,9221430.97315,11966380.7053,8966793.19211,9177137.66076,8906655.39983,8449325.57492,5539481.78383
2054,8941847.58372,8227054.37441,8936046.69695,8261785.5097,8314008.21265,12926588.9347,9044866.86144,46593103.3542,941165787.317,50893604.6944,9169273.33201,11744917.6365,8959012.77219,9172799.11688,8904530.90119,8436364.18631,5422638.13283
2055,8941847.58372,8188200.52172,8917402.47328,8247629.86732,8295704.47868,12690999.3006,9003138.42039,45814377.3629,925117646.621,50011302.5621,9118338.13562,11528645.1085,8951414.70585,9168562.25763,8902456.19549,8423706.58025,5308533.00496
2056,8941847.58372,8150257.30622,8899195.2236,8233805.99782,8277829.73848,12460931.2987,8962387.98971,45053902.7625,909445634.23,49149679.3863,9068596.73292,11317441.4679,8943994.7192,9164424.69977,8900430.11571,8411345.63684,5197102.21608
2057,8941847.58372,8113203.38472,8881414.70629,8220306.12521,8260373.93745,12236255.5149,8922592.64712,44311251.7832,894140934.582,48308250.5012,9020021.1442,11111187.9121,8936748.63847,9160384.11591,8898451.52217,8399274.403,5088283.08599
2058,8941847.58372,8077017.91484,8864050.92001,8207122.656,8243327.25692,12016845.5718,8883730.00823,43586006.693,879194938.971,47486542.6132,8972584.04628,10909768.4258,8929672.38782,9156438.23327,8896519.30193,8387486.08882,4982014.40524
2059,8941847.58372,8041680.54164,8847094.09734,8194248.17424,8226680.10783,11802578.0476,8845778.21215,42877759.5292,864599240.022,46684093.4978,8926258.75499,10713069.7073,8922761.98674,9152584.83222,8894632.36809,8375974.06316,4878236.39591
2060,8941847.58372,8007171.38801,8830534.70015,8181675.43811,8210423.12625,11593332.4178,8808715.91117,42186111.906,850345627.718,45900451.7808,8881019.21256,10520981.1143,8916013.54816,9148821.74525,8892789.65926,8364731.85057,4776890.68333
2061,8941847.58372,7973471.04295,8814363.41396,8169397.37559,8194547.16781,11388990.9841,8772522.25817,41510674.7795,836426084.569,45135176.673,8836839.97227,10333394.5993,8909423.27617,9145146.85566,8890990.13892,8353753.12743,4677920.26172
2062,8941847.58372,7940560.54945,8798571.14216,8157407.08005,8179043.30201,11189438.8012,8737176.89362,40851068.2053,822832780.6,44387837.6943,8793696.18257,10150204.6417,8902987.46362,9141558.09627,8889232.79484,8343031.71802,4581269.45856
2063,8941847.58372,7908421.39574,8783149.00178,8145697.8071,8163902.80811,10994563.6231,8702659.93614,40206921.1619,809558069.729,43658014.4749,8751563.57556,9971308.19928,8896702.49045,9138053.44843,8887516.6385,8332561.59167,4486883.90886
2064,8941847.58372,7877035.50353,8768088.31785,8134262.97027,8149117.16957,10804255.8325,8668951.96996,39577871.3167,796594484.931,42945296.4893,8710418.45165,9796604.64269,8890564.82135,9134630.94079,8885840.70459,8322336.85894,4394710.52074
2065,8941847.58372,7846385.21844,8753380.61884,8123096.13753,8134678.06957,10618408.3824,8636034.03452,38963564.8326,783934734.265,42249282.8377,8670237.66693,9625995.70223,8884571.00393,9131288.6482,8884204.05039,8312351.76847,4304697.44722
2066,8941847.58372,7816453.2987,8739017.63118,8112191.02717,8120577.38564,10436916.7276,8603887.61244,38363656.1427,771571696.214,41569581.99,8630998.61843,9459385.40489,8878717.66647,9128024.69051,8882605.75524,8302600.70333,4216794.05303
2067,8941847.58372,7787222.90888,8724991.27631,8101541.50553,8106807.18676,10259678.7868,8572494.62271,37777807.8237,759498417.093,40905811.6434,8592679.23585,9296680.03944,8873001.5167,9124837.2319,8881044.92016,8293078.17895,4130950.89625
2068,8941847.58372,7758677.60608,8711293.66402,8091141.58197,8093359.72679,10086594.8589,8541837.40593,37205690.3199,747708105.355,40257598.4089,8555257.96349,9137788.07969,8867419.33916,9121724.47932,8879520.66714,8283778.83867,4047119.68777
2069,8941847.58372,7730801.33412,8697917.08966,8080985.40673,8080227.44181,9917567.58724,8511898.71798,36646981.826,736194129.168,39624577.6787,8518713.75258,8982620.15186,8861967.99395,9118684.68191,8878032.13882,8274697.45176,3965253.27409
2070,8941847.58372,7703578.41217,8684854.02871,8071067.26681,8067402.94471,9752501.89169,8482661.71793,36101368.0604,724950011.758,39006393.3697,8483026.04649,8831088.97179,8856644.41463,9115716.12974,8876578.49787,8265828.90983,3885305.6042
