year,Base case cost,Nome (penny river),Nome (osborn creek),Nome (buster creek),Nome (buster) -- buster creek,"Nome (sulphur creek) -- sulphur creek, aka alfield creek",Nome (david creek),Nome (nome river)
2041,7850117.39491,8446361.70606,8393944.99718,8268549.03987,8592726.27768,9076957.18996,9230172.31589,9357893.25463
2042,7849867.86043,8432593.62823,8377855.16322,8260094.08693,8572341.86273,9052756.4603,9201608.52816,9324238.21186
2043,7849618.27657,8419142.34195,8362136.53697,8251831.39913,8552429.30974,9029117.03751,9173708.30648,9291366.06145
2044,7849618.28373,8406250.06153,8347030.05736,8244006.10945,8533227.19854,9006275.40499,9146705.73754,9259508.09334
2045,7849368.72659,8393410.37985,8332028.07179,8236114.66089,8514225.57276,8983719.55918,9120086.47728,9228147.23234
2046,7849119.1619,8380865.77164,8317371.83869,8228402.3116,8495663.44101,8961686.50944,9094085.24935,9197515.53493
2047,7849119.16383,8368858.89518,8303302.82854,8221114.43798,8477780.07673,8940413.57681,9068937.14271,9167845.48547
2048,7848869.60378,8356883.86795,8289313.99888,8213747.81195,8460066.29186,8919389.6666,9044128.88289,9138621.26585
2049,7848869.60301,8345433.21551,8275896.7425,8206797.55136,8443011.38387,8899102.21431,9020145.77665,9110325.69882
2050,7848620.04322,8334001.37879,8262544.39413,8199760.62852,8426106.64136,8879040.69028,8996475.21558,9082443.7503
2051,7848620.04322,8323081.18649,8249748.70216,8193132.3443,8409841.81452,8859693.06898,8973603.14405,9055458.99572
2052,7848620.04322,8312416.93619,8237252.90923,8186659.41049,8393958.19454,8840798.90754,8951267.13669,9029106.69631
2053,7848620.04322,8302002.6293,8225049.98648,8180338.18609,8378446.84697,8822347.57809,8929454.62958,9003372.02901
2054,7848620.04322,8291832.40764,8213133.06963,8174165.11533,8363299.04648,8804328.70151,8908153.35292,8978240.51776
2055,7848620.04322,8281900.55058,8201495.45557,8168136.72594,8348506.2726,8786732.14241,8887351.32501,8953698.02639
2056,7848620.04322,8272201.47142,8190130.59809,8162249.62693,8334060.20438,8769548.00268,8867036.84464,8929730.74968
2057,7848620.04322,8262729.71445,8179032.10447,8156500.50681,8319952.71591,8752766.61624,8847198.48493,8906325.20605
2058,7848620.04322,8253479.95175,8168193.73175,8150886.13167,8306175.87163,8736378.54349,8827825.0867,8883468.22976
2059,7848620.04322,8244446.98043,8157609.38348,8145403.34349,8292721.92226,8720374.56632,8808905.75264,8861146.96403
2060,7848620.04322,8235625.71932,8147273.10581,8140049.05812,8279583.29973,8704745.68226,8790429.84035,8839348.85282
2061,7848620.04322,8227011.20652,8137179.08465,8134820.26382,8266752.61368,8689483.10017,8772386.95727,8818061.63486
2062,7848620.04322,8218598.59637,8127321.64211,8129714.01939,8254222.64684,8674578.23487,8754766.95427,8797273.33607
2063,7848620.04322,8210383.15674,8117695.23335,8124727.45255,8241986.35106,8660022.7023,8737559.92003,8776972.26298
2064,7848620.04322,8202360.26656,8108294.44364,8119857.75841,8230036.84357,8645808.31516,8720756.17582,8757146.99647
2065,7848620.04322,8194525.4128,8099113.98486,8115102.1977,8218367.40258,8631927.07761,8704346.26924,8737786.38449
2066,7848620.04322,8186874.1884,8090148.69306,8110458.09542,8206971.46407,8618371.18151,8688320.96978,8718879.5368
2067,7848620.04322,8179402.28964,8081393.52536,8105922.83932,8195842.61796,8605133.00185,8672671.26342,8700415.8185
2068,7848620.04322,8172105.51344,8072843.55683,8101493.87826,8184974.60409,8592205.09191,8657388.34692,8682384.84346
2069,7848620.04322,8164979.75546,8064493.97821,8097168.72098,8174361.30933,8579580.1799,8642463.62382,8664776.46943
2070,7848620.04322,8158021.00745,8056340.09286,8092944.93459,8163996.76369,8567251.1643,8627888.69895,8647580.79173
