year,Base case cost,Cordova (lake 1878 elevation - fidalgo creek tributary),"Cordova (lake 1975 elevation - dead creek tributary) -- dead creek, lake 1975","Valdez (lowe river) -- lower river, keystone canyon",Valdez (mineral creek),Valdez (tsina river),Tasnuna river,Tiekel river,"Cleave creek -- copper river, cleave site",Nelchina river,Valdez (tonsina river),Tolsona creek,Kenney lake (tonsina river tributary),Chitina (liberty creek),"Glennallen (tazlina, cache creek)",Kenney lake (tonsina river tributary),Cordova (dead creek - gravina river tributary)
2031,8991280.77295,9217998.32371,9465344.87769,8619298.96903,8782740.95138,19711247.6145,10177965.3553,70213023.8328,1445209488.91,78015055.8134,10549932.3065,17928659.2971,9205631.04846,9350620.17388,9004309.49196,8769818.412,8438103.84624
2032,9118480.10409,9206768.31359,9533794.92686,8686510.54112,8838099.8978,19196269.07,10176316.348,68758216.5004,1416540761.23,76348675.7209,10522169.6622,17447346.254,9309332.93998,9469756.81308,9124136.40537,8845714.32636,8133740.41797
2033,9269355.95225,9211862.3795,9623352.98079,8773525.69543,8912843.2551,18685033.8913,10192925.2801,67328781.7104,1388406459.87,74707749.4384,10511758.7815,16969037.2782,9435720.18099,9612647.27478,9267249.65604,8942115.68951,7828332.70231
2034,9414465.95097,9212725.01918,9707881.48624,8855334.03743,8982543.61725,18177336.8105,10205416.3097,65924334.6553,1360900168.66,73095901.3379,10497593.5932,16493503.5258,9556641.63675,9749939.20985,9404678.99191,9033251.07964,7521665.39706
2035,9476431.97072,9158713.19094,9719952.50038,8867880.49426,8984902.83015,17683962.6949,10157690.888,64556162.9491,1334344357.52,71536645.1617,10427402.5121,16031422.0989,9598607.44072,9804532.66405,9460466.60457,9052779.4698,7224260.34152
2036,9586786.55033,9127782.20544,9771146.81897,8916012.48892,9021243.05021,17159468.979,10138607.4196,63176322.0503,1308026646.09,69957298.7328,10382364.6485,15537619.1859,9685352.67107,9907392.15194,9563298.67426,9110124.31864,6891535.74748
2037,9581872.5029,9018706.37331,9721048.17062,8867178.04698,8963117.07825,16646213.0406,10034214.3702,61829036.1313,1282736853.36,68430746.1479,10257469.8092,15054176.04,9662302.45918,9895514.97387,9552834.7466,9067397.84552,6565080.09559
2038,9687881.0951,8986253.98838,9769251.89507,8911993.13769,8996441.95132,16134500.1755,10013818.4786,60501460.8788,1257581459.8,66911195.1185,10211788.8327,14571749.6675,9745254.0645,9994336.48451,9651471.65533,9121316.88652,6236304.70111
2039,9759964.38154,8939086.50593,9790829.24259,8932270.21988,9006548.1535,15656046.2717,9975173.08782,59226865.999,1233231514.96,65456472.1725,10150738.2843,14121820.9245,9797143.73832,10059569.3665,9717204.19184,9149120.47999,5936276.75143
2040,9905587.65798,8940018.86029,9876617.77458,9013236.01954,9075724.40343,15170821.174,9990178.84623,57963099.015,1209090120.07,64003803.0156,10139818.7673,13664584.9455,9918938.37011,10198205.2706,9855125.54373,9239848.81793,5625691.75809
2041,9818688.07004,8798964.90486,9763731.9312,8906606.34549,8963313.13344,14755557.5569,9845118.29936,56790813.7941,1186635376.66,62687153.7222,9981925.87624,13276245.445,9821448.6232,10105400.3627,9765334.23805,9135307.1018,5379752.83176
2042,9727258.17182,8654649.88088,9646924.82981,8795908.78459,8846969.48263,14343459.6537,9696890.58831,55639436.9632,1164700348.76,61394796.3483,9821166.57874,12890440.6251,9719676.77262,10008203.5503,9671080.39667,9026648.56235,5133011.07591
2043,9635004.58082,8510750.66206,9529888.81519,8684839.11778,8730386.05645,13938053.7311,9549170.38625,54512079.0021,1143276457.66,60129762.0832,9661208.49994,12510711.5403,9617323.61932,9910318.20744,9576069.04882,8917570.12733,4889085.7572
2044,9547693.14649,8373004.04385,9418375.79506,8579152.60925,8619315.01722,13544929.4702,9407692.33905,53413923.4471,1122357468.78,58897157.0113,9507779.40113,12142662.3165,9520149.33109,9817507.0154,9486064.49254,8813828.18109,4653657.39993
2045,9461205.40493,8237263.19395,9308253.69281,8474720.45962,8509624.53694,13159796.3958,9268307.5156,52340283.2623,1101927546.4,57692218.4727,9356723.62906,11782016.5825,9424029.89644,9725648.41682,9396946.74914,8711295.01806,4422524.22849
2046,9383778.28391,8111737.33224,9207746.14043,8379769.50184,8409538.49041,12790723.4292,9139223.08581,51298840.0416,1081983483.04,56522554.1976,9216241.78801,11436857.0353,9337196.82474,9642976.31801,9316951.26683,8618198.53945,4203841.79873
2047,9313764.39789,7994752.02157,9115192.77153,8292642.49465,8317396.7483,12435899.1581,9018762.61115,50287404.2198,1062512457.95,55385902.5074,9084651.02935,11105385.7121,9257997.44036,9567840.38356,9244429.21558,8532882.547,3995883.28063
2048,9243750.51187,7878867.60247,9023167.67118,8205916.57579,8225773.62724,12087750.1232,8899484.47711,49298032.9504,1043496143.56,54274250.1133,8954503.47706,10780042.2908,9179013.34086,9492824.49699,9171965.94938,8447925.19727,3791157.83629
2049,9172501.08668,7762822.73413,8930422.91918,8118346.80578,8133421.43314,11744884.3375,8780125.43398,48328973.5668,1024922647.27,53185775.567,8824529.7675,10459447.6125,9099003.94144,9416690.30557,9098324.55134,8362082.54558,3588354.15292
2050,9103310.89343,7649886.99221,8840241.19645,8033218.77627,8043623.06773,11410443.7999,8663953.19333,47383015.8616,1006784857.15,52123201.4953,8697991.64198,10146756.2026,9021259.0861,9342729.83293,9026798.44716,8278641.155,3390693.00816
