year,Base case cost,"Port lions (unnamed stream, site #3) -- unnamed creek, 3","Port lions (unnamed stream, site #2) -- unnamed creek, 2","Uganik bay (one mile, 1/2 mile creek, ne arm uganik bay) -- 0",Cape chiniak (west fork twin creek),"Port lions (unnamed stream, site #1) -- unnamed creek, 1",Port lions (mennonite creek),"Port lions (crescent lake, port lions river)","Kodiak (unnamed stream, site #5) -- unnamed creek","Kodiak (unnamed stream, site #4) -- unnamed creek",Kodiak (leanne lake),Kodiak (virginia creek),"Monashka bay, upper -- monashka creek","Monashka bay, lower -- monashka creek",Cape chiniak (myrtle creek),"Pillar creek, 1"
2040,0.0,169789.652091,505002.88283,499527.717977,237353.989827,98381.4942249,98046.0510621,381404.373409,508503.736846,433062.214707,2513639.20483,297692.358676,122459.974593,101775.756662,448943.334106,74278.0949612
2041,0.0,166503.602847,495342.700125,490358.354008,232914.150157,96523.0605336,95598.0657211,373869.729139,497967.338746,424309.200028,2464879.26646,292103.688043,120201.429768,99894.0417842,440436.650424,72879.4378199
2042,0.0,163294.570379,485908.927945,481403.897,228578.369225,94708.1838806,93207.4550348,366511.67809,487677.887468,415761.334125,2417262.13911,286646.001873,117995.819586,98056.429598,432129.342135,71513.5617044
2043,0.0,160160.749622,476696.25984,472659.310116,224344.208177,92935.8434067,90872.8742964,359326.081392,477629.595247,407413.808864,2370761.03837,281316.230246,115841.903402,96261.886455,424016.736418,70179.698316
2044,0.0,157100.377778,467699.513609,464119.674454,220209.285263,91205.0421561,88593.0102853,352308.89709,467816.809838,399261.928696,2325349.80702,276111.375121,113738.46962,94509.4029102,416094.269867,68877.0973458
2045,0.0,154111.733411,458913.628651,455780.186534,216171.27462,89514.8065662,86366.5805956,345456.178072,458234.011624,391301.108249,2281002.90157,271028.508808,111684.335076,92797.9932051,408357.486156,67605.0260907
2046,0.0,151193.135392,450333.662861,447636.155353,212227.904846,87864.1858709,84192.3328488,338764.069647,448875.81023,383526.869522,2237695.37666,266064.772168,109678.344307,91126.6946628,400802.033303,66362.7690041
2047,0.0,148342.942021,441954.79004,439682.999922,208376.957811,86252.2516021,82069.0440389,332228.807529,439736.941705,375934.839533,2195402.87196,261217.373117,107719.368952,89494.5671841,393423.661394,65149.6273209
2048,0.0,145559.550058,433772.297051,431916.246571,204616.267347,84678.0970427,79995.5198105,325846.715617,430812.26541,368520.747748,2154101.59785,256483.584982,105806.307081,87900.6926932,386218.220078,63964.9186459
2049,0.0,142841.393818,425781.581166,424331.52643,200943.718031,83140.8367164,77970.5937871,319614.203926,422096.761135,361280.42367,2113768.32197,251860.744962,103938.082581,86344.174621,379181.656226,62807.9765696
2050,0.0,140186.944383,417978.147738,416924.57322,197357.244115,81639.6059393,75993.1269811,313527.76677,413585.526549,354209.794737,2074380.35752,247346.252786,102113.644605,84824.1374517,372310.011886,61678.150331
2051,0.0,137594.708611,410357.607293,409691.220485,193854.828186,80173.5602606,74062.0070561,307583.980492,405273.774036,347304.883679,2035915.54853,242937.569028,100331.966896,83339.7261556,365599.421721,60574.8043965
2052,0.0,135063.228362,402915.673259,402627.39945,190434.500128,78741.8750266,72176.1477531,301779.501702,397156.828217,340561.80647,1998352.25849,238632.213792,98592.0472582,81890.1057483,359046.111008,59497.3181316
2053,0.0,132591.079692,395648.159581,395729.136747,187094.336022,77343.7449206,70334.4882845,296111.065405,389230.123346,333976.770158,1961669.35819,234427.765335,96892.9069929,80474.4608247,352646.393539,58445.085455
2054,0.0,130176.871985,388550.978195,388992.552018,183832.456984,75978.3834772,68535.9926942,290575.483037,381489.200553,327546.07058,1925846.21306,230321.858603,95233.5903133,79091.9950671,346396.669395,57417.514473
2055,0.0,127819.247279,381620.137021,382413.856016,180647.028247,74645.0226972,66779.6493503,285169.640898,373929.705665,321266.090544,1890862.67302,226312.184075,93613.1638739,77741.9308553,340293.423181,56414.0271892
2056,0.0,125516.879405,374851.737442,375989.348208,177536.257998,73342.9125616,65064.470305,279890.498189,366547.386444,315133.297545,1856699.05972,222396.486296,92030.7161806,76423.5087746,334333.221806,55434.0591396
2057,0.0,123268.47328,368241.972238,369715.414809,174498.396431,72071.3206339,63389.4907708,274735.085394,359338.090339,309144.24189,1823336.15615,218572.562689,90485.3571071,75135.9872131,328512.712657,54477.0590923
2058,0.0,121072.764165,361787.123379,363588.526699,171531.734733,70829.531637,61753.7685628,269700.502566,352297.762084,303295.554704,1790755.19551,214838.262277,88976.2173807,73878.6419331,322828.621669,53542.4887298
2059,0.0,118928.517,355483.560092,357605.237579,168634.604192,69616.8470796,60156.3836071,264783.917813,345422.441577,297583.946169,1758937.85139,211191.48456,87502.4481287,72650.7656931,317277.751609,52629.8223677
2060,0.0,116834.525614,349327.736528,351762.181757,165805.375128,68432.5848086,58596.4373507,259982.565484,338708.26135,292006.203423,1727866.22606,207630.178172,86063.2203339,71451.6677944,311856.980029,51738.5466174
2061,0.0,114789.612152,343316.190082,346056.07256,163042.456123,67276.0786852,57073.0523357,255293.744852,332151.444726,286559.189025,1697522.84197,204152.339905,84657.7244413,70280.6737534,306563.257787,50868.1601431
2062,0.0,112792.62635,337445.539259,340483.7003,160344.293033,66146.6781747,55585.3716577,250714.818455,325748.303495,281239.83903,1667890.63096,200756.013473,83285.1698595,69137.1248859,301393.607162,50018.1733522
2063,0.0,110842.444897,331712.481797,335041.930499,157709.368133,65043.7479853,54132.5584911,246243.210633,319495.235868,276045.161284,1638952.9248,197439.288432,81944.7845215,68020.3779415,296345.120208,49188.1081241
2064,0.0,108937.97084,326113.792921,329727.702226,155136.199308,63966.6677321,52713.7956463,241876.40616,313388.724569,270972.233846,1610693.4464,194200.299165,80635.814477,66929.8047637,291414.957212,48377.4975574
2065,0.0,107078.132879,320646.323275,324538.026139,152623.339109,62914.8315395,51328.2850452,237611.948634,307425.334584,266018.203106,1583096.29931,191037.223684,79357.5234083,65864.7918867,286600.344876,47585.8856698
2066,0.0,105261.884865,315306.99743,319469.983068,150169.374063,61887.6477541,49975.2473441,233447.439317,301601.711532,261180.282446,1556145.96026,187948.282775,78109.1922822,64824.7402455,281898.575,46812.8271831
2067,0.0,103488.205177,310092.812078,314520.722298,147772.923842,60884.538597,48653.9214753,229380.535721,295914.579692,256455.75059,1529827.27001,184931.738943,76890.1189271,63809.064823,277307.002894,46057.8872611
2068,0.0,101756.096094,305000.834153,309687.459787,145432.640404,59904.9398027,47363.5641708,225408.950145,290360.73996,251841.949912,1504125.42385,181985.895333,75699.6175939,62817.1942852,272823.045722,45320.6412374
2069,0.0,100064.583321,300028.199475,304967.47688,143147.207366,58948.3003578,46103.4496191,221530.448617,284937.06836,247336.285199,1479025.96477,179109.09494,74537.0186389,61848.5707157,268444.181308,44600.6744194
2070,0.0,98412.715384,295172.110935,300358.118585,140915.33917,58014.0821525,44872.8690057,217742.849479,279640.514079,242936.222016,1454514.77434,176299.719565,73401.6681001,60902.6492637,264167.946542,43897.5818256
