year,Base case cost,Medvejia lake (unnamed stream) -- unnamed creek,Lake irina,Bill d short (baranof river) -- baranof lake,Baranof lake,Swan lake 1 (cascade creek),Carbon lake,Hidden falls creek (kasnyku bay) -- hidden falls lake,Four falls lake,Kelp lake,Kasnyku lake (waterfall cove),Nelson lakes,Milk lake,Waxman (waxman creek),Redoubt lake (unnamed cascade) -- unnamed creek,Takatz lake hydroelectric feasibility analysis,Takatz lake (sitka) -- takatz creek
2031,615999.95594,1122432.64564,610038.406135,899416.508139,4418829.63637,30408271.3004,13488505.2728,932738.789019,1100141.81767,24688584.5911,3624113.23375,6035801.20482,12492319.8621,1663149.85426,853182.907403,20426611.4943,35584428.114
2032,629358.991129,1121585.79852,605685.268894,912604.031579,4415775.77733,30385247.6445,13476373.1237,932421.221351,1092845.87081,24670261.4369,3621745.23751,6031566.96925,12483158.285,1662197.15126,852759.483846,20398127.3182,35555635.3121
2033,644202.363561,1120644.85729,600848.449737,927256.835401,4412382.60063,30359665.8046,13462892.9581,932068.368387,1084739.26319,24649902.3767,3619114.13057,6026862.26307,12472978.7549,1661138.59236,852289.013227,20366478.2336,35523643.31
2034,659045.735993,1119703.91605,596011.63058,941909.639223,4408989.42392,30334083.9647,13449412.7925,931715.515423,1076632.65557,24629543.3165,3616483.02364,6022157.55688,12462799.2248,1660080.03347,851818.542609,20334829.1491,35491651.3079
2035,669436.096696,1119045.25718,592625.85717,952166.601899,4406614.20023,30316176.6768,13439976.6765,931468.518348,1070958.03024,24615291.9743,3614641.24878,6018864.26255,12455673.5537,1659339.04225,851489.213176,20312674.7899,35469256.9065
2036,685763.806371,1118010.22182,587305.356097,968284.686104,4402881.70585,30288036.6529,13425148.4943,931080.380087,1062040.76186,24592897.0081,3611747.03115,6013689.08575,12444476.0706,1658174.62747,850971.695495,20277860.7969,35434065.7042
2037,694669.829831,1117445.65708,584403.264603,977076.368397,4400845.79983,30272687.5489,13417060.3949,930868.668309,1057176.79729,24580681.5719,3610168.36699,6010866.26203,12438368.3525,1657539.49213,850689.413124,20258871.3462,35414870.5029
2038,710997.539506,1116410.62172,579082.76353,993194.452601,4397113.30546,30244547.5251,13402232.2127,930480.530048,1048259.52891,24558286.6057,3607274.14936,6005691.08523,12427170.8694,1656375.07735,850171.895443,20224057.3532,35379679.3006
2039,722872.237452,1115657.86873,575213.308204,1004916.69566,4394398.76409,30224082.0531,13391448.0802,930198.247677,1041774.24282,24541999.3575,3605169.26382,6001927.32028,12419027.2453,1655528.23023,849795.518949,20198738.0856,35354085.6989
2040,739199.947128,1114622.83337,569892.807131,1021034.77986,4390666.26972,30195942.0293,13376619.898,929810.109416,1032856.97444,24519604.3913,3602275.04619,5996752.14348,12407829.7622,1654363.81545,849278.001268,20163924.0926,35318894.4966
2041,739199.947128,1114622.83337,569892.807131,1021034.77986,4390666.26972,30195942.0293,13376619.898,929810.109416,1032856.97444,24519604.3913,3602275.04619,5996752.14348,12407829.7622,1654363.81545,849278.001268,20163924.0926,35318894.4966
2042,739199.947128,1114622.83337,569892.807131,1021034.77986,4390666.26972,30195942.0293,13376619.898,929810.109416,1032856.97444,24519604.3913,3602275.04619,5996752.14348,12407829.7622,1654363.81545,849278.001268,20163924.0926,35318894.4966
2043,739199.947128,1114622.83337,569892.807131,1021034.77986,4390666.26972,30195942.0293,13376619.898,929810.109416,1032856.97444,24519604.3913,3602275.04619,5996752.14348,12407829.7622,1654363.81545,849278.001268,20163924.0926,35318894.4966
2044,739199.947128,1114622.83337,569892.807131,1021034.77986,4390666.26972,30195942.0293,13376619.898,929810.109416,1032856.97444,24519604.3913,3602275.04619,5996752.14348,12407829.7622,1654363.81545,849278.001268,20163924.0926,35318894.4966
2045,739199.947128,1114622.83337,569892.807131,1021034.77986,4390666.26972,30195942.0293,13376619.898,929810.109416,1032856.97444,24519604.3913,3602275.04619,5996752.14348,12407829.7622,1654363.81545,849278.001268,20163924.0926,35318894.4966
2046,739199.947128,1114622.83337,569892.807131,1021034.77986,4390666.26972,30195942.0293,13376619.898,929810.109416,1032856.97444,24519604.3913,3602275.04619,5996752.14348,12407829.7622,1654363.81545,849278.001268,20163924.0926,35318894.4966
2047,739199.947128,1114622.83337,569892.807131,1021034.77986,4390666.26972,30195942.0293,13376619.898,929810.109416,1032856.97444,24519604.3913,3602275.04619,5996752.14348,12407829.7622,1654363.81545,849278.001268,20163924.0926,35318894.4966
2048,739199.947128,1114622.83337,569892.807131,1021034.77986,4390666.26972,30195942.0293,13376619.898,929810.109416,1032856.97444,24519604.3913,3602275.04619,5996752.14348,12407829.7622,1654363.81545,849278.001268,20163924.0926,35318894.4966
2049,739199.947128,1114622.83337,569892.807131,1021034.77986,4390666.26972,30195942.0293,13376619.898,929810.109416,1032856.97444,24519604.3913,3602275.04619,5996752.14348,12407829.7622,1654363.81545,849278.001268,20163924.0926,35318894.4966
2050,739199.947128,1114622.83337,569892.807131,1021034.77986,4390666.26972,30195942.0293,13376619.898,929810.109416,1032856.97444,24519604.3913,3602275.04619,5996752.14348,12407829.7622,1654363.81545,849278.001268,20163924.0926,35318894.4966
