year,Base case cost,Sheep creek,Water supply creek (hoonah),Turner lake (turner creek),Yehring creek,Tease creek (tease lake),Treadwell ditch,Sawmill creek,Sweetheart lake -- sweetheart falls creek,Peterson lake,Rhine creek,Davidson creek,Davies creek,"Funter bay (s funter bay creek; 58.13', 134.52') -- south funter bay creek","Greens creek (hawk inlet; 58.04', 134.43')",Bear creek (taku harbor),Boundary lake (boundary creek),Carlson creek,Cowee creek,Lemon creek,Nugget creek
2040,420014.03898,2011135.38988,605494.752498,3466313.27905,4442128.65525,15513280.9382,3417013.65227,1615330.44616,7556967.36845,2398157.92375,1424451.54008,335128.722259,2473190.16388,592080.997064,780058.234546,281181.776076,17032429.2565,8416072.5452,539662.057806,4224000.67371,5347955.22834
2041,420014.03898,1972961.91467,594123.708349,3400811.16944,4356455.27453,15220357.601,3352380.11655,1585187.19524,7388976.14696,2352743.05179,1397354.19598,331439.993616,2426733.41341,586255.22815,771102.633634,279545.664684,16705811.9224,8257023.29745,529713.047291,4144066.17815,5247431.43319
2042,420014.03898,1935683.12939,583019.17278,3336844.26398,4272789.86167,14934299.6476,3289261.4278,1555750.42607,7224922.21578,2308392.58983,1370891.94524,327837.719464,2381365.49194,580566.000558,762356.929407,277947.899614,16386849.6744,8101701.76269,519997.216477,4066005.14545,5149263.66211
2043,420014.03898,1899278.06762,572174.900353,3274376.58626,4191085.36136,14654946.1926,3227622.08668,1527003.58273,7064713.30732,2265081.59417,1345049.9049,324319.873803,2337060.88354,575010.114539,753816.203088,276387.582247,16075363.1211,7950020.58466,510509.100963,3989773.67234,5053396.70338
2044,420014.03898,1863726.24916,561584.790465,3213372.99419,4111295.80956,14382140.0818,3167427.41706,1498930.49328,6908259.29373,2222785.69959,1319813.53716,320884.477619,2293794.664,569584.44455,745475.649966,274863.834805,15771177.031,7801894.4329,501243.363073,3915328.87371,4959776.62565
2045,420014.03898,1829007.67709,551242.886469,3153799.17491,4033376.32682,14115727.8692,3108643.5611,1471515.36737,6755472.17393,2181481.11581,1295168.64725,317529.598595,2251542.49727,564285.9388,737330.578709,273375.800221,15474120.308,7657239.9905,492194.791082,3842628.8764,4868350.77019
2046,420014.03898,1795102.82008,541143.370409,3095621.61449,3957283.07865,13855559.6814,3051237.44928,1444742.78231,6606265.99576,2141144.60645,1271101.37089,314253.349407,2210280.61391,559111.616553,729376.407214,271922.641385,15184025.8393,7515975.88046,483358.294613,3771632.78219,4779067.70434
2047,420014.03898,1761992.60945,531280.562142,3038807.59286,3882973.26888,13601489.1955,2995176.79538,1418597.68073,6460556.84306,2101753.48557,1247598.17224,311053.887433,2169985.8075,554058.56768,721608.661916,270503.541014,14900730.4708,7378022.65336,474728.903866,3702300.66164,4691877.21374
2048,420014.03898,1729658.41852,521648.913189,2983325.1484,3810405.09336,13353373.48,2940430.06162,1393065.3543,6318262.74488,2063285.59307,1224645.82921,307929.412766,2130635.40958,549123.949511,714022.972949,269117.700772,14624074.8301,7243302.70148,466301.764243,3634593.51088,4606730.24802
2049,420014.03898,1698082.05971,512243.005864,2929143.0729,3739537.73338,13111072.973,2886966.45361,1368131.44139,6179303.6625,2025719.29123,1202231.43137,304878.167928,2092207.28603,544304.986381,706615.073453,267764.341139,14353903.3019,7111740.24646,458072.135579,3568473.24546,4523578.91303
2050,420014.03898,1667245.77271,503057.54976,2876230.89133,3670331.32915,12874451.3909,2834755.90043,1343781.91777,6043601.43757,1989033.45065,1180342.37162,301898.436728,2054679.82271,539598.967837,699380.796812,266442.700912,14090063.9266,6983261.29022,450035.389071,3503902.67563,4442376.43982
