year,Base case cost,Allen glacier (unnamed creek) -- unnamed creek,Lake 1120 (cordova),Lake 1488 (cordova),Sheep river lakes,Sheep bay (sanlin creek),Orca creek,Meals lake (eccles creek),"Meakerville, eyak (robinson falls creek)",Snyder falls -- snyder falls creek,"Cordova (heney creek, lower)","Cordova (hartney creek, lower)",Cordova (fidalgo creek),Crater lake,Van cleve lake (cordova),"Cordova (unnamed falls) -- unnamed creek, 2","Cordova (unnamed creek) -- unnamed creek, 1",Cordova (humpback creek),Karluk (mary's creek),"Flemming creek, knights island"
2050,2773599.88366,3647104.25482,3707280.98254,4426370.21177,4421126.95421,3054527.5575,2955096.99002,2860256.40206,2164075.99496,7872337.49841,2928479.73597,3005265.73719,3124980.51619,3607247.83595,41594073.4365,2964847.02945,6052923.23553,2169584.57533,3704104.45726,2861240.95162
2051,2773599.88366,3619993.14331,3670722.0876,4350342.22466,4346320.70135,3049015.36474,2951053.20099,2857256.72777,2154648.41567,7741301.12116,2924311.02286,2998583.49716,3099313.30737,3586698.06832,40867136.7891,2958951.64262,5947451.91652,2166114.18649,3685421.76147,2858486.35764
2052,2773599.88366,3593517.44836,3635020.04161,4276096.1432,4273267.71974,3043632.36398,2947104.18825,2854327.35834,2145441.79523,7613335.90848,2920240.01396,2992057.8721,3074247.67365,3566629.93579,40157237.7164,2953194.42889,5844452.58113,2162725.13487,3667176.94128,2855796.32444
2053,2773599.88366,3567662.27773,3600154.76261,4203590.20486,4201926.91797,3038375.52734,2943247.73052,2851466.64603,2136450.95502,7488369.88149,2916264.41935,2985685.19143,3049769.51592,3547032.15027,39463976.909,2947572.14991,5743867.29348,2159415.51417,3649359.73422,2853169.33892
2054,2773599.88366,3542413.08749,3566106.63835,4132783.62398,4132258.16577,3033241.89778,2939481.6585,2848672.98164,2127670.83758,7366332.74494,2912382.00272,2979461.87042,3025865.06485,3527893.68772,38786964.3971,2942081.64306,5645639.47285,2156183.46269,3631960.11783,2850603.92335
2055,2773599.88366,3517755.67515,3532856.51703,4063636.57237,4064222.27499,3028228.58766,2935803.8538,2845944.79376,2119096.50414,7247155.85385,2908590.58023,2973384.40851,3002520.87437,3509203.7829,38125819.3664,2936719.81996,5549713.86683,2153027.16242,3614968.30496,2848098.63471
2056,2773599.88366,3493676.17094,3500385.69544,3996110.15482,3997780.97544,3023332.777,2932212.24764,2843280.54779,2110723.13165,7130772.1712,2904888.01921,2967449.3871,2979723.81337,3490951.92274,37480169.9227,2931483.6646,5456036.51724,2149944.83793,3598374.73771,2845652.06378
2057,2773599.88366,3470161.03002,3468675.90864,3930166.38749,3932896.89365,3018551.71189,2928704.81974,2840678.74507,2102546.01005,7017116.23076,2901272.23695,2961653.46775,2957461.05841,3473127.84049,36849652.8859,2926370.23161,5364554.73025,2146934.75542,3582170.08215,2843262.83434
2058,2773599.88366,3447197.02544,3437709.32025,3865768.17779,3869533.53311,3013882.70303,2925279.59722,2838137.92213,2094560.53981,6906124.10246,2897741.19962,2955993.39031,2935720.08698,3455721.51033,36233913.5978,2921376.64475,5275217.04848,2143995.22174,3566345.22334,2840929.60249
2059,2773599.88366,3424771.23955,3407468.51105,3802879.30066,3807655.25086,3009323.12404,2921934.65332,2835656.64971,2086762.22898,6797733.35135,2894292.92095,2950465.97089,2914488.6694,3438723.14091,35632605.6948,2916500.09505,5187973.21796,2141124.58336,3550891.25955,2838651.05574
2060,2773599.88366,3402871.05794,3377936.47072,3741464.38138,3747227.24065,3004870.41016,2918668.10654,2833233.53211,2079146.69102,6691883.0081,2890925.4613,2945068.10034,2893754.8631,3422123.17071,35045390.9437,2911737.83946,5102774.16443,2138321.22556,3535799.49798,2836425.91243
2061,2773599.88366,3381484.16201,3349096.58782,3681488.87477,3688215.51243,3000522.0568,2915478.11947,2830867.20634,2071709.6423,6588513.53313,2887636.92651,2939796.74243,2873507.00555,3405912.26245,34471939.0432,2907087.19928,5019571.96441,2135583.57148,3521061.4497,2834252.92093
2062,2773599.88366,3360598.52128,3320932.63944,3622919.04361,3630586.8711,2996275.61794,2912362.89769,2828556.34131,2064446.89935,6487566.77941,2884425.46674,2934648.93193,2853733.70701,3390081.29722,33911927.4169,2902545.55844,4938319.81528,2132910.08115,3506668.82431,2832130.8589
2063,2773599.88366,3340202.38782,3293428.78368,3565721.94303,3574308.90121,2992128.705,2909320.68894,2826299.63719,2057354.37696,6388985.96549,2881289.27555,2929621.77325,2834423.8452,3374621.37028,33365041.0646,2898110.36232,4858972.01362,2130299.25075,3492613.52611,2830058.53271
2064,2773599.88366,3320284.28878,3266569.54961,3509865.39964,3519349.9464,2988078.98535,2906349.78196,2824095.82457,2050428.08557,6292715.63967,2878226.58886,2924712.43862,2815566.55833,3359523.78542,32830972.3627,2893779.11612,4781483.92627,2127749.6117,3478887.649,2828034.77667
2065,2773599.88366,3300833.02037,3240339.82908,3455317.99449,3465679.09257,2984124.18103,2903448.50564,2821943.66384,2043664.12921,6198701.65045,2875235.68392,2919918.16656,2797151.23928,3344780.05034,32309420.9007,2889549.38355,4705811.96665,2125259.72984,3465483.47226,2826058.45242
2066,2773599.88366,3281837.64062,3214724.86701,3402049.04288,3413266.14814,2980262.06735,2900615.22792,2819841.94432,2037058.70291,6106891.11194,2872314.87824,2915236.26014,2779167.52886,3330381.87121,31800093.2891,2885418.78523,4631913.56684,2122828.20452,3452393.4556,2824128.44823
2067,2773599.88366,3263287.46542,3189710.2561,3350028.58331,3362081.63306,2976490.47203,2897848.3552,2817789.48389,2030608.09142,6017232.38461,2869462.52899,2910664.08599,2761605.31197,3316321.14966,31302703.0527,2881384.99788,4559747.16213,2120453.66812,3439610.23644,2822243.67855
2068,2773599.88366,3245172.05981,3165281.92492,3299227.35284,3312096.75463,2972807.27344,2895146.33103,2815785.12799,2024308.66608,5929675.03299,2866677.03166,2906199.07213,2744454.7094,3302589.97617,30816970.396,2877445.7524,4489272.15695,,3427126.62388,2820403.08315
2069,2773599.88366,3227481.2342,3141426.133,3249616.77672,3263283.39731,2969210.39986,2892507.63558,2813827.7492,2018156.88359,5844169.80768,2863956.81945,2901838.70708,2727706.07426,3289180.62719,30342622.1033,2873598.83302,4420448.91043,,3414935.59612,2818605.62671
2070,2773599.88366,3210205.03725,3118129.46112,3201168.94831,3215614.10287,2965697.82799,2889930.78455,2811916.24646,2012149.28347,5760668.61079,2861300.36221,2897580.53807,2711349.98519,3276085.55978,29879391.3471,2869842.0758,4353238.7085,,3403030.29553,2816850.29816
