year,Base case cost,Medvejia lake (unnamed stream) -- unnamed creek,Lake irina,Bill d short (baranof river) -- baranof lake,Baranof lake,Swan lake 1 (cascade creek),Carbon lake,Hidden falls creek (kasnyku bay) -- hidden falls lake,Four falls lake,Kelp lake,Kasnyku lake (waterfall cove),Nelson lakes,Milk lake,Waxman (waxman creek),Redoubt lake (unnamed cascade) -- unnamed creek,Takatz lake hydroelectric feasibility analysis,Takatz lake (sitka) -- takatz creek
2031,615999.95594,911670.568718,458824.728255,847365.985023,3599412.69796,24766697.8375,10967061.8554,760666.327657,834618.792964,20111041.9617,2952835.39721,4916932.056,10175796.6667,1354881.6809,694350.511619,16517468.9971,28966134.3102
2032,629358.991129,892367.808726,441230.183899,855995.573117,3524604.52787,24249655.5713,10734133.1536,745280.800886,804071.652711,19691874.741,2891685.26402,4814721.22125,9963782.89295,1326934.69774,680018.528697,16146670.8981,28357793.9178
2033,644202.363561,873403.514933,423462.303008,866197.26817,3451138.78125,23741633.6788,10505031.3527,730213.143999,773258.801371,19280066.3942,2831649.72604,4714336.24171,9755505.51305,1299514.53694,665965.480471,15780730.8707,27759837.4676
2034,659045.735993,854861.643597,405997.493971,876503.286117,3379315.361,23244918.9784,10280983.1856,715490.365436,742978.127784,18877432.6429,2772959.60483,4616193.76927,9551871.05295,1272712.22637,652230.774006,15422625.7897,27175145.8133
2035,669436.096696,837014.5763,390279.699101,882515.340679,3310113.72708,22766921.003,10065914.254,701210.237787,715649.140988,18489866.1699,2716372.69844,4521652.65564,9355824.55037,1246830.85246,638948.089156,15081666.744,26613005.6536
2036,685763.806371,819193.985971,372916.208421,894488.006839,3241121.06701,22289473.6709,9850272.77706,687117.870565,685585.035419,18102905.6492,2660016.43874,4427368.28104,9160134.06927,1221115.28291,625780.810433,14735520.052,26050718.9887
2037,694669.829831,802237.277615,358253.384823,899231.4293,3175354.53008,21835347.8963,9646077.9434,673523.122616,660069.862541,17734669.1618,2606228.74882,4337524.75588,8973857.40686,1196504.41037,613145.245724,14412494.7607,25516782.1219
2038,710997.539506,785194.289487,341447.793792,911396.134758,3109385.09138,21378715.0294,9439739.27829,660065.613081,630985.398525,17364597.3873,2552349.15442,4247368.42521,8786713.68883,1171926.18969,600563.975746,14080770.7668,24978913.5112
2039,722872.237452,768808.770184,326362.430348,919257.656398,3045892.28432,20939799.5172,9241933.19055,647020.272874,604805.585519,17008782.0075,2500453.86207,4160615.25253,8606747.57039,1148214.29785,588406.591195,13765500.3275,24462424.0048
2040,739199.947128,752507.361495,310088.894021,931605.50485,2982806.01494,20503016.8765,9044466.38049,634168.210966,576655.380733,16654816.6006,2448936.20037,4074395.73235,8427754.68289,1124720.73787,576384.182853,13447530.8939,23947842.2714
2041,739199.947128,737598.793714,299392.570474,927923.633978,2924843.34373,20103951.8189,8866108.34452,621996.410464,557873.216175,16331017.3405,2401452.36802,3995250.86536,8263891.98244,1102914.93188,565148.938007,13171011.9075,23479687.4533
2042,739199.947128,723039.645479,288946.942002,924328.056952,2868239.17259,19714239.8483,8691930.5749,610109.886529,539531.258586,16014807.1253,2355081.43795,3917960.95614,8103869.81392,1081620.19947,554177.019204,12900973.8346,23022505.0135
2043,739199.947128,708821.727342,278746.132992,920816.751277,2812961.66195,19333661.7536,8521835.09747,598501.953047,521619.190703,15706008.0884,2309797.32675,3842482.52949,7947598.16564,1060824.56243,543462.254794,12637264.7802,22576037.789
2044,739199.947128,694937.041608,268784.405404,917387.741816,2758979.71775,18962003.4566,8355726.23216,587166.080463,504126.936845,15404446.5277,2265574.56174,3768773.12817,7794989.13353,1040516.32305,532998.617635,12379736.4058,22140034.6384
2045,739199.947128,681377.778248,259056.155844,914039.099777,2706262.97557,18599055.9024,8193510.54401,576095.892435,487044.657752,15109952.8173,2222388.26795,3696791.29123,7645956.87618,1020684.05812,522780.22201,12128243.8536,21714250.3133
2046,739199.947128,668136.310105,249555.912121,910768.941532,2654781.78198,18244614.931,8035096.78584,565285.161925,470362.744554,14822361.3028,2180214.15287,3626496.5285,7500417.56218,1001316.61186,512801.320021,11882645.6577,21298445.3078
2047,739199.947128,655205.188905,240278.330383,907575.427629,2604507.17898,17898481.1707,7880395.85051,554727.807938,454071.813736,14541510.2151,2139028.49371,3557849.29944,7358289.3262,982403.090181,503056.29857,11642803.6702,20892385.7331
2048,739199.947128,642577.140857,231218.191967,904456.761707,2555410.88699,17560459.9204,7729320.71835,544417.891935,438162.70161,14267241.5748,2098808.12344,3490810.98982,7219492.22075,963932.854161,493539.67606,11408582.9793,20495843.1796
2049,739199.947128,630245.06257,222370.400462,901411.18949,2507465.28889,17230361.04,7581786.40821,534349.614493,422626.459153,13999401.1032,2059530.41772,3425343.88995,7083948.17119,945895.514128,484246.099303,11179851.8337,20108594.5887
2050,739199.947128,618202.01745,213729.97913,898436.997892,2460643.41607,16907998.8544,7437709.93447,524517.312371,407454.347483,13737838.1445,2021173.2835,3361411.17569,6951580.9362,928280.924374,475170.340814,10956481.5758,19730422.1391
2051,739199.947128,606441.231217,205292.067685,895532.513913,2414918.93095,16593192.033,7297010.25327,514915.454845,392637.832201,13482405.568,1983715.14467,3298976.8845,6822316.05846,911079.176592,466307.295426,10738346.5586,19361113.1069
2052,739199.947128,594956.088405,197051.919784,892696.103776,2370266.11344,16285763.4962,7159608.22077,505538.640848,378168.578988,13232959.6924,1947134.93094,3238005.89697,6696080.82622,894280.594763,457651.97766,10525324.0808,19000459.7549
2053,739199.947128,583740.128669,189004.90038,889926.172012,2326659.84649,15985540.3169,7025426.54891,496381.595963,364038.44895,12989360.2053,1911412.0661,3178463.91719,6572804.23269,877875.729757,449199.518935,10317294.3181,18648259.2172
2054,739199.947128,572787.042896,181146.482926,887221.160501,2284075.60106,15692353.6159,6894389.75886,487439.169242,350239.493716,12751470.0793,1876526.45561,3120317.45206,6452416.9333,861855.353637,440945.164641,10114140.2512,18304313.3767
2055,739199.947128,562090.670106,173472.247157,884579.547705,2242489.42403,15406038.4791,6766424.14401,478706.330676,336763.951541,12519155.5038,1842458.47674,3063533.7949,6334851.21163,846210.455136,432884.271804,9915747.60846,17968428.7679
2056,739199.947128,551644.993564,165977.876295,881999.847712,2201877.92305,15126433.8536,6641457.72337,470178.168022,323604.242398,12292285.8014,1809188.96614,3008081.00475,6220040.93667,830932.233957,425012.306149,9722004.79342,17640416.4549
2057,739199.947128,541444.137578,158659.15476,879480.609441,2162218.25418,14853382.4619,6519420.20338,461849.884191,310752.963954,12070733.3579,1776699.20974,2953927.88944,6107921.52767,816012.096106,417324.839699,9532802.82586,17320091.9309
2058,739199.947128,531482.364114,151511.965732,877020.415807,2123488.10865,14586730.7111,6400242.93727,453716.794479,298202.887298,11854373.549,1744970.93188,2901043.98756,5998429.91687,801441.648927,409817.548213,9348035.27866,17007275.0117
2059,739199.947128,521754.069795,144532.289004,874617.882981,2085665.7012,14326328.6128,6283858.88928,445774.324122,285946.953163,11643084.6748,1713986.28579,2849399.55255,5891504.51658,787212.696719,402486.208932,9167598.22232,16701789.7415
2060,739199.947128,512253.78231,137716.198403,872271.659502,2048729.75619,14072029.687,6170202.59166,438018.005362,273978.267405,11436747.8822,1683727.84213,2798965.53365,5787085.17965,773317.235486,395326.697866,8991390.15831,16403464.2803
2061,739199.947128,502976.157819,131059.85993,869980.425637,2012659.4974,13823690.8924,6059210.11358,430443.475327,262290.097725,11235247.1082,1654178.58077,2749713.56209,5685113.17099,759747.449133,388334.987846,8819311.9709,16112130.8223
2062,739199.947128,493915.977656,124559.529393,867742.892567,1977434.63533,13581172.5384,5950819.02176,423046.473344,250875.869529,11038469.0088,1625321.88023,2701615.93364,5585531.13134,746495.704655,381507.146032,8651266.86609,15827625.4924
2063,739199.947128,485068.145439,118211.550333,865557.801672,1943035.35585,13344338.2076,5844968.34583,415822.838572,239729.162271,10846302.8955,1597141.50852,2654645.59321,5488283.04544,733554.547898,374839.331741,8487160.31792,15549788.2552
2064,739199.947128,476427.68437,112012.35209,863423.923864,1909442.3098,13113054.6836,5741598.54607,408768.507806,228843.706066,10658640.6772,1569621.61454,2608776.12057,5393314.21244,720916.69962,368327.794407,8326900.01846,15278462.8309
2065,739199.947128,467989.734043,105958.44751,861340.058802,1876636.60051,12887191.8655,5640651.47523,401879.512865,218213.37766,10475376.7908,1542746.71786,2563981.71335,5300571.21075,708575.050818,361968.871182,8170395.81858,15013496.5941
2066,739199.947128,459749.548148,100046.431299,859305.03432,1844599.77493,12666622.7064,5542070.35103,395151.97872,207832.197541,10296408.1511,1516501.70148,2520237.1749,5210001.87286,696522.659368,355758.985199,8017559.68537,14754740.5027
2067,739199.947128,451702.491678,94272.9780154,857317.705741,1813313.81271,12451223.1388,5445799.72273,388582.121212,197694.326415,10121634.0904,1490871.80289,2477517.89942,5121555.25457,684752.745941,349694.643468,7868305.65027,14502049.0093
2068,739199.947128,443844.038029,88634.8399969,855376.95516,1782761.11498,12240871.9968,5351785.43651,382166.244686,187794.061563,9950956.29526,1465842.60485,2435799.85662,5035181.60318,673258.689765,343772.434699,7722549.75542,14255279.9707
2069,739199.947128,436169.766908,83128.8458533,853481.690925,1752924.49618,12035450.9603,5259974.61037,375900.740283,178125.834194,9784278.76143,1441400.0287,2395059.58056,4950832.33447,662034.025562,337989.027713,7580210.01475,14014294.5821
2070,739199.947128,428675.361538,77751.8984626,851630.846951,1723787.17322,11834844.4799,5170315.60072,369782.083657,168684.205931,9621507.73276,1417530.32549,2355274.15483,4868460.00198,651072.439456,332341.169344,7441206.36214,13778957.2892
