year,Base case diesel consumed,Allen glacier (unnamed creek) -- unnamed creek,Lake 1120 (cordova),Lake 1488 (cordova),Sheep river lakes,Sheep bay (sanlin creek),Orca creek,Meals lake (eccles creek),"Meakerville, eyak (robinson falls creek)",Snyder falls -- snyder falls creek,"Cordova (heney creek, lower)","Cordova (hartney creek, lower)",Cordova (fidalgo creek),Crater lake,Van cleve lake (cordova),"Cordova (unnamed falls) -- unnamed creek, 2","Cordova (unnamed creek) -- unnamed creek, 1",Cordova (humpback creek),Karluk (mary's creek),"Flemming creek, knights island"
2037,662978.493466,472568.958527,345629.268568,-28375.4334254,-28375.4334254,649897.297433,647281.058225,639432.340607,370209.408533,-28375.4334254,638802.252515,620107.498175,364727.223868,561206.788309,-28375.4334254,621896.193806,-28375.4334254,461028.986713,613269.948535,643356.699413
2038,661318.228744,470908.693806,343969.003846,-30035.698147,-30035.698147,648237.032711,645620.793503,637772.075885,368549.143811,-30035.698147,637141.987793,618447.233453,363066.959146,559546.523587,-30035.698147,620235.929085,-30035.698147,459368.721991,611609.683813,641696.434691
2039,659582.497444,469172.962506,342233.272546,-31771.429447,-31771.429447,646501.301411,643885.062203,636036.344585,366813.412511,-31771.429447,635406.256493,616711.502153,361331.227847,557810.792287,-31771.429447,618500.197785,-31771.429447,457632.990691,609873.952513,639960.703391
2040,657922.232722,467512.697784,340573.007825,-33431.6941687,-33431.6941687,644841.036689,642224.797481,634376.079864,365153.14779,-33431.6941687,633745.991771,615051.237432,359670.963125,556150.527565,-33431.6941687,616839.933063,-33431.6941687,455972.725969,608213.687791,638300.43867
2041,656639.300892,466229.765953,339290.075994,-34714.6259991,-34714.6259991,643558.104859,640941.865651,633093.148033,363870.215959,-34714.6259991,632463.059941,613768.305601,358388.031294,554867.595735,-34714.6259991,615557.001233,-34714.6259991,454689.794139,606930.755961,637017.506839
2042,655280.902483,464871.367545,337931.677586,-36073.0244078,-36073.0244078,642199.70645,639583.467242,631734.749625,362511.817551,-36073.0244078,631104.661532,612409.907193,357029.632886,553509.197326,-36073.0244078,614198.602824,-36073.0244078,453331.39573,605572.357552,635659.108431
2043,653997.970653,463588.435714,336648.745755,-37355.9562382,-37355.9562382,640916.77462,638300.535412,630451.817794,361228.88572,-37355.9562382,629821.729702,611126.975362,355746.701055,552226.265496,-37355.9562382,612915.670994,-37355.9562382,452048.4639,604289.425722,634376.1766
2044,652639.572244,462230.037306,335290.347347,-38714.3546468,-38714.3546468,639558.376211,636942.137003,629093.419386,359870.487311,-38714.3546468,628463.331293,609768.576954,354388.302647,550867.867087,-38714.3546468,611557.272585,-38714.3546468,450690.065491,602931.027313,633017.778192
2045,651432.106992,461022.572054,334082.882095,-39921.819899,-39921.819899,638350.910959,635734.671751,627885.954134,358663.022059,-39921.819899,627255.866041,608561.111701,353180.837395,549660.401835,-39921.819899,610349.807333,-39921.819899,449482.600239,601723.562061,631810.312939
2046,650300.108318,459890.57338,332950.883421,-41053.8185728,-41053.8185728,637218.912285,634602.673077,626753.95546,357531.023385,-41053.8185728,626123.867367,607429.113028,352048.838721,548528.403161,-41053.8185728,609217.808659,-41053.8185728,448350.601565,600591.563387,630678.314266
2047,649243.576223,458834.041284,331894.351325,-42110.3506685,-42110.3506685,636162.380189,633546.140982,625697.423364,356474.49129,-42110.3506685,625067.335271,606372.580932,350992.306625,547471.871066,-42110.3506685,608161.276563,-42110.3506685,447294.06947,599535.031292,629621.78217
2048,648337.977284,457928.442345,330988.752386,-43015.9496076,-43015.9496076,635256.78125,632640.542043,624791.824425,355568.892351,-43015.9496076,624161.736332,605466.981993,350086.707686,546566.272126,-43015.9496076,607255.677624,-43015.9496076,446388.470531,598629.432353,628716.183231
2049,647356.911766,456947.376828,330007.686869,-43997.0151249,-43997.0151249,634275.715733,631659.476525,623810.758908,354587.826833,-43997.0151249,623180.670815,604485.916476,349105.642169,545585.206609,-43997.0151249,606274.612107,-43997.0151249,445407.405013,597648.366835,627735.117713
2050,646451.312827,456041.777889,329102.087929,-44902.6140641,-44902.6140641,633370.116794,630753.877586,622905.159968,353682.227894,-44902.6140641,622275.071876,603580.317536,348200.043229,544679.60767,-44902.6140641,605369.013168,-44902.6140641,444501.806074,596742.767896,626829.518774
