year,Base case diesel consumed,Goodro lake (goodro creek),Chomondeley sound (chomly creek),Lake 1013 project,Hetta lake,Klawak lake (klawak creek),Neck lake hydropower project: phases ii-iii -- neck lake outlet,Harris river (kasaan bay),Lake josephine (portage creek),"Thorne bay, thorne river",Karheen lake (karheen passage),Wolf lake,Coffman cove -- trumpeter creek,Red lake (red river),Beaver creek,Navy lake (navy creek),Whale pass work center (neck creek) -- neck island lake,Waterfall lake,Mary's lake (brown and johnson creeks) -- lake mary,Kasaan -- linkum creek,"Meyers chuck (meyers lake; 55.44', 132.14')","Meyers chuck (cannery creek; 155.46', 132.11')"
2031,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2032,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2033,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2034,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2035,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2036,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2037,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2038,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2039,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2040,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2041,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2042,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2043,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2044,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2045,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2046,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2047,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2048,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2049,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
2050,361391.861936,350120.667438,352374.90634,240430.450568,158510.360939,309544.367245,343655.58461,327578.278443,0.0,0.0,342907.102958,0.0,272710.475302,0.0,0.0,113425.58296,333213.875689,68340.8049801,0.0,357559.655807,353765.262686,335674.259813
