year,Base case cost,Melanson lake (melanson creek),Myrtle creek (niblack lake),"Collinson creek (moira sound, unnamed stream)",Kegan creek,Triangle lake (annette island),Weigle (weigle creek),Paul lake (tunnel creek),Tamgas lake  (tamgas creek),Triangle lake hydroelectric project
2058,784478.65,623996.933972,2062520.60443,1128449.37012,1971498.28957,2758235.06005,1369158.91786,911553.576954,652413.899699,
2059,784478.65,620498.499042,2032119.74621,1122704.04713,1942699.88567,2716557.11202,1350663.78627,903373.747064,648266.52294,
2060,784478.65,617082.058669,2002431.40801,1117093.38014,1914576.44426,2675855.99075,1332602.13426,895385.63191,644216.350309,
2061,784478.65,613745.691144,1973438.89048,1111614.21319,1887112.14624,2636108.80235,1314963.80237,887584.73827,640261.103633,
2062,784478.65,610487.519707,1945125.88484,1106263.46418,1860291.54248,2597293.18836,1297738.86874,879966.678012,636398.558018,
2063,784478.65,607305.711671,1917476.46534,1101038.12337,1834099.5467,2559387.31542,1280917.64454,872527.166061,632626.540827,
2064,784478.65,604198.477271,1890475.0792,1095935.25149,1808521.42589,2522369.86149,1264490.66782,865262.017693,628942.930299,
2065,784478.65,601164.068703,1864106.53827,1090951.97821,1783542.79251,2486220.00445,1248448.69852,858167.146302,625345.654425,
2066,784478.65,598200.779016,1838356.00942,1086085.50029,1759149.59527,2450917.40886,1232782.7125,851238.560797,621832.689621,
2067,784478.65,595306.941486,1813209.00906,1081333.08054,1735328.11404,2416442.2185,1217483.89832,844472.364141,618402.059995,
2068,784478.65,592480.92825,1788651.39132,1076692.04558,1712064.94859,2382775.04014,1202543.64997,837864.750165,615051.835722,
2069,784478.65,589721.149728,1764669.34299,1072159.78493,1689347.01381,2349896.93661,1187953.56385,831412.002209,611780.132366,
2070,784478.65,587026.053505,1741249.37384,1067733.74913,1667161.53055,2317789.41351,1173705.43282,825110.49051,608585.109545,
