year,Base case diesel consumed,Melanson lake (melanson creek),Myrtle creek (niblack lake),"Collinson creek (moira sound, unnamed stream)",Kegan creek,Triangle lake (annette island),Weigle (weigle creek),Paul lake (tunnel creek),Tamgas lake  (tamgas creek),Triangle lake hydroelectric project
2053,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2054,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2055,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2056,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2057,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2058,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2059,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2060,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2061,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2062,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2063,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2064,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2065,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2066,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2067,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2068,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2069,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
2070,157525.833333,87034.3076171,55583.3333333,152907.423026,55583.3333333,55583.3333333,55583.3333333,84603.5653158,84603.5653158,55583.3333333
