year,Base case diesel consumed,Cordova (lake 1878 elevation - fidalgo creek tributary),"Cordova (lake 1975 elevation - dead creek tributary) -- dead creek, lake 1975","Valdez (lowe river) -- lower river, keystone canyon",Valdez (mineral creek),Valdez (tsina river),Tasnuna river,Tiekel river,"Cleave creek -- copper river, cleave site",Nelchina river,Valdez (tonsina river),Tolsona creek,Kenney lake (tonsina river tributary),Chitina (liberty creek),"Glennallen (tazlina, cache creek)",Kenney lake (tonsina river tributary),Cordova (dead creek - gravina river tributary)
2043,2245921.81371,1387364.44304,1926262.2377,1818226.34798,1761758.18231,0.0,1562239.16913,0.0,0.0,0.0,1439233.73274,0.0,2120998.24827,2236874.84458,2200310.011,1891582.18936,0.0
2044,2225569.49802,1367012.12735,1905909.922,1797874.03228,1741405.86661,0.0,1541886.85343,0.0,0.0,0.0,1418881.41704,0.0,2100645.93258,2216522.52888,2179957.69531,1871229.87366,0.0
2045,2205409.1853,1346851.81463,1885749.60929,1777713.71956,1721245.55389,0.0,1521726.54071,0.0,0.0,0.0,1398721.10432,0.0,2080485.61986,2196362.21617,2159797.38259,1851069.56094,0.0
2046,2187360.90534,1328803.53467,1867701.32933,1759665.43961,1703197.27394,0.0,1503678.26076,0.0,0.0,0.0,1380672.82437,0.0,2062437.3399,2178313.93621,2141749.10263,1833021.28099,0.0
2047,2171040.65219,1312483.28152,1851381.07618,1743345.18645,1686877.02078,0.0,1487358.0076,0.0,0.0,0.0,1364352.57121,0.0,2046117.08675,2161993.68306,2125428.84948,1816701.02784,0.0
2048,2154720.39904,1296163.02837,1835060.82302,1727024.9333,1670556.76763,0.0,1471037.75445,0.0,0.0,0.0,1348032.31806,0.0,2029796.8336,2145673.4299,2109108.59633,1800380.77468,0.0
2049,2138112.14142,1279554.77075,1818452.5654,1710416.67568,1653948.51001,0.0,1454429.49683,0.0,0.0,0.0,1331424.06044,0.0,2013188.57598,2129065.17228,2092500.33871,1783772.51706,0.0
2050,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2051,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2052,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2053,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2054,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2055,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2056,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2057,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2058,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2059,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2060,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2061,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2062,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2063,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2064,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2065,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2066,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2067,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2068,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2069,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
2070,2121983.89124,1263426.52057,1802324.31523,1694288.42551,1637820.25984,0.0,1438301.24666,0.0,0.0,0.0,1315295.81027,0.0,1997060.32581,2112936.92211,2076372.08853,1767644.26689,0.0
