year,Base case cost,Cordova (lake 1878 elevation - fidalgo creek tributary),"Cordova (lake 1975 elevation - dead creek tributary) -- dead creek, lake 1975","Valdez (lowe river) -- lower river, keystone canyon",Valdez (mineral creek),Valdez (tsina river),Tasnuna river,Tiekel river,"Cleave creek -- copper river, cleave site",Nelchina river,Valdez (tonsina river),Tolsona creek,Kenney lake (tonsina river tributary),Chitina (liberty creek),"Glennallen (tazlina, cache creek)",Kenney lake (tonsina river tributary),Cordova (dead creek - gravina river tributary)
2040,9905587.65798,9293357.19446,10046169.0154,9141967.94058,9242179.21866,17313281.7819,10369658.7903,65044861.1944,1390077377.98,72027490.3487,10603025.2757,15631375.0958,9988035.45868,10236735.4211,9873992.99197,9354957.54279,6663367.89589
2041,9818688.07004,9144021.87234,9929309.3151,9032321.11232,9125866.66419,16847804.2474,10215704.1828,63706597.1829,1364202110.53,70522785.8952,10434275.9828,15196938.9541,9888926.24886,10143027.4628,9783759.48051,9247717.96608,6393108.43661
2042,9727258.17182,8991619.57744,9808621.49461,8918677.11221,9005713.16583,16386669.3231,10058790.867,62393131.7139,1338926727.61,69046780.932,10262914.7319,14766117.8898,9785572.89177,10044948.7654,9689073.7976,9136424.79758,6122616.16391
2043,9635004.58082,8839822.63055,9687795.71402,8804730.06243,8885409.18419,15933375.669,9902588.62628,61107484.0159,1314240770.01,67602403.2599,10092603.1797,14342427.6146,9681675.29802,9946202.20651,9593640.72938,9024773.48178,5855496.97358
2044,9547693.14649,8694363.38751,9572581.75067,8696233.60967,8770704.79013,15493486.0467,9752827.33846,59854748.6445,1290136169.41,66194658.1475,9929063.26738,13931447.5421,9582992.76721,9852549.98319,9503224.3368,8918518.95674,5597418.35174
2045,9461205.40493,8551090.67672,9458845.44573,8589057.37364,8657466.11145,15062683.6698,9605353.4121,58630151.5937,1266595297.8,64818684.3972,9768133.65303,13528877.1473,9485400.43928,9759870.06491,9413704.40948,8813532.10323,5344165.77928
2046,9383778.28391,8418209.48413,9354808.39951,8491426.64471,8553915.02837,14649011.7873,9468369.46992,57441289.599,1243613198.91,63481993.5941,9618009.39053,13142775.5598,9397128.99563,9676395.89631,9333316.16955,8718039.44319,5103882.37788
2047,9313764.39789,8294041.23146,9258808.25846,8401682.67289,8458389.46071,14250633.8771,9340194.62586,56285890.0968,1221175341.56,62182230.0216,9477002.20245,12771321.7659,9316524.95081,9600476.69039,9260410.56584,8630383.42924,4874829.15593
2048,9243750.51187,8171142.22177,9163417.17026,8312401.12494,8363461.82308,13859951.9988,9213382.92926,55155929.32,1199261730.53,60911288.7074,9337658.91988,12406932.9698,9236169.11283,9524695.8904,9187572.73676,8543140.90268,4649503.41842
2049,9172501.08668,8048247.1675,9067385.32084,8222335.62349,8267882.56211,13475550.2344,9086666.89166,54049575.4995,1177858843.08,59667258.5795,9198705.00525,12048208.0438,9154820.1251,9447814.71325,9113565.55466,8455066.63305,4426582.26183
2050,9103310.89343,7928621.78996,8973993.5416,8134770.35589,8174932.76377,13100547.2121,8963310.0851,52969541.1773,1156957975.26,58452774.7393,9063397.14698,11698280.0588,9075767.07787,9373124.76226,9041682.23945,8369445.92777,4209275.14442
2051,9103310.89343,7879368.68037,8950359.18031,8116825.94736,8151730.02446,12801901.8716,8910413.00186,51982388.7089,1136614540.11,57334323.9137,8998829.11482,11424122.0594,9066135.38454,9367753.9051,9039052.23753,8353400.50588,4064629.71086
2052,9103310.89343,7831269.9405,8927278.74935,8099302.11091,8129071.09934,12510256.0311,8858755.69398,51018372.6259,1116747904.21,56242086.7787,8935774.39588,11156389.6379,9056729.43402,9362508.92739,9036483.87628,8337731.14856,3923374.40457
2053,9103310.89343,7784298.51502,8904739.26607,8082188.98943,8106943.24285,12225445.641,8808309.10444,50076950.6734,1097346892.67,55175448.9555,8874197.52215,10894932.196,9047543.93549,9357386.87888,9033975.71101,8322429.04186,3785429.77003
2054,9103310.89343,7738427.98194,8882728.05175,8065476.95659,8085334.00782,11947310.4921,8759044.85643,49157593.2901,1078400592.17,54133810.4474,8814063.85588,10639602.6607,9038573.72202,9352384.87833,9031526.33084,8307485.57815,3650718.21172
2055,9103310.89343,7693632.53963,8861232.72533,8049156.61208,8064231.23931,11675694.1366,8710935.23939,48259783.3484,1059898345.64,53116585.3453,8755339.57261,10390257.4123,9029813.74795,9347500.11218,9029134.35802,8292892.35193,3519163.95599
2056,9103310.89343,7649886.99053,8840241.19564,8033218.77566,8043623.06695,11410443.7897,8663953.19153,47383015.8281,1041829745.54,52123201.4573,8697991.63978,10146756.1933,9021259.08578,9342729.83275,9026798.44707,8278641.15446,3390693.00325
2057,9103310.89343,7607166.7278,8819741.65496,8017654.48229,8023497.89865,11151410.2482,8618072.28549,46526797.5476,1024184628.28,51153100.0056,8641987.7992,9908962.03448,9012904.92351,9338071.35675,9024517.28404,8264723.96945,3265233.08863
2058,9103310.89343,7565447.72106,8799722.57218,8002454.977,8003844.41391,10898447.8042,8573266.713,45690646.8796,1006953068.38,50205735.3027,8587296.54841,9676741.1753,9004746.56189,9333522.06376,9022289.58576,8251132.9684,3142713.64026
2059,9103310.89343,7524706.50387,8780172.68682,7987611.71023,7984651.55787,10651414.1696,8529511.27147,44874093.4996,990125373.304,49280574.4676,8533887.12425,9449962.99435,8996779.41194,9329079.39486,9020114.09917,8237860.50655,3023065.74243
2060,9103310.89343,7484920.15869,8761081.00176,7973116.33242,7965908.53428,10410170.3841,8486781.34781,44076678.0841,973692077.221,48377097.0835,8481729.48312,9228499.92554,8988998.99201,9324740.85098,9017989.60053,8224899.11794,2906222.09143
2061,9103310.89343,7446066.30599,8742436.77808,7958960.69004,7947604.8003,10174580.75,8445052.90677,43297952.0929,957643936.524,47494794.9511,8430794.28673,9012227.39752,8981400.92568,9320503.99173,9015914.89484,8212241.51188,2792116.96356
2062,9103310.89343,7408123.09049,8724229.52841,7945136.82054,7929730.0601,9944512.74812,8404302.47608,42537477.4924,941971924.133,46633171.7754,8381052.88403,8801023.75699,8973980.93903,9316366.43387,9013888.81506,8199880.56847,2680686.17469
2063,9103310.89343,7371069.16899,8706449.01109,7931636.94794,7912274.25907,9719836.96429,8364507.13349,41794826.5131,926667224.486,45791742.8903,8332477.29531,8594770.20115,8966734.85829,9312325.85001,9011910.22151,8187809.33464,2571867.04459
2064,9103310.89343,7334883.69911,8689085.22481,7918453.47872,7895227.57854,9500427.02118,8325644.4946,41069581.4229,911721228.875,44970035.0023,8285040.19738,8393350.71489,8959658.60764,9308379.96737,9009978.00127,8176021.02045,2465598.36385
2065,9103310.89343,7299546.32591,8672128.40215,7905578.99697,7878580.42946,9286159.497,8287692.69852,40361334.2591,897125529.925,44167585.8869,8238714.90609,8196651.99636,8952748.20656,9304526.56632,9008091.06743,8164508.9948,2361820.35452
2066,9103310.89343,7265037.17228,8655569.00495,7893006.26084,7862323.44787,9076913.8672,8250630.39754,39669686.6359,882871917.622,43383944.1699,8193475.36366,8004563.40338,8945999.76798,9300763.47935,9006248.3586,8153266.7822,2260474.64194
2067,9103310.89343,7231336.82722,8639397.71877,7880728.19831,7846447.48943,8872572.43355,8214436.74454,38994249.5095,868952374.472,42618669.062,8149296.12338,7816976.88837,8939409.49599,9297088.58976,9004448.83827,8142288.05906,2161504.22032
2068,9103310.89343,7198426.33373,8623605.44697,7868737.90278,7830943.62363,8673020.2506,8179091.37999,38334642.9352,855359070.503,41871330.0834,8106152.33368,7633786.93079,8932973.68345,9293499.83037,9002691.49418,8131566.64965,2064853.41717
2069,9103310.89343,7166287.18001,8608183.30659,7857028.62983,7815803.12973,8478145.07248,8144574.42252,37690495.8919,842084359.633,41141506.864,8064019.72667,7454890.48834,8926688.71027,9289995.18253,9000975.33785,8121096.5233,1970467.86747
2070,9103310.89343,7134901.2878,8593122.62266,7845593.793,7801017.49119,8287837.28188,8110866.45633,37061446.0466,829120774.835,40428788.8784,8022874.60275,7280186.93174,8920551.04118,9286572.67489,8999299.40393,8110871.79057,1878294.47935
