year,Base case cost,"Port lions (unnamed stream, site #3) -- unnamed creek, 3","Port lions (unnamed stream, site #2) -- unnamed creek, 2","Uganik bay (one mile, 1/2 mile creek, ne arm uganik bay) -- 0",Cape chiniak (west fork twin creek),"Port lions (unnamed stream, site #1) -- unnamed creek, 1",Port lions (mennonite creek),"Port lions (crescent lake, port lions river)","Kodiak (unnamed stream, site #5) -- unnamed creek","Kodiak (unnamed stream, site #4) -- unnamed creek",Kodiak (leanne lake),Kodiak (virginia creek),"Monashka bay, upper -- monashka creek","Monashka bay, lower -- monashka creek",Cape chiniak (myrtle creek),"Pillar creek, 1"
2033,0.0,174286.861085,517596.24126,509321.537663,242579.76241,100672.745611,104439.606831,392562.460102,526766.152554,447096.363787,2580989.29812,304385.695628,124934.480874,103864.389074,459579.078984,75977.217884
2034,0.0,170733.230985,507253.992539,499864.710707,237920.137246,98705.007013,101285.066777,384273.216079,514731.357173,437288.099983,2528155.80314,298501.140678,122594.771637,101910.553694,450547.418324,74500.5100071
2035,0.0,167337.097483,497331.180211,490656.030771,233414.246971,96808.830133,98459.19623,376403.873376,503468.403197,428042.065213,2477702.26084,292818.112054,120320.500454,100013.112465,441853.591345,73075.9044212
2036,0.0,163939.34928,487447.186219,481634.17534,228965.236616,94929.2509474,95420.7824335,368472.053893,491933.427995,418649.022372,2427181.81448,287198.669559,118087.930894,98148.5408981,433225.466326,71665.5453152
2037,0.0,160695.444245,477971.888427,472850.272427,224665.024934,93119.1672723,92708.3164722,360951.758712,481158.579829,409808.476962,2378987.1095,281774.539904,115918.288336,96338.2713916,424925.717256,70305.7334728
2038,0.0,157462.082979,468562.438873,464248.854882,220426.308383,91329.0553677,89834.6329448,353408.620017,470204.064161,400881.851272,2330914.50241,276421.40815,113790.141792,94561.0750817,416709.168708,68962.3564288
2039,0.0,154316.175393,459401.368759,455853.201314,216293.939743,89584.9009404,87068.3672506,346077.760394,459583.329003,392216.716428,2284148.16287,271203.744719,111713.541025,92827.1991647,408705.037446,67653.2159697
2040,0.0,151193.135502,450333.663185,447636.15566,212227.904995,87864.1859331,84192.3329308,338764.069899,448875.810583,383526.869815,2237695.37829,266064.772355,109678.344382,91126.6947258,400802.033588,66362.7690509
2041,0.0,148342.942087,441954.790234,439683.000106,208376.9579,86252.2516394,82069.0440881,332228.80768,439736.941917,375934.839709,2195402.87294,261217.373229,107719.368997,89494.5672219,393423.661565,65149.627349
2042,0.0,145559.550014,433772.296922,431916.246448,204616.267288,84678.0970179,79995.5197778,325846.715516,430812.265269,368520.747631,2154101.5972,256483.584907,105806.307051,87900.692668,386218.219964,63964.9186272
2043,0.0,142841.39384,425781.581231,424331.526492,200943.718061,83140.8367288,77970.5938035,319614.203976,422096.761205,361280.423729,2113768.3223,251860.744999,103938.082596,86344.1746336,379181.656283,62807.976579
2044,0.0,140186.944427,417978.147868,416924.573342,197357.244175,81639.6059642,75993.1270139,313527.766871,413585.52669,354209.794854,2074380.35817,247346.252861,102113.644635,84824.1374769,372310.012,61678.1503498
2045,0.0,137594.708721,410357.607616,409691.220792,193854.828335,80173.5603228,74062.007138,307583.980745,405273.774388,347304.883972,2035915.55017,242937.569215,100331.966972,83339.7262186,365599.422005,60574.8044433
2046,0.0,135063.228428,402915.673453,402627.399634,190434.500218,78741.875064,72176.1478023,301779.501854,397156.828429,340561.806646,1998352.25947,238632.213904,98592.0473036,81890.1057861,359046.111179,59497.3181597
2047,0.0,132591.079802,395648.159905,395729.137054,187094.336171,77343.7449828,70334.4883664,296111.065658,389230.123698,333976.770451,1961669.35982,234427.765522,96892.9070685,80474.4608877,352646.393824,58445.0855018
2048,0.0,130176.872095,388550.978518,388992.552325,183832.457133,75978.3835394,68535.9927762,290575.483289,381489.200906,327546.070873,1925846.2147,230321.858791,95233.5903889,79091.9951301,346396.66968,57417.5145198
2049,0.0,127819.247345,381620.137215,382413.8562,180647.028336,74645.0227345,66779.6493995,285169.641049,373929.705876,321266.090719,1890862.674,226312.184187,93613.1639193,77741.9308931,340293.423352,56414.0272173
2050,0.0,125516.879493,374851.737701,375989.348453,177536.258117,73342.9126113,65064.4703706,279890.498391,366547.386726,315133.29778,1856699.06103,222396.486446,92030.7162411,76423.508825,334333.222033,55434.059177
