year,Base case cost,Sheep creek,Water supply creek (hoonah),Turner lake (turner creek),Yehring creek,Tease creek (tease lake),Treadwell ditch,Sawmill creek,Sweetheart lake -- sweetheart falls creek,Peterson lake,Rhine creek,Davidson creek,Davies creek,"Funter bay (s funter bay creek; 58.13, 134.52) -- south funter bay creek","Greens creek (hawk inlet; 58.04, 134.43)",Bear creek (taku harbor),Boundary lake (boundary creek),Carlson creek,Cowee creek,Lemon creek,Nugget creek
2032,357757.26076,2672064.47904,800394.16492,4599443.63142,5937125.68165,20584435.8017,4535550.23742,2133194.62109,10646447.9198,3184013.34272,1893580.78575,377228.85179,3274393.79653,650550.396362,889627.25768,279784.162034,22723089.0631,11169827.834,708648.829251,5607968.50661,7083928.10875
2033,365648.965041,2616381.664,784058.066708,4504019.08867,5810677.43195,20157214.5292,4441336.30998,2089736.28695,10378470.6684,3117824.70102,1854058.23148,374607.240809,3207026.46335,647426.739191,882329.842314,281165.555976,22242138.8807,10937825.7204,694550.768654,5491370.3725,6937864.01569
2034,374417.525354,2561670.67117,768039.297064,4410275.65239,5686245.99725,19737457.1363,4348775.1152,2047102.1154,10112222.1321,3052798.57124,1815225.93941,372386.099549,3140886.06338,645048.535263,875901.077323,283007.263668,21769001.449,10709872.6406,680752.028667,5376807.27803,6794422.14824
2035,380555.517573,2509003.05349,752545.672332,4319997.80497,5566893.33065,19333359.6699,4259651.8005,2005911.14915,9862609.98276,2990184.42533,1777842.88195,369442.72535,3077099.72632,641190.755372,868029.718954,283680.56558,21314854.2757,10490433.4039,667347.7313,5266522.78044,6656171.92771
2036,389324.077886,2456699.09879,737243.906754,4230384.62079,5447864.05265,18932072.6321,4171166.08967,1965177.66792,9606954.17546,2928021.94178,1740719.21977,367454.177808,3013888.66851,639179.896777,862165.651644,285625.43869,20862311.7826,10272509.2147,654176.328687,5156999.97581,6519068.61359
2037,394585.214073,2406657.29958,722504.612003,4144598.88149,5334568.81731,18548117.7041,4086481.39858,1926003.37516,9371445.5623,2868525.38657,1705199.67618,364457.976331,2953253.69219,635125.710412,854269.659171,285992.621376,20431133.7512,10064010.4634,641410.350389,5052213.82639,6387669.98385
2038,403353.774386,2356648.87498,707886.63468,4058924.61203,5220691.4366,18164445.3669,4001882.37151,1887082.53317,9125891.767,2809093.88847,1669705.49018,362691.24741,2892836.27232,633465.179572,848944.129453,288035.88068,19998232.1191,9855650.56807,628837.223226,4947497.81599,6256611.58431
2039,410368.622636,2308298.41449,693706.840707,3976068.1527,5110863.57727,17793482.1358,3920075.95357,1849357.33526,8892730.25428,2751622.18971,1635387.37243,360471.604906,2834348.10881,630863.39456,842726.246125,289312.87707,19580520.8277,9654198.65632,616604.128649,4846253.42273,6129792.99867
2040,420014.03898,2260203.98338,679686.844188,3893691.66742,5001117.54261,17424503.4091,3838724.89933,1812004.63071,8653051.41705,2694474.10194,1601252.24652,359196.388352,2776304.23548,630092.104557,838490.40272,291856.831494,19163493.289,9453813.33822,604575.876681,4745545.33983,6003837.88342
2041,420014.03898,2216192.96338,666576.922999,3818172.87745,4902342.86067,17086785.798,3764207.50688,1777251.82889,8459370.72728,2642114.31999,1570011.13612,354943.57382,2722743.24941,623375.450367,828165.297952,289970.523506,18786929.1448,9270442.04215,593105.448632,4653387.14192,5887941.83949
2042,420014.03898,2173213.45162,653774.265579,3744424.05908,4805883.21028,16756983.4432,3691436.61576,1743313.54583,8270229.42855,2590981.7204,1539502.23922,350790.434626,2670437.5989,616816.217755,818082.18782,288128.42586,18419190.7224,9091368.51071,581903.858733,4563388.90171,5774762.10902
2043,420014.03898,2131241.27236,641271.670495,3672403.72894,4711684.33333,16434910.8324,3620371.2927,1710170.69142,8085521.12979,2541047.54132,1509708.39471,346734.634649,2619357.8623,610410.717184,808235.400623,286329.502385,18060071.1709,8916492.0159,570964.806143,4475499.99563,5664235.02895
2044,420014.03898,2090252.81588,629062.104937,3602071.37501,4619693.24222,16120386.7973,3550971.56288,1677804.62255,7905141.93109,2492283.69437,1480612.84333,342773.892469,2569475.30684,604155.345509,798619.397465,284572.741172,17709368.4825,8745714.18829,560282.137557,4389670.98545,5556298.4269
2045,420014.03898,2050225.02651,617138.701117,3533387.4359,4529858.19265,15813234.4204,3483198.3895,1646197.13353,7728990.37054,2444662.75028,1452199.21904,338905.980198,2520761.87395,598046.584131,789228.769416,282857.154057,17366885.3897,8578938.96665,549849.844057,4305853.59303,5450891.58937
2046,420014.03898,2011135.38841,605494.752059,3466313.27653,4442128.65194,15513280.9269,3417013.64978,1615330.44499,7556967.36197,2398157.922,1424451.53904,335128.722117,2473190.16209,592080.99684,780058.234201,281181.776013,17032429.2439,8416072.53906,539662.057422,4224000.67063,5347955.22446
2047,420014.03898,1972961.91379,594123.708086,3400811.16792,4356455.27255,15220357.5942,3352380.11505,1585187.19455,7388976.14307,2352743.05074,1397354.19535,331439.99353,2426733.41234,586255.228015,771102.633427,279545.664646,16705811.9149,8257023.29376,529713.047061,4144066.1763,5247431.43086
2048,420014.03898,1935683.12998,583019.172955,3336844.26499,4272789.86299,14934299.6521,3289261.4288,1555750.42653,7224922.21837,2308392.59053,1370891.94566,327837.719521,2381365.49266,580566.000648,762356.929546,277947.899639,16386849.6795,8101701.76515,519997.21663,4066005.14668,5149263.66366
2049,420014.03898,1899278.06732,572174.900265,3274376.58575,4191085.3607,14654946.1904,3227622.08618,1527003.5825,7064713.30602,2265081.59382,1345049.90469,324319.873775,2337060.88318,575010.114494,753816.203019,276387.582235,16075363.1186,7950020.58343,510509.100886,3989773.67172,5053396.70261
2050,420014.03898,1863726.24857,561584.790289,3213372.99318,4111295.80823,14382140.0773,3167427.41606,1498930.49281,6908259.29114,2222785.69889,1319813.53674,320884.477562,2293794.66329,569584.44446,745475.649828,274863.83478,15771177.026,7801894.43044,501243.362919,3915328.87248,4959776.6241
2051,420014.03898,1829007.67562,551242.88603,3153799.17238,4033376.32351,14115727.8578,3108643.55861,1471515.36621,6755472.16744,2181481.11406,1295168.6462,317529.598453,2251542.49548,564285.938575,737330.578364,273375.800158,15474120.2954,7657239.98436,492194.790698,3842628.87332,4868350.76631
2052,420014.03898,1795102.8192,541143.370146,3095621.61297,3957283.07667,13855559.6746,3051237.44778,1444742.78161,6606265.99187,2141144.6054,1271101.37026,314253.349321,2210280.61283,559111.616418,729376.407007,271922.641347,15184025.8318,7515975.87677,483358.294383,3771632.78034,4779067.70201
2053,420014.03898,1761992.60797,531280.561703,3038807.59033,3882973.26557,13601489.1842,2995176.79289,1418597.67957,6460556.83658,2101753.48382,1247598.1712,311053.88729,2169985.80571,554058.567456,721608.661571,270503.540951,14900730.4582,7378022.64723,474728.903482,3702300.65856,4691877.20986
2054,420014.03898,1729658.41705,521648.91275,2983325.14587,3810405.09006,13353373.4687,2940430.05912,1393065.35314,6318262.7384,2063285.59132,1224645.82816,307929.412624,2130635.40779,549123.949286,714022.972603,269117.700709,14624074.8175,7243302.69534,466301.763859,3634593.5078,4606730.24414
2055,420014.03898,1698082.05883,512243.005601,2929143.07138,3739537.73139,13111072.9662,2886966.45211,1368131.44069,6179303.65861,2025719.29018,1202231.43074,304878.167843,2092207.28495,544304.986246,706615.073246,267764.341101,14353903.2944,7111740.24278,458072.135349,3568473.2436,4523578.9107
2056,420014.03898,1667245.77153,503057.549409,2876230.88931,3670331.32651,12874451.3819,2834755.89843,1343781.91684,6043601.43238,1989033.44925,1180342.37078,301898.436614,2054679.82128,539598.967657,699380.796536,266442.700861,14090063.9165,6983261.28531,450035.388764,3503902.67316,4442376.43672
2057,420014.03898,1637132.20976,494087.377358,2824558.83657,3602746.94683,12643375.6162,2783769.02968,1320003.08498,5911079.72725,1953207.43277,1158966.33569,298988.54284,2018031.90758,535003.246384,692316.073196,265152.036566,13832408.2744,6857793.55357,442187.003437,3440845.47555,4363077.14582
2058,420014.03898,1607724.43447,485327.443679,2774097.84737,3536746.57577,12417715.6879,2733977.16545,1296781.5694,5781663.99905,1918221.0884,1138091.30133,296146.849689,1982242.92921,530515.23731,685416.929281,263891.62221,13580791.4354,6735266.47129,434522.56461,3379266.18075,4285636.43174
2059,420014.03898,1579005.90415,476772.821016,2724819.538,3472293.08895,12197344.666,2685352.29844,1274104.30828,5655281.45302,1884054.73676,1117705.52577,293371.758745,1947292.75532,526132.415985,678679.484106,262660.748825,13335071.8681,6615611.11848,427037.761129,3319130.15117,4210010.73501
2060,420014.03898,1550960.4642,468418.697265,2676696.18868,3409350.23029,11982138.5885,2637867.07643,1251958.54532,5531860.99708,1850689.15876,1097797.54168,290661.708976,1913161.72589,521852.317006,672099.947759,261458.724027,13095111.3515,6498760.18722,419728.382681,3260403.55938,4136157.51506
2061,420014.03898,1523572.33926,460260.373294,2629700.73039,3347882.59492,11771976.4035,2591494.78934,1230331.82368,5411333.20815,1818105.58652,1078356.15098,288015.176,1879830.64248,517672.532849,665674.619298,260284.871687,12860774.9097,6384647.94972,412590.317794,3203053.37212,4064035.22999
2062,420014.03898,1496826.12351,452293.260045,2583806.72818,3287855.60729,11566739.8948,2546209.35276,1209211.97835,5293630.28933,1786285.69177,1059370.41788,285430.671142,1847280.75636,513590.712385,659399.884477,259138.531511,12631930.7283,6273210.21785,405619.551307,3147047.32991,3993603.31101
2063,420014.03898,1470706.77212,444512.875989,2538988.36651,3229235.502,11366313.6162,2501985.29345,1188587.12933,5178686.03232,1755211.5757,1040829.66285,282906.740609,1815493.75809,509604.559576,653272.213734,258019.058679,12408450.0818,6164384.30748,398812.162138,3092353.92914,3924822.13992
2064,420014.03898,1445199.59326,436914.844755,2495220.43559,3171989.30596,11170584.8303,2458797.73594,1168445.67539,5066435.78237,1724865.75951,1022723.45693,280441.96472,1784451.76789,505711.83226,647288.160329,256925.823502,12190207.2649,6058109.00538,392164.321214,3038942.40545,3857653.02815
2065,420014.03898,1420290.23871,429494.892322,2452478.31524,3116084.81721,10979443.4364,2416622.38649,1148776.28664,4956816.39683,1695231.17317,1005041.61508,278034.956999,1754137.3241,501910.340712,641444.358133,255858.211017,11977079.5124,5954324.52988,385672.289013,2986782.71395,3792058.19194
2066,420014.03898,1395964.69708,422248.845,2410737.96318,3061490.58974,10792781.9183,2375435.52165,1129567.89911,4849766.21527,1666291.14734,987774.191337,275684.363513,1724533.37499,498197.946609,635737.52003,254815.620695,11768946.941,5852972.50268,379332.413796,2935845.51504,3728000.73449
2067,420014.03898,1372209.28553,415172.62697,2369975.90097,3008175.91491,10610495.281,2335213.97429,1110809.70833,4745225.02321,1638029.4036,970911.47298,273388.86208,1695623.26867,494572.561773,630164.435992,253797.466093,11565692.4783,5753995.91445,373141.129455,2886102.15715,3665444.62422
2068,420014.03898,1349010.64124,408262.257744,2330169.19926,2956110.80235,10432480.9853,2295935.11912,1092491.16249,4643134.0145,1610430.04426,954443.974448,271147.161444,1667390.74274,491032.146865,624721.971067,252803.174481,11367201.7905,5657339.0892,367094.953291,2837524.65881,3604354.67227
2069,420014.03898,1326355.71525,401513.850314,2291295.46723,2905265.966,10258638.9001,2257576.86222,1074601.95761,4543435.76408,1583477.54497,938362.432958,268958.000673,1639819.91671,487574.710441,619407.063927,251832.186581,11173363.2287,5562947.65856,361190.484397,2790085.69572,3544696.51625
2070,420014.03898,1304231.76414,394923.608703,2253332.8384,2855612.80564,10088871.2393,2220117.62708,1057132.03103,4446074.19167,1557156.74496,922657.80264,266820.148364,1612895.282,484198.307692,614216.724939,250883.956213,10984067.7588,5470768.52733,355424.401509,2743758.58346,3486436.59841
