year,Base case cost,"Bradfield river, north -- bradfield river, north fork","Fish creek; 55.58', 130.03' (hyder) -- beaver falls creek",City creek (petersburg),Cascade creek (cascade/rosa),Anan creek (anan lake),Aaron (aaron creek),Bakewell arm (bakewell arm lake),"Anita and kunk lakes (petersburg) -- kunk lake, anita lake","Coho creek (56.49', 133.01' near kupreanof)",Clover creek,Ruth lake hydroelectric project,Short (short creek),Thomas bay (juneau) -- swan lake,Orchard creek,Perseverance lake (ward cove creek) -- perserverance lake,Scenery lake -- scenery creek,Shelokum lake,Margaret creek,Nadzaheen lake,Naha river,Olive lake (olive creek),Ruth lake -- delta creek,Crittenden creek,Eagle (eagle lake),Drake lake,Gokachin river,Farragut river (glory creek),Harding river,Grace lake (mahoney lake),Katate river,Houghton (unnamed stream),Connell lake -- connel lake,Mahoney lake,Sunrise lake,"Wrangell resevoir, lower (unnamed stream) -- unnamed creek",White river,Virginia lake,Tom creek,"Thomas lake (petersburg/ wrangell, thoms) -- thoms lake"
2031,2008045.42845,37500054.955,2553308.05327,1255913.72318,2097472.59679,9695277.41182,16788490.343,5584438.39075,2067281.78161,2400416.09071,6975166.07118,,7687729.80139,11224586.3344,12432404.6182,2152370.34703,4961395.80318,10169135.1763,2236797.70694,2272984.602,4939023.18858,3715133.43763,5131516.79871,2251182.01507,12803337.9507,2958909.40243,4041296.98529,52600273.5996,24981618.9276,2483275.57183,36883744.9448,44248656.6219,4183187.69619,5245337.42898,3161247.35123,2036432.29904,11044407.2619,1462020.60147,7293189.74345,7288615.53367
2032,2051593.40159,37465906.5065,2594195.30296,1279274.43791,2136967.94979,9686675.13091,16773371.1826,5581158.40208,2058536.12935,2439776.81273,6970571.10523,,7682263.15361,11172451.2986,12420934.9103,2176226.3941,4940615.82061,10161978.8374,2272186.04221,2297493.4201,4935544.41271,3712747.99133,5113358.16575,2276479.59816,12794193.7399,2992312.22582,4038613.35819,52557783.5454,24959461.5374,2526279.56911,36857938.1021,44213204.7976,4180163.86411,5234674.51078,3158065.02864,2074540.5136,11034240.9299,1455170.05776,7288021.27645,7282169.03649
2033,2099980.03842,37427963.786,2639625.58039,1305230.78761,2180851.67535,9677117.04102,16756572.1155,5577513.97022,2048818.73796,2483510.9483,6965465.5875,,7676189.10051,11114523.4811,12408190.7905,2202733.11307,4917526.95109,10154027.3497,2311506.41473,2324725.44021,4931679.1062,3710097.49543,5093181.90689,2304588.02382,12784033.5056,3029426.47403,4035631.55031,52510572.3741,24934842.2149,2574061.78832,36829263.8324,44173813.8817,4176804.05069,5222826.82389,3154529.11466,2116882.97422,11022945.0055,1447558.34254,7282278.53534,7275006.26185
2034,2148366.67525,37390021.0655,2685055.85782,1331187.13731,2224735.4009,9667558.95112,16739773.0484,5573869.53836,2039101.34656,2527245.08388,6960360.06978,,7670115.04741,11056595.6635,12395446.6706,2229239.83204,4894438.08157,10146075.862,2350826.78725,2351957.46032,4927813.79968,3707446.99953,5073005.64804,2332696.44948,12773873.2713,3066540.72224,4032649.74243,52463361.2028,24910222.8925,2621844.00753,36800589.5627,44134422.9657,4173444.23728,5210979.13701,3150993.20067,2159225.43485,11011649.0811,1439946.62731,7276535.79423,7267843.48721
2035,2182237.32103,37363461.1612,2716857.05202,1349356.5821,2255454.00879,9660868.28819,16728013.7015,5571318.43606,2032299.17259,2557858.97878,6956786.20738,,7665863.21024,11016046.1912,12386525.7867,2247794.53532,4878275.8729,10140509.8206,2378351.04801,2371019.8744,4925108.08512,3705591.6524,5058882.26684,2352372.34744,12766761.1073,3092520.69598,4030562.47691,52430313.3829,24892989.3668,2655291.56098,36780517.5739,44106849.3246,4171092.36788,5202685.75619,3148518.06088,2188865.15729,11003741.934,1434618.42665,7272515.87545,7262829.54496
2036,2235462.62155,37321724.1686,2766830.3572,1377908.56677,2303726.10691,9650354.38931,16709534.7277,5567309.56101,2021610.04205,2605966.52792,6951170.13788,,7659181.75184,10952325.5919,12372507.2549,2276951.92618,4852878.11643,10131763.1841,2421603.45778,2400975.09652,4920856.24795,3702676.10691,5036688.3821,2383291.61567,12755584.8496,3133346.36901,4027282.48824,52378381.0945,24865908.112,2707852.00211,36748975.8773,44063519.317,4167396.57312,5189653.30061,3144628.5555,2235441.86397,10991316.4171,1426245.5399,7266198.86023,7254950.49286
2037,2264494.60364,37298958.5364,2794088.52366,1393482.37659,2330056.34224,9644619.53537,16699455.2874,5565122.9019,2015779.60722,2632207.00927,6948106.82725,,7655537.31998,10917568.9014,12364860.783,2292855.95756,4839024.79472,10126992.2915,2445195.68129,2417314.30859,4918537.06404,3701085.80938,5024582.62679,2400156.67106,12749488.7091,3155614.91793,4025493.40351,52350054.3917,24851136.5186,2736521.33364,36731771.3155,44039884.7675,4165380.68507,5182544.68848,3142507.00711,2260847.34035,10984538.8624,1421678.51077,7262753.21556,7250652.82807
2038,2317719.90416,37257221.5438,2844061.82883,1422034.36126,2378328.44035,9634105.63648,16680976.3136,5561114.02685,2005090.47668,2680314.5584,6942490.75775,,7648855.86157,10853848.3021,12350842.2511,2322013.34843,4813627.03824,10118245.655,2488448.09107,2447269.53072,4914285.22687,3698170.26389,5002388.74205,2431075.93929,12738312.4514,3196440.59096,4022213.41483,52298122.1032,24824055.2639,2789081.77477,36700229.6188,43996554.7599,4161684.89031,5169512.23291,3138617.50173,2307424.04703,10972113.3456,1413305.62402,7256436.20034,7242773.77597
2039,2356429.21362,37226867.3674,2880406.05078,1442799.44102,2413435.4208,9626459.16457,16667537.0599,5558198.48137,1997316.56357,2715301.86686,6938406.34357,,7643996.61909,10807506.048,12340646.9552,2343218.7236,4795155.94263,10111884.4649,2519904.38908,2469055.14681,4911192.98166,3696049.86717,4986247.73496,2453562.67982,12730184.2639,3226131.98953,4019827.96853,52260353.1662,24804359.8059,2827307.55013,36677290.203,43965042.0272,4158997.03958,5160034.0834,3135788.77054,2341298.01553,10963076.606,1407216.25184,7251842.00745,7237043.55625
2040,2409654.51413,37185130.3749,2930379.35595,1471351.42569,2461707.51891,9615945.26568,16649058.0861,5554189.60632,1986627.43303,2763409.416,6932790.27408,,7637315.16068,10743785.4487,12326628.4234,2372376.11447,4769758.18615,10103137.8284,2563156.79886,2499010.36893,4906941.14449,3693134.32168,4964053.85022,2484481.94804,12719008.0062,3266957.66256,4016547.97986,52208420.8778,24777278.5512,2879867.99126,36645748.5064,43921712.0197,4155301.24482,5147001.62783,3131899.26516,2387874.72222,10950651.0892,1398843.36509,7245524.99222,7229164.50415
2041,2409654.51413,37185130.3749,2930379.35595,1471351.42569,2461707.51891,9615945.26568,16649058.0861,5554189.60632,1986627.43303,2763409.416,6932790.27408,,7637315.16068,10743785.4487,12326628.4234,2372376.11447,4769758.18615,10103137.8284,2563156.79886,2499010.36893,4906941.14449,3693134.32168,4964053.85022,2484481.94804,12719008.0062,3266957.66256,4016547.97986,52208420.8778,24777278.5512,2879867.99126,36645748.5064,43921712.0197,4155301.24482,5147001.62783,3131899.26516,2387874.72222,10950651.0892,1398843.36509,7245524.99222,7229164.50415
2042,2409654.51413,37185130.3749,2930379.35595,1471351.42569,2461707.51891,9615945.26568,16649058.0861,5554189.60632,1986627.43303,2763409.416,6932790.27408,,7637315.16068,10743785.4487,12326628.4234,2372376.11447,4769758.18615,10103137.8284,2563156.79886,2499010.36893,4906941.14449,3693134.32168,4964053.85022,2484481.94804,12719008.0062,3266957.66256,4016547.97986,52208420.8778,24777278.5512,2879867.99126,36645748.5064,43921712.0197,4155301.24482,5147001.62783,3131899.26516,2387874.72222,10950651.0892,1398843.36509,7245524.99222,7229164.50415
2043,2409654.51413,37185130.3749,2930379.35595,1471351.42569,2461707.51891,9615945.26568,16649058.0861,5554189.60632,1986627.43303,2763409.416,6932790.27408,,7637315.16068,10743785.4487,12326628.4234,2372376.11447,4769758.18615,10103137.8284,2563156.79886,2499010.36893,4906941.14449,3693134.32168,4964053.85022,2484481.94804,12719008.0062,3266957.66256,4016547.97986,52208420.8778,24777278.5512,2879867.99126,36645748.5064,43921712.0197,4155301.24482,5147001.62783,3131899.26516,2387874.72222,10950651.0892,1398843.36509,7245524.99222,7229164.50415
2044,2409654.51413,37185130.3749,2930379.35595,1471351.42569,2461707.51891,9615945.26568,16649058.0861,5554189.60632,1986627.43303,2763409.416,6932790.27408,,7637315.16068,10743785.4487,12326628.4234,2372376.11447,4769758.18615,10103137.8284,2563156.79886,2499010.36893,4906941.14449,3693134.32168,4964053.85022,2484481.94804,12719008.0062,3266957.66256,4016547.97986,52208420.8778,24777278.5512,2879867.99126,36645748.5064,43921712.0197,4155301.24482,5147001.62783,3131899.26516,2387874.72222,10950651.0892,1398843.36509,7245524.99222,7229164.50415
2045,2409654.51413,37185130.3749,2930379.35595,1471351.42569,2461707.51891,9615945.26568,16649058.0861,5554189.60632,1986627.43303,2763409.416,6932790.27408,,7637315.16068,10743785.4487,12326628.4234,2372376.11447,4769758.18615,10103137.8284,2563156.79886,2499010.36893,4906941.14449,3693134.32168,4964053.85022,2484481.94804,12719008.0062,3266957.66256,4016547.97986,52208420.8778,24777278.5512,2879867.99126,36645748.5064,43921712.0197,4155301.24482,5147001.62783,3131899.26516,2387874.72222,10950651.0892,1398843.36509,7245524.99222,7229164.50415
2046,2409654.51413,37185130.3749,2930379.35595,1471351.42569,2461707.51891,9615945.26568,16649058.0861,5554189.60632,1986627.43303,2763409.416,6932790.27408,,7637315.16068,10743785.4487,12326628.4234,2372376.11447,4769758.18615,10103137.8284,2563156.79886,2499010.36893,4906941.14449,3693134.32168,4964053.85022,2484481.94804,12719008.0062,3266957.66256,4016547.97986,52208420.8778,24777278.5512,2879867.99126,36645748.5064,43921712.0197,4155301.24482,5147001.62783,3131899.26516,2387874.72222,10950651.0892,1398843.36509,7245524.99222,7229164.50415
2047,2409654.51413,37185130.3749,2930379.35595,1471351.42569,2461707.51891,9615945.26568,16649058.0861,5554189.60632,1986627.43303,2763409.416,6932790.27408,,7637315.16068,10743785.4487,12326628.4234,2372376.11447,4769758.18615,10103137.8284,2563156.79886,2499010.36893,4906941.14449,3693134.32168,4964053.85022,2484481.94804,12719008.0062,3266957.66256,4016547.97986,52208420.8778,24777278.5512,2879867.99126,36645748.5064,43921712.0197,4155301.24482,5147001.62783,3131899.26516,2387874.72222,10950651.0892,1398843.36509,7245524.99222,7229164.50415
2048,2409654.51413,37185130.3749,2930379.35595,1471351.42569,2461707.51891,9615945.26568,16649058.0861,5554189.60632,1986627.43303,2763409.416,6932790.27408,,7637315.16068,10743785.4487,12326628.4234,2372376.11447,4769758.18615,10103137.8284,2563156.79886,2499010.36893,4906941.14449,3693134.32168,4964053.85022,2484481.94804,12719008.0062,3266957.66256,4016547.97986,52208420.8778,24777278.5512,2879867.99126,36645748.5064,43921712.0197,4155301.24482,5147001.62783,3131899.26516,2387874.72222,10950651.0892,1398843.36509,7245524.99222,7229164.50415
2049,2409654.51413,37185130.3749,2930379.35595,1471351.42569,2461707.51891,9615945.26568,16649058.0861,5554189.60632,1986627.43303,2763409.416,6932790.27408,,7637315.16068,10743785.4487,12326628.4234,2372376.11447,4769758.18615,10103137.8284,2563156.79886,2499010.36893,4906941.14449,3693134.32168,4964053.85022,2484481.94804,12719008.0062,3266957.66256,4016547.97986,52208420.8778,24777278.5512,2879867.99126,36645748.5064,43921712.0197,4155301.24482,5147001.62783,3131899.26516,2387874.72222,10950651.0892,1398843.36509,7245524.99222,7229164.50415
2050,2409654.51413,37185130.3749,2930379.35595,1471351.42569,2461707.51891,9615945.26568,16649058.0861,5554189.60632,1986627.43303,2763409.416,6932790.27408,,7637315.16068,10743785.4487,12326628.4234,2372376.11447,4769758.18615,10103137.8284,2563156.79886,2499010.36893,4906941.14449,3693134.32168,4964053.85022,2484481.94804,12719008.0062,3266957.66256,4016547.97986,52208420.8778,24777278.5512,2879867.99126,36645748.5064,43921712.0197,4155301.24482,5147001.62783,3131899.26516,2387874.72222,10950651.0892,1398843.36509,7245524.99222,7229164.50415
