year,Base case diesel consumed,Cathedral falls (kake),Gunnuk creek hydro rehabilitation - ipec kake,"Goemere creek (washington bay, unnamed stream)",Gunnuk creek,Ledge lake (ledge creek),Rowan bay (6415 road) -- 0,Rowan bay (big lake) -- 1605 lake,"Rowan bay (stink creek/ erode creek) -- erode creek, stink creek",Rowan bay (unnamed creeks),Towers creek
2042,263209.620228,86477.5612404,176206.228984,248074.085036,212475.767709,180275.180856,211375.595607,118074.3513,190641.985764,221742.400531,86477.5612404
2043,270391.900901,93659.8419139,183388.509658,255256.36571,219658.048382,187457.46153,218557.87628,125256.631974,197824.266438,228924.681205,93659.8419139
2044,280766.306319,104034.247331,193762.915075,265630.771127,230032.4538,197831.866947,228932.281698,135631.037391,208198.671855,239299.086622,104034.247331
2045,287513.297254,110781.238267,200509.906011,272377.762063,236779.444735,204578.857883,235679.272633,142378.028327,214945.662791,246046.077558,110781.238267
2046,289181.907916,112449.848928,202178.516672,274046.372724,238448.055397,206247.468544,237347.883295,144046.638988,216614.273452,247714.688219,112449.848928
2047,288891.714757,112159.65577,201888.323514,273756.179566,238157.862238,205957.275386,237057.690136,143756.44583,216324.080294,247424.495061,112159.65577
2048,288819.166468,112087.10748,201815.775224,273683.631276,238085.313949,205884.727096,236985.141847,143683.89754,216251.532004,247351.946771,112087.10748
2049,290995.615157,114263.556169,203992.223913,275860.079965,240261.762638,208061.175785,239161.590536,145860.346229,218427.980693,249528.39546,114263.556169
2050,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2051,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2052,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2053,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2054,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2055,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2056,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2057,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2058,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2059,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2060,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2061,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2062,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2063,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2064,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2065,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2066,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2067,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2068,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2069,293679.901873,116947.842886,206676.510629,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
2070,293679.901873,116947.842886,,278544.366681,242946.049354,210745.462501,241845.877252,148544.632945,221112.267409,252212.682176,116947.842886
