year,Base case cost,Allen glacier (unnamed creek) -- unnamed creek,Lake 1120 (cordova),Lake 1488 (cordova),Sheep river lakes,Sheep bay (sanlin creek),Orca creek,Meals lake (eccles creek),"Meakerville, eyak (robinson falls creek)",Snyder falls -- snyder falls creek,"Cordova (heney creek, lower)","Cordova (hartney creek, lower)",Cordova (fidalgo creek),Crater lake,Van cleve lake (cordova),"Cordova (unnamed falls) -- unnamed creek, 2","Cordova (unnamed creek) -- unnamed creek, 1",Cordova (humpback creek),Karluk (marys creek),"Flemming creek, knights island"
2061,2904719.29005,3648845.50774,3663926.63376,3985988.80675,3986577.15672,3159345.96232,3066920.82211,2977060.54304,2250170.43858,7169512.56708,3039706.23165,3104497.15631,3133593.95733,3640307.38244,38048085.5814,3067832.84558,5472060.10269,2275083.26198,3746079.99078,2979214.99351
2062,2904719.29005,3624766.00353,3631455.81217,3918462.3892,3920135.85717,3154450.15166,3063329.21595,2974396.29707,2241797.06609,7053128.88443,3036003.67062,3098562.13491,3110796.89633,3622055.52227,37402436.1376,3062596.69022,5378382.7531,2272212.6236,3729486.42353,2976768.42257
2063,2904719.29005,3601250.86262,3599746.02537,3852518.62186,3855251.77538,3149669.08655,3059821.78806,2971794.49435,2233619.94449,6939472.94399,3032387.88836,3092766.21555,3088534.14137,3604231.44002,36771919.1008,3057483.25723,5286900.96612,2269409.2658,3713281.76796,2974379.19313
2064,2904719.29005,3578286.85803,3568779.43698,3788120.41217,3791888.41484,3145000.07769,3056396.56553,2969253.67141,2225634.47425,6828480.81569,3028856.85103,3087106.13811,3066793.16994,3586825.10986,36156179.8128,3052489.67037,5197563.28434,2266671.61172,3697456.90916,2972045.96128
2065,2904719.29005,3555861.07214,3538538.62778,3725231.53504,3730010.13259,3140440.4987,3053051.62164,2966772.39899,2217836.16341,6720090.06458,3025408.57236,3081578.71869,3045561.75236,3569826.74044,35554871.9097,3047613.12067,5110319.45382,2263998.12139,3682002.94537,2969767.41454
2066,2904719.29005,3533960.89053,3509006.58744,3663816.61576,3669582.12238,3135987.78482,3049785.07485,2964349.28138,2210220.62546,6614239.72133,3022041.11271,3076180.84815,3024827.94606,3553226.77024,34967657.1586,3042850.86508,5025120.40029,2261387.29099,3666911.1838,2967542.27123
2067,2904719.29005,3512573.9946,3480166.70454,3603841.10915,3610570.39416,3131639.43146,3046595.08778,2961982.95561,2202783.57673,6510870.24636,3018752.57793,3070909.49024,3004580.08851,3537015.86198,34394205.2581,3038200.2249,4941918.20027,2258837.65194,3652173.13552,2965369.27973
2068,2904719.29005,3491688.35387,3452002.75616,3545271.27799,3552941.75283,3127392.9926,3043479.86601,2959672.09058,2195520.83378,6409923.49264,3015541.11815,3065761.67973,2984806.78997,3521184.89675,33834193.6318,3033658.58406,4860666.05114,,3637780.51012,2963247.2177
2069,2904719.29005,3471292.22041,3424498.9004,3488074.17741,3496663.78294,3123246.07966,3040437.65725,2957415.38646,2188428.31139,6311342.67872,3012404.92697,3060734.52106,2965496.92816,3505724.96981,33287307.2796,3029223.38794,4781318.24948,,3623725.21193,2961174.8915
2070,2904719.29005,3451374.12138,3397639.66634,3432217.63402,3441704.82813,3119196.36001,3037466.75028,2955211.57385,2181502.02001,6215072.3529,3009342.24028,3055825.18642,2946639.64129,3490627.38495,32753238.5777,3024892.14174,4703830.16213,,3609999.33482,2959151.13546
