year,Base case diesel consumed,Allen glacier (unnamed creek) -- unnamed creek,Lake 1120 (cordova),Lake 1488 (cordova),Sheep river lakes,Sheep bay (sanlin creek),Orca creek,Meals lake (eccles creek),"Meakerville, eyak (robinson falls creek)",Snyder falls -- snyder falls creek,"Cordova (heney creek, lower)","Cordova (hartney creek, lower)",Cordova (fidalgo creek),Crater lake,Van cleve lake (cordova),"Cordova (unnamed falls) -- unnamed creek, 2","Cordova (unnamed creek) -- unnamed creek, 1",Cordova (humpback creek),Karluk (marys creek),"Flemming creek, knights island"
2036,705617.110182,515207.575244,388267.885284,0.0,0.0,692535.914149,689919.674941,682070.957323,412848.025249,0.0,681440.869231,662746.114891,407365.840584,603845.405025,0.0,664534.810523,0.0,503667.603429,655908.565251,685995.316129
2037,702824.846787,512415.311848,385475.621889,0.0,0.0,689743.650753,687127.411545,679278.693928,410055.761854,0.0,678648.605835,659953.851496,404573.577189,601053.141629,0.0,661742.547127,0.0,500875.340033,653116.301856,683203.052734
2038,700258.983126,509849.448187,382909.758228,0.0,0.0,687177.787092,684561.547885,676712.830267,407489.898193,0.0,676082.742174,657387.987835,402007.713528,598487.277969,0.0,659176.683466,0.0,498309.476373,650550.438195,680637.189073
2039,697542.186308,507132.65137,380192.961411,0.0,0.0,684460.990275,681844.751067,673996.03345,404773.101376,0.0,673365.945357,654671.191018,399290.916711,595770.481151,0.0,656459.886649,0.0,495592.679555,647833.641377,677920.392256
2040,694900.856069,504491.321131,377551.631172,0.0,0.0,681819.660036,679203.420828,671354.703211,402131.771136,0.0,670724.615118,652029.860779,396649.586472,593129.150912,0.0,653818.55641,0.0,492951.349316,645192.311138,675279.062017
2041,692938.725035,502529.190096,375589.500137,0.0,0.0,679857.529001,677241.289794,669392.572176,400169.640102,0.0,668762.484083,650067.729744,394687.455437,591167.019877,0.0,651856.425375,0.0,490989.218282,643230.180104,673316.930982
2042,690901.127422,500491.592483,373551.902524,0.0,0.0,677819.931388,675203.692181,667354.974563,398132.042489,0.0,666724.88647,648030.132131,392649.857824,589129.422264,0.0,649818.827762,0.0,488951.620669,641192.582491,671279.333369
2043,688863.529809,498453.99487,371514.304911,0.0,0.0,675782.333775,673166.094568,665317.37695,396094.444876,0.0,664687.288857,645992.534518,390612.260211,587091.824652,0.0,647781.230149,0.0,486914.023056,639154.984878,669241.735756
2044,686750.465617,496340.930679,369401.24072,0.0,0.0,673669.269584,671053.030376,663204.312759,393981.380684,0.0,662574.224666,643879.470327,388499.19602,584978.76046,0.0,645668.165958,0.0,484800.958864,637041.920686,667128.671565
2045,684863.801161,494454.266222,367514.576263,0.0,0.0,671782.605128,669166.36592,661317.648302,392094.716228,0.0,660687.56021,641992.80587,386612.531563,583092.096004,0.0,643781.501501,0.0,482914.294408,635155.25623,665242.007108
2046,683052.603283,492643.068344,365703.378385,0.0,0.0,669971.407249,667355.168042,659506.450424,390283.51835,0.0,658876.362331,640181.607992,384801.333685,581280.898126,0.0,641970.303623,0.0,481103.09653,633344.058352,663430.80923
2047,681467.805139,491058.270201,364118.580242,0.0,0.0,668386.609106,665770.369898,657921.652281,388698.720206,0.0,657291.564188,638596.809849,383216.535542,579696.099982,0.0,640385.50548,0.0,479518.298386,631759.260208,661846.011086
2048,680033.940152,489624.405214,362684.715255,0.0,0.0,666952.744119,664336.504911,656487.787294,387264.855219,0.0,655857.699201,637162.944862,381782.670555,578262.234995,0.0,638951.640493,0.0,478084.433399,630325.395221,660412.1461
2049,678524.608587,488115.073649,361175.383689,0.0,0.0,665443.412554,662827.173346,654978.455728,385755.523654,0.0,654348.367636,635653.613296,380273.33899,576752.90343,0.0,637442.308928,0.0,476575.101834,628816.063656,658902.814534
2050,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,475141.236847,627382.198669,657468.949547
2051,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,475141.236847,627382.198669,657468.949547
2052,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,475141.236847,627382.198669,657468.949547
2053,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,475141.236847,627382.198669,657468.949547
2054,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,475141.236847,627382.198669,657468.949547
2055,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,475141.236847,627382.198669,657468.949547
2056,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,475141.236847,627382.198669,657468.949547
2057,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,475141.236847,627382.198669,657468.949547
2058,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,475141.236847,627382.198669,657468.949547
2059,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,475141.236847,627382.198669,657468.949547
2060,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,475141.236847,627382.198669,657468.949547
2061,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,475141.236847,627382.198669,657468.949547
2062,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,475141.236847,627382.198669,657468.949547
2063,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,475141.236847,627382.198669,657468.949547
2064,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,475141.236847,627382.198669,657468.949547
2065,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,475141.236847,627382.198669,657468.949547
2066,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,475141.236847,627382.198669,657468.949547
2067,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,475141.236847,627382.198669,657468.949547
2068,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,,627382.198669,657468.949547
2069,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,,627382.198669,657468.949547
2070,677090.7436,486681.208662,359741.518703,0.0,0.0,664009.547567,661393.308359,653544.590742,384321.658667,0.0,652914.502649,634219.74831,378839.474003,575319.038443,0.0,636008.443941,0.0,,627382.198669,657468.949547
