year,Base case cost,Medvejia lake (unnamed stream) -- unnamed creek,Lake irina,Bill d short (baranof river) -- baranof lake,Baranof lake,Swan lake 1 (cascade creek),Carbon lake,Hidden falls creek (kasnyku bay) -- hidden falls lake,Four falls lake,Kelp lake,Kasnyku lake (waterfall cove),Nelson lakes,Milk lake,Waxman (waxman creek),Redoubt lake (unnamed cascade) -- unnamed creek,Takatz lake hydroelectric feasibility analysis,Takatz lake (sitka) -- takatz creek
2060,0.0,474564.565083,114868.419027,129606.351067,1859419.17959,12681481.8127,5556907.80408,409965.943404,222660.035817,10311257.9124,1531319.74259,2535058.92624,5224833.42017,711337.886753,370573.160333,8032429.64759,14769611.0785
2061,0.0,466517.508613,109094.965744,127619.022488,1828133.21737,12466082.245,5460637.17578,403396.085896,212522.164691,10136483.8516,1505689.844,2492339.65076,5136386.80187,699567.973326,364508.818603,7883175.61249,14516919.5851
2062,0.0,458659.054964,103456.827725,125678.271906,1797580.51963,12255731.1031,5366622.88955,396980.20937,202621.899838,9965806.05653,1480660.64595,2450621.60796,5050013.15048,688073.91715,358586.609833,7737419.71764,14270150.5465
2063,0.0,450984.783843,97950.8335814,123783.007672,1767743.90084,12050310.0665,5274812.06341,390714.704967,192953.672469,9799128.5227,1456218.0698,2409881.3319,4965663.88177,676849.252947,352803.202847,7595079.97697,14029165.1579
2064,0.0,443490.378473,92573.8861907,121932.163698,1738606.57787,11849703.5861,5185153.05376,384596.048341,183512.044206,9636357.49403,1432348.36659,2370095.90618,4883291.54929,665887.666842,347155.344478,7456076.32436,13793827.865
2065,0.0,436171.623294,87322.9610514,120124.698896,1710152.16117,11653798.8218,5097595.42794,378620.797783,174291.704188,9477401.41277,1409038.10977,2331242.95171,4802849.81906,655182.993007,341639.85784,7320330.57107,13564006.292
2066,0.0,429024.401271,82195.1043493,118359.596509,1682364.64421,11462485.571,5012089.93195,372785.592022,165287.465677,9322170.861,1386274.18655,2293300.61247,4724293.44004,644729.209718,336253.640292,7187766.35575,13339571.1568
2067,0.0,422044.692396,77187.4318826,116635.863741,1655228.39768,11275656.2279,4928588.47259,367087.149003,156494.264171,9170578.52813,1364043.79319,2256247.54751,4647578.22759,634520.437167,330993.662317,7058309.11666,13120396.2242
2068,0.0,415228.570391,72297.126699,114952.530946,1628728.15671,11093205.6961,4847044.07802,361522.263197,147907.153254,9022539.13935,1342334.42451,2220062.91345,4572661.02731,624550.93264,325856.965033,6931886.03057,12906358.2023
2069,0.0,408572.201315,67521.438093,113308.651281,1602849.01541,10915031.3504,4767410.88102,356087.804459,139521.302837,8877969.42525,1321133.86937,2184726.35712,4499499.69968,614815.088478,320840.659144,6808425.98684,12697336.6987
2070,0.0,402071.840865,62857.6796719,111703.30004,1577576.4164,10741032.9654,4689644.0868,350780.715828,131331.99576,8736788.06332,1300430.20217,2150218.00121,4428053.0904,605307.428129,315941.922907,6687859.53746,12493214.1359
