year,Base case cost,Cathedral falls (kake),Gunnuk creek hydro rehabilitation - ipec kake,"Goemere creek (washington bay, unnamed stream)",Gunnuk creek,Ledge lake (ledge creek),Rowan bay (6415 road) -- 0,Rowan bay (big lake) -- 1605 lake,"Rowan bay (stink creek/ erode creek) -- erode creek, stink creek",Rowan bay (unnamed creeks),Towers creek
2048,1360659.7367,1246858.24356,1140368.94524,1772160.18431,1408165.83483,1550022.76504,1575767.06477,1374741.76221,1518595.37003,1650544.80782,10433266.3067
2049,1372344.49829,1246413.77572,1148652.27083,1775718.93955,1414919.85451,1551776.26838,1579624.19331,1374361.46511,1521720.20612,1653994.3955,10268441.19
2050,1387411.69085,1249636.01768,1160397.74856,1782850.57905,1425171.86943,1557144.96659,1587047.21299,1377646.37382,1528428.09645,1661019.42606,10111135.4547
2051,1387411.69085,1238068.68313,1157153.88643,1775101.01552,1420469.54752,1547673.7807,1579582.20042,1366140.23726,1520264.71538,1653165.75224,9942802.51757
2052,1387411.69085,1226772.45794,1153986.0523,1767533.08236,1415877.43626,1538424.57569,1572292.14905,1354903.77573,1512292.66351,1645496.14887,9778414.88298
2053,1387411.69085,1215740.98811,1150892.46431,1760142.5227,1411392.95265,1529392.149,1565172.95832,1343930.66886,1504507.45668,1638006.30189,9617880.0849
2054,1387411.69085,1204968.06828,1147871.38226,1752925.17922,1407013.57409,1520571.41976,1558220.62358,1333214.7441,1496904.71558,1630691.99815,9461107.82009
2055,1387411.69085,1194447.63877,1144921.10683,1745876.99224,1402736.83722,1511957.42635,1551431.23418,1322749.97384,1489480.16373,1623549.1234,9308009.90532
2056,1387411.69085,1184173.78183,1142039.97848,1738993.99715,1398560.33638,1503545.32343,1544800.9711,1312530.47164,1482229.62482,1616573.65979,9158500.22301
2057,1387411.69085,1174140.71839,1139226.37657,1732272.32223,1394481.72225,1495330.37914,1538326.1048,1302550.48899,1475149.02039,1609761.68358,9012494.67343
2058,1387411.69085,1164342.80495,1136478.71847,1725708.18662,1390498.70069,1487307.97268,1532002.99323,1292804.41227,1468234.36769,1603109.36313,8869911.13024
2059,1387411.69085,1154774.53004,1133795.4586,1719297.8979,1386609.03116,1479473.59131,1525828.07954,1283286.75916,1461481.77711,1596612.95639,8730669.38779
2060,1387411.69085,1145430.51155,1131175.08761,1713037.8503,1382810.52575,1471822.82823,1519797.89037,1273992.17601,1454887.45035,1590268.80916,8594691.12322
2061,1387411.69085,1136305.49356,1128616.1316,1706924.52261,1379101.04784,1464351.37998,1513909.03381,1264915.43472,1448447.67818,1584073.35293,8461899.85033
2062,1387411.69085,1127394.34311,1126117.15109,1700954.476,1375478.51079,1457055.04373,1508158.19727,1256051.42949,1442158.83812,1578023.10266,8332220.87183
2063,1387411.69085,1118692.04777,1123676.74045,1695124.35236,1371940.87696,1449929.71538,1502542.14599,1247395.1744,1436017.39276,1572114.65514,8205581.24473
2064,1387411.69085,1110193.7125,1121293.52694,1689430.87227,1368486.15643,1442971.38693,1497057.72092,1238941.80032,1430019.88755,1566344.68688,8081909.73424
2065,1387411.69085,1101894.55704,1118966.17002,1683870.83317,1365112.40595,1436176.14437,1491701.83711,1230686.55226,1424162.94891,1560709.95231,7961136.77587
2066,1387411.69085,1093789.91284,1116693.36047,1678441.10735,1361817.72767,1429540.16515,1486471.4817,1222624.78639,1418443.28215,1555207.28169,7843194.43092
2067,1387411.69085,1085875.22139,1114473.81993,1673138.64083,1358600.26846,1423059.71682,1481363.71285,1214751.96831,1412857.67017,1549833.58002,7728016.36184
2068,1387411.69085,1078146.03046,1112306.29986,1667960.45083,1355458.21844,1416731.15394,1476375.65728,1207063.66934,1407402.97093,1544585.82443,7615537.77784
2069,1387411.69085,1070597.99252,1110189.58106,1662903.62471,1352389.81024,1410550.91681,1471504.50932,1199555.56495,1402076.11626,1539461.06317,7505695.41179
2070,1387411.69085,1063226.86169,,1657965.31793,1349393.31785,1404515.52897,1466747.52888,1192223.43173,1396874.10973,1534456.41349,7398427.4758
