year,Base case cost,"Bradfield river, north -- bradfield river, north fork","Fish creek; 55.58', 130.03' (hyder) -- beaver falls creek",City creek (petersburg),Cascade creek (cascade/rosa),Anan creek (anan lake),Aaron (aaron creek),Bakewell arm (bakewell arm lake),"Anita and kunk lakes (petersburg) -- kunk lake, anita lake","Coho creek (56.49', 133.01' near kupreanof)",Clover creek,Ruth lake hydroelectric project,Short (short creek),Thomas bay (juneau) -- swan lake,Orchard creek,Perseverance lake (ward cove creek) -- perserverance lake,Scenery lake -- scenery creek,Shelokum lake,Margaret creek,Nadzaheen lake,Naha river,Olive lake (olive creek),Ruth lake -- delta creek,Crittenden creek,Eagle (eagle lake),Drake lake,Gokachin river,Farragut river (glory creek),Harding river,Grace lake (mahoney lake),Katate river,Houghton (unnamed stream),Connell lake -- connel lake,Mahoney lake,Sunrise lake,"Wrangell resevoir, lower (unnamed stream) -- unnamed creek",White river,Virginia lake,Tom creek,"Thomas lake (petersburg/ wrangell, thoms) -- thoms lake"
2031,2008045.42845,26995522.6292,2373295.26472,1195645.18724,2021175.94632,6963294.81326,12073672.4075,4022651.50358,1370207.48795,2241484.77614,5024108.04295,,5534525.6347,7491230.15164,8930481.54832,1859132.70344,3327588.57858,7330317.84062,2070176.84614,1955983.07612,3546870.027,2664682.28728,3487991.58623,1950204.35919,9234044.93435,2573786.05069,2899690.32295,37949982.9074,17983159.3587,2349341.61042,26657413.2551,31924327.8392,2999058.41382,3673527.24748,2247842.14182,1958493.37085,7930868.23372,952381.337482,5249399.28877,5228636.95689
2032,2051593.40159,26427898.343,2405040.51073,1215945.14622,2056796.55095,6815947.97334,11819109.7984,3940055.69751,1326060.70776,2272774.12349,4920428.00746,,5419707.86486,7249495.49778,8741165.62272,1868096.58847,3223835.20408,7178991.30838,2097103.29082,1964392.87627,3472690.33357,2608949.36295,3386366.03039,1960216.70139,9043633.10276,2587630.26868,2839029.8577,37163473.4285,17605583.0916,2385543.73114,26112259.0778,31262981.2661,2935898.21953,3583039.47585,2198272.2606,1992643.43348,7762579.88453,919648.610276,5140436.30803,5117573.82732
2033,2099980.03842,25868983.1072,2441543.04989,1238912.47653,2096896.34242,6670897.14543,11568479.2305,3858954.41009,1281771.9012,2308626.05697,4818559.72324,,5306845.60301,7006411.79693,8554743.54997,1880060.17996,3119717.62875,7030248.6115,2128160.09802,1975903.19862,3399781.1599,2554201.71878,3284679.1019,1973398.13348,8856453.70159,2605644.31565,2779430.0419,36389680.763,17233875.0105,2426683.49254,25576409.6595,30612364.9888,2873811.4879,3493237.8279,2149435.99485,2031120.51122,7596867.92245,886761.324366,5033331.73366,5008246.36915
2034,2148366.67525,25322278.1851,2478254.83326,1261949.86211,2137084.81999,6529021.93391,11323329.0976,3779668.52077,1238293.36355,2344662.72987,4718959.32017,,5196486.19401,6767667.69439,8372392.06108,1892364.62656,3017499.16691,6884805.71414,2159410.58287,1987781.99889,3328490.20459,2500675.10358,3184902.58295,1986929.41758,8673423.19413,2624106.02435,2721157.21288,35632917.3799,16870301.8358,2467978.93681,25052447.1787,29976074.33,2813101.17073,3405263.22898,2101661.45788,2069688.18402,7434775.09233,854466.43564,4928602.83125,4901313.39976
2035,2182237.32103,24798880.171,2501541.87274,1277268.75586,2164194.78712,6393115.32608,11088570.6528,3703248.80435,1198521.31869,2367759.57104,4623105.29215,,5090393.18439,6550539.81086,8197838.97341,1897049.92261,2924061.96227,6744970.71196,2179054.09359,1991851.03353,3259939.12692,2449136.04396,3093044.56925,1992369.82509,8497492.39639,2631870.62665,2665074.80711,34906947.447,16522058.6739,2495091.74882,24548695.2745,29365590.7575,2754742.9475,3322627.15729,2055984.53589,2095641.59006,7279605.33539,825033.572276,4827916.73498,4798867.62233
2036,2235462.62155,24271949.7246,2543200.5739,1303036.99936,2208942.82207,6256413.98432,10852319.1284,3627102.61272,1155635.04947,2408526.24759,4527371.87578,,4984257.45862,6314379.36134,8022070.24682,1912662.97084,2823200.34452,6605102.04691,2214610.45861,2007164.28394,3191385.17902,2397701.24927,2994937.95945,2009387.24753,8321454.19599,2654907.85148,2609065.19067,34178333.4253,16171725.8298,2541465.91918,24044809.9229,28753012.7851,2696353.44925,3236994.41956,2009905.79118,2138618.37848,7123368.67988,793120.976472,4727199.15828,4695840.29618
2037,2264494.60364,23775362.3455,2562339.00963,1315892.31186,2231831.58937,6127449.20191,10629571.175,3554469.35322,1118362.09542,2427597.90782,4436303.34088,,4883489.71581,6111224.37442,7856464.5955,1915340.10471,2735651.84351,6472282.29432,2230687.01318,2009204.69506,3126270.96317,2348728.87097,2908698.6813,2012676.28124,8154360.05956,2659804.86842,2555782.32724,33489184.6972,15841278.8464,2564093.97046,23566332.2463,28173472.0028,2640925.73974,3158987.09221,1966583.81249,2160508.30957,6976150.55582,765565.949506,4631565.46246,4598624.39216
2038,2317719.90416,23270908.8179,2604382.89051,1341789.51408,2276742.87896,5996593.57978,10403408.113,3481664.97214,1076967.38068,2468704.65531,4344744.67227,,4781961.27703,5883052.31896,7688189.05737,1931580.60387,2638286.14078,6338487.94697,2266599.90273,2025196.24483,3060695.85456,2299541.76369,2814108.78043,2030337.7162,7985959.20147,2683666.15528,2502215.44689,32791918.4199,15505920.8534,2610754.72405,23084328.5377,27587264.8319,2585069.96474,3076717.61223,1922459.51317,2203651.86668,6826576.04972,734743.846832,4535221.05637,4500004.87491
2039,2356429.21362,22788683.0104,2632983.53379,1359962.03276,2308567.81973,5871425.88991,10187152.3602,3411566.3131,1039207.54451,2496855.24319,4256731.9359,,4684478.02724,5676112.93451,7527352.14884,1940171.82658,2549533.84533,6210009.84765,2290888.7003,2033345.46169,2997717.60011,2252234.29343,2727268.53654,2039877.35351,7824291.3602,2696790.76993,2450721.70631,32123940.4887,15185173.8834,2643219.08561,22621484.799,27025598.6019,2531444.63162,2999625.17886,1880338.98973,2234173.14992,6683604.74598,706731.411505,4442709.4867,4405660.9168
2040,2409654.51413,22305665.1704,2675394.75115,1385982.21975,2353634.80127,5746145.18764,9970610.41807,3341948.93501,999235.288799,2538286.30803,4169154.62212,,4587343.44538,5455559.21509,7366222.68127,1957010.71037,2455502.11124,6082008.42853,2327141.59859,2049983.88896,2934983.33767,2205190.75068,2636032.43497,2058152.96746,7663174.04868,2721437.9446,2399484.40363,31456569.7885,14864097.0396,2690153.1466,22160349.0782,26464540.6195,2478005.2065,2920563.15555,1838078.59716,2277475.75023,6540383.76882,676949.285458,4350535.66646,4311245.0191
2041,2409654.51413,21874726.8081,2668009.89918,1383509.76087,2350504.80438,5634068.22214,9777189.53488,3277878.12609,970638.48456,2531766.3033,4089114.33804,,4499010.30987,5302401.85886,7222559.64649,1944980.91732,2388476.73706,5965548.67043,2320306.13761,2036979.20544,2877871.58961,2162096.99987,2568608.38966,2045805.64784,7516747.22648,2705638.62852,2352651.08537,30855555.6659,14576991.949,2684658.63431,21740823.6301,25958946.8531,2429427.43855,2856081.15059,1800607.02462,2274278.38047,6412653.81681,656041.823517,4266691.12353,4226736.37399
2042,2409654.51413,21453888.5535,2660798.1295,1381095.25019,2347448.1667,5524618.0579,9588301.9491,3215308.97524,942711.917248,2525399.11103,4010949.99623,,4412747.48015,5152834.12456,7082263.71072,1933233.07227,2323022.2685,5851818.43517,2313630.88258,2024279.31888,2822098.39681,2120013.25782,2502764.59382,2033747.71823,7373752.27947,2690209.60854,2306915.42191,30268627.7977,14296615.8771,2679292.89952,21331130.7998,25465202.9287,2381988.21089,2793110.4411,1764013.69117,2271155.94898,6287917.53254,635624.379724,4184811.6851,4144208.39826
2043,2409654.51413,21042913.7178,2653755.38605,1378737.32974,2344463.16914,5417733.13768,9403841.42614,3154206.29219,915439.88034,2519181.15016,3934617.63533,,4328506.44008,5006771.89198,6945255.96839,1921760.56796,2259101.89253,5740753.75834,2307112.07919,2011877.08659,2767632.39118,2078915.85572,2438464.01544,2021972.39698,7234108.78414,2675142.20703,2262251.6905,29695456.0826,14022811.1344,2674052.92442,20931040.167,24983031.1538,2335660.84265,2731615.61096,1728278.01592,2268106.69964,6166104.76156,615685.470853,4104851.30037,4063614.67635
2044,2409654.51413,20641571.1012,2646877.70684,1376434.67302,2341548.13243,5313353.33184,9223704.19506,3094535.70273,888807.031556,2513108.9227,3860074.31347,,4246239.79864,4864132.99168,6811459.3438,1910556.95037,2196679.64981,5632292.15889,2300746.0602,1999765.53151,2714442.93208,2038781.67362,2375670.4813,2010473.05973,7097738.18198,2660427.94762,2218634.76489,29135718.0744,13755423.6878,2668935.7612,20540326.6548,24512160.2756,2290419.2717,2671562.06536,1693379.89525,2265128.91706,6047146.97632,596213.879983,4026764.98644,3984909.86908
2045,2409654.51413,20249634.9594,2640161.22336,1374185.98486,2338701.41695,5211419.92959,9047788.93359,3036263.6438,862798.390648,2507179.01318,3787278.10206,,4165901.2831,4724837.19319,6680798.58004,1899615.91777,2135720.42953,5526372.63014,2294529.2449,1987937.84122,2662500.10188,1999588.13713,2314348.67176,1999243.23839,6964563.76829,2646058.55392,2176040.11177,28589098.936,13494303.1394,2663938.53158,20158770.4977,24052325.4421,2246238.05088,2612916.02583,1659299.69991,2262220.92632,5930977.26633,577198.654877,3950508.82191,3908049.70716
2046,2409654.51413,19866884.8044,2633602.15718,1371990.00024,2335921.42124,5111875.58713,8875996.6786,2979357.33377,837399.326157,2501388.08567,3716188.04877,,4087445.69811,4588806.13407,6553200.17237,1888931.31515,2076189.93839,5422935.58585,2288458.13594,1976387.36193,2611774.67957,1961313.19749,2254464.08952,1988276.61552,6834510.62427,2632025.94228,2134443.76902,28055291.1605,13239302.5928,2659058.42432,19786157.0468,23603267.968,2203092.32555,2555644.50035,1626018.2577,2259381.09148,5817530.27898,558629.098302,3876039.908,3832990.95202
2047,2409654.51413,19493105.3706,2627196.81936,1369845.48409,2333206.58179,5014664.31899,8708230.81112,2923784.76754,812595.553207,2495732.88324,3646764.17131,,4010828.91888,4455963.30807,6428592.35724,1878497.13332,2018054.6954,5321922.85122,2282529.31883,1965107.59742,2562238.13626,1923935.32821,2195983.05446,1977567.02329,6707505.60576,2618322.22051,2093822.34214,27533994.5249,12990278.6312,2654292.69475,19422276.7379,23164735.2956,2160957.8298,2499715.27843,1593516.85056,2256607.81538,5706742.20972,540494.766416,3803316.36209,3759691.38931
2048,2409654.51413,19128086.3828,2620941.60648,1367751.22998,2330555.37131,4919731.43744,8544396.95184,2869514.68191,788373.118046,2490210.22446,3578967.41419,,3936007.84344,4326233.98239,6306905.03457,1868307.50235,1961281.99567,5223277.59996,2276739.45822,1954092.20211,2513862.60442,1887433.50178,2138872.66715,1967108.43685,6583477.2641,2604939.67936,2054152.9789,27024915.7659,12747091.1623,2649638.66185,19066924.8643,22736480.7213,2119810.86021,2445096.89622,1561777.19431,2253899.53787,5598550.73298,522785.457467,3732297.27242,3688109.78322
2049,2409654.51413,18771622.5219,2614833.00006,1365706.05992,2327966.29854,4827023.54388,8384402.94619,2816516.5506,764718.395848,2484817.00293,3512759.64255,,3862940.38583,4199545.18584,6188069.75671,1858356.69071,1905839.90525,5126944.3453,2271085.29738,1943334.97996,2466620.87338,1851787.18636,2083100.80369,1956894.97338,6462355.83484,2591870.79132,2015413.36577,26527768.5327,12509603.396,2645093.70778,18719901.5449,22318263.3573,2079628.27211,2391758.63151,1530781.43578,2251254.73557,5492894.99236,505491.210181,3662942.6916,3618205.86995
2050,2409654.51413,18423513.293,2608867.56428,1363708.82359,2325437.90724,4736488.49421,8228158.8046,2764760.5645,741618.081874,2479550.18517,3448103.61744,,3791585.44884,4075825.66156,6072019.68405,1848639.1015,1851697.24039,5032868.90404,2265563.65609,1932829.88051,2420486.37176,1816976.33246,2028636.09487,1946920.88824,6344073.19252,2579108.20572,1977581.71343,26042273.2019,12277681.756,2640655.2762,18381011.5945,21909847.9746,2040387.46455,2339670.48391,1500512.14122,2248671.9209,5389715.56116,488602.297308,3595213.61074,3549940.33163
