year,Base case cost,"Upper chilkoot lake -- upper chilkoot lake, aka connelly lake",Burro creek,Lace river (unnamed lake near),Reid falls,Haska creek,Lace river,Haines (west creek),Walker lake (klukwan),Sherman creek,"Skagway tributary -- skagway river, tributary",Connelly lake hydroelectric project,Beardslee (beardslee creek),"Excursion inlet (s excursion inlet; 58.25', 135.24') -- south creek, excursion inlet",Antler river,Endicott river,Ferebee river,Chilkoot river tributary,Haines (dayebas creek),Haines (kelsall river),Haines (nataga creek),Schubee lake hydroelectric project,Excursion inlet hydro project  feasibility and conceptual design -- excursion creek,Schubee lake
2031,226093.226568,4520109.22235,10346156.2258,18461509.3633,583126.327587,1381931.44951,86877568.1038,15837655.9235,754657.981275,1727129.09923,34521688.5461,4214034.0565,1702830.58451,1144741.09645,13330962.1714,29950541.7921,4999541.54136,22640578.5906,3176395.63883,6272029.65784,4492753.66814,,,6689887.48423
2032,231056.248615,4517293.72507,10341117.465,18449757.7225,580351.226572,1381099.04162,86804610.0004,15810725.08,753328.576907,1726382.29635,34506697.8592,4203457.57976,1702130.45681,1144082.51491,13320434.6598,29924835.0778,4996316.69526,22625642.5331,3167994.10646,6269695.89885,4490419.90915,,,6680804.44517
2033,236570.717556,4514165.39476,10335518.8419,18436700.3438,577267.781,1380174.14396,86723545.441,15780801.9205,751851.460942,1725552.51537,34490041.5406,4191705.93894,1701352.53715,1143350.75765,13308737.4247,29896272.0619,4992733.53292,22609046.9136,3158659.0705,6267102.8333,4487826.84361,,,6670712.17956
2034,242085.186496,4511037.06445,10329920.2187,18423642.9651,574184.335428,1379249.2463,86642480.8816,15750878.761,750374.344978,1724722.7344,34473385.2219,4179954.29811,1700574.61748,1142619.00039,13297040.1897,29867709.046,4989150.37059,22592451.2941,3149324.03453,6264509.76776,4485233.77806,,,6660619.91395
2035,245945.314755,4508847.23323,10326001.1825,18414502.8001,572025.923527,1378601.81794,86585735.6901,15729932.5493,749340.363803,1724141.88772,34461725.7988,4171728.14954,1700030.07372,1142106.7703,13288852.1251,29847714.9349,4986642.15695,22580834.3604,3142789.50936,6262694.62188,4483418.63218,,,6653555.32802
2036,251459.783695,4505718.90292,10320402.5594,18401445.4214,568942.477955,1377676.92029,86504671.1307,15700009.3898,747863.247838,1723312.10674,34445069.4801,4159976.50872,1699252.15405,1141375.01304,13277154.89,29819151.919,4983058.99462,22564238.7409,3133454.47339,6260101.55633,4480825.56663,,,6643463.06241
2037,254768.46506,4503841.90473,10317043.3855,18393610.9941,567092.410612,1377121.98169,86456032.3951,15682055.4941,746976.97826,1722814.23816,34435075.6889,4152925.52422,1698785.40226,1140935.95868,13270136.549,29802014.1095,4980909.09722,22554281.3693,3127853.45181,6258545.717,4479269.72731,,,6637407.70304
2038,260834.380895,4500400.74139,10310884.9001,18379247.8776,563700.620483,1376104.59427,86366861.3798,15649140.0187,745352.150699,1721901.47909,34416753.7383,4139998.71932,1697929.69063,1140131.02569,13257269.5904,29770594.792,4976967.61865,22536026.1878,3117584.91225,6255693.3449,4476417.35521,,,6626306.21086
2039,265245.956047,4497898.07714,10306406.0015,18368801.9746,561233.864025,1375364.67614,86302009.7323,15625201.4911,744170.457927,1721237.65431,34403428.6834,4130597.40666,1697307.3549,1139545.61988,13247911.8023,29747744.3793,4974101.08878,22522749.6922,3110116.88348,6253618.89247,4474342.90277,,,6618232.39837
2040,271863.318776,4494144.08077,10299687.6538,18353133.1202,557533.729338,1374254.79896,86204732.261,15589293.6997,742397.91877,1720241.91714,34383441.1009,4116495.43767,1696373.8513,1138667.51116,13233875.1203,29713468.7602,4969801.29397,22502834.9488,3098914.84032,6250507.21381,4471231.22411,,,6606121.67964
2041,271863.318776,4494144.08077,10299687.6538,18353133.1202,557533.729338,1374254.79896,86204732.261,15589293.6997,742397.91877,1720241.91714,34383441.1009,4116495.43767,1696373.8513,1138667.51116,13233875.1203,29713468.7602,4969801.29397,22502834.9488,3098914.84032,6250507.21381,4471231.22411,,,6606121.67964
2042,271863.318776,4494144.08077,10299687.6538,18353133.1202,557533.729338,1374254.79896,86204732.261,15589293.6997,742397.91877,1720241.91714,34383441.1009,4116495.43767,1696373.8513,1138667.51116,13233875.1203,29713468.7602,4969801.29397,22502834.9488,3098914.84032,6250507.21381,4471231.22411,,,6606121.67964
2043,271863.318776,4494144.08077,10299687.6538,18353133.1202,557533.729338,1374254.79896,86204732.261,15589293.6997,742397.91877,1720241.91714,34383441.1009,4116495.43767,1696373.8513,1138667.51116,13233875.1203,29713468.7602,4969801.29397,22502834.9488,3098914.84032,6250507.21381,4471231.22411,,,6606121.67964
2044,271863.318776,4494144.08077,10299687.6538,18353133.1202,557533.729338,1374254.79896,86204732.261,15589293.6997,742397.91877,1720241.91714,34383441.1009,4116495.43767,1696373.8513,1138667.51116,13233875.1203,29713468.7602,4969801.29397,22502834.9488,3098914.84032,6250507.21381,4471231.22411,,,6606121.67964
2045,271863.318776,4494144.08077,10299687.6538,18353133.1202,557533.729338,1374254.79896,86204732.261,15589293.6997,742397.91877,1720241.91714,34383441.1009,4116495.43767,1696373.8513,1138667.51116,13233875.1203,29713468.7602,4969801.29397,22502834.9488,3098914.84032,6250507.21381,4471231.22411,,,6606121.67964
2046,271863.318776,4494144.08077,10299687.6538,18353133.1202,557533.729338,1374254.79896,86204732.261,15589293.6997,742397.91877,1720241.91714,34383441.1009,4116495.43767,1696373.8513,1138667.51116,13233875.1203,29713468.7602,4969801.29397,22502834.9488,3098914.84032,6250507.21381,4471231.22411,,,6606121.67964
2047,271863.318776,4494144.08077,10299687.6538,18353133.1202,557533.729338,1374254.79896,86204732.261,15589293.6997,742397.91877,1720241.91714,34383441.1009,4116495.43767,1696373.8513,1138667.51116,13233875.1203,29713468.7602,4969801.29397,22502834.9488,3098914.84032,6250507.21381,4471231.22411,,,6606121.67964
2048,271863.318776,4494144.08077,10299687.6538,18353133.1202,557533.729338,1374254.79896,86204732.261,15589293.6997,742397.91877,1720241.91714,34383441.1009,4116495.43767,1696373.8513,1138667.51116,13233875.1203,29713468.7602,4969801.29397,22502834.9488,3098914.84032,6250507.21381,4471231.22411,,,6606121.67964
2049,271863.318776,4494144.08077,10299687.6538,18353133.1202,557533.729338,1374254.79896,86204732.261,15589293.6997,742397.91877,1720241.91714,34383441.1009,4116495.43767,1696373.8513,1138667.51116,13233875.1203,29713468.7602,4969801.29397,22502834.9488,3098914.84032,6250507.21381,4471231.22411,,,6606121.67964
2050,271863.318776,4494144.08077,10299687.6538,18353133.1202,557533.729338,1374254.79896,86204732.261,15589293.6997,742397.91877,1720241.91714,34383441.1009,4116495.43767,1696373.8513,1138667.51116,13233875.1203,29713468.7602,4969801.29397,22502834.9488,3098914.84032,6250507.21381,4471231.22411,,,6606121.67964
