year,Base case cost,"Upper chilkoot lake -- upper chilkoot lake, aka connelly lake",Burro creek,Lace river (unnamed lake near),Reid falls,Haska creek,Lace river,Haines (west creek),Walker lake (klukwan),Sherman creek,"Skagway tributary -- skagway river, tributary",Connelly lake hydroelectric project,Beardslee (beardslee creek),"Excursion inlet (s excursion inlet; 58.25', 135.24') -- south creek, excursion inlet",Antler river,Endicott river,Ferebee river,Chilkoot river tributary,Haines (dayebas creek),Haines (kelsall river),Haines (nataga creek),Schubee lake hydroelectric project,Excursion inlet hydro project  feasibility and conceptual design -- excursion creek,Schubee lake
2050,0.0,2278365.09818,5251848.4243,9273367.02075,220348.707309,702859.949991,43022974.4223,7395569.87787,358200.284065,886276.054742,17566316.0415,1859903.31561,875119.758656,584576.774352,6630425.71946,14818503.8389,2515520.01539,11353351.0995,1389537.27855,3210798.34748,2280092.78609,,,3204691.2351
2051,0.0,2237949.48293,5160117.4966,9108580.03922,213972.203544,690427.658405,42240280.3605,7246838.173,350971.873525,870898.059978,17261332.4149,1818748.52905,859972.09228,574269.96262,6510508.2123,14548349.1919,2470782.88466,11151062.0842,1358297.6303,3155453.54426,2240123.62312,,,3142792.52764
2052,0.0,2198481.10851,5070536.51217,8947655.25192,207745.14906,678286.748603,41475930.6877,7101592.36687,343912.878829,855880.486905,16963496.8409,1778558.30764,845179.449275,564204.716747,6393401.27124,14284526.2934,2427094.28026,10953514.2169,1327790.16119,3101405.88465,2201091.23725,,,3082344.57088
2053,0.0,2159937.77443,4983055.08276,8790502.1406,201664.041216,666430.391472,40729495.4664,6959750.76049,337019.329377,841214.888321,16672641.7905,1739310.04486,830733.508958,554375.375155,6279039.02504,14026886.7462,2384429.62787,10760596.3793,1297997.71112,3048624.96749,2162973.67323,,,3023313.3636
2054,0.0,2122297.79949,4897623.99879,8637032.3043,195725.459297,654851.917634,40000554.8157,6821233.56582,330287.347446,826893.014607,16388603.6534,1700981.66298,816626.145272,544776.408692,6167357.14324,13775285.6242,2342764.92799,10572200.0523,1268903.52141,2997081.10272,2125749.48937,,,2965665.69985
2055,0.0,2085540.01149,4814195.20589,8487159.41738,189926.062895,643544.814282,39288698.7119,6685962.86798,323713.146344,812906.809816,16111222.6604,1663551.60258,802849.422931,535402.41801,6058292.8056,13529581.4036,2302076.74454,10388219.2643,1240491.22679,2946745.29732,2089397.74734,,,2909369.15325
2056,0.0,2049643.73415,4732721.77538,8340799.17632,184262.589849,632502.721171,38593526.7359,6553862.57719,317293.028085,799248.406708,15840342.7845,1626998.80923,789395.592527,526248.13024,5951784.66344,13289635.8758,2262342.19041,10208550.5261,1212744.84533,2897589.23739,2053897.99929,,,2854392.05699
2057,0.0,2014588.77571,4653157.87814,8197869.25296,178731.854436,621719.427084,37914647.8511,6424858.38657,311023.381327,785910.122381,15575811.6548,1591302.72187,776257.086232,517308.396062,5847772.80553,13055314.0706,2223538.91477,10033092.7734,1185648.76961,2849585.27246,2019230.27647,,,2800703.48626
2058,0.0,1980355.41818,4575458.76047,8058289.25099,173330.745684,611188.86655,37251680.1962,6298877.73284,304900.679473,772884.454214,15317480.476,1556443.26188,763426.513798,508578.186985,5746198.72649,12826484.1849,2185645.09125,9861747.31334,1159187.75841,2802706.40089,1985375.07872,,,2748273.24189
2059,0.0,1946924.40471,4499580.71529,7921980.65427,168056.225378,600905.115951,36604250.8409,6175849.74974,298921.478397,760164.075048,15065203.9322,1522400.82023,750896.65781,500052.592118,5647005.28918,12603017.4979,2148639.40395,9694417.76127,1133346.92696,2756926.25253,1952313.36191,,,2697071.83099
2060,0.0,1914276.93051,4425481.06154,7788866.78984,162905.326625,590862.390722,35971995.6089,6055705.23459,293082.414827,747741.829727,14818840.1191,1489156.24819,738660.47028,491726.815853,5550136.69772,12384788.3106,2112501.03731,9531009.99501,1108111.73991,2712219.07625,1920026.52898,,,2647070.45299
2061,0.0,1882394.63175,4353118.11903,7658872.78269,157875.152103,581055.041948,35354558.864,5938376.60749,287380.204358,735610.730881,14578250.4598,1456690.84607,726711.068495,483596.175037,5455538.46466,12171673.8717,2077209.66394,9371432.09961,1083468.00277,2668559.72477,1888496.41897,,,2598240.98268
2062,0.0,1851259.57411,4282451.18241,7531925.50904,152962.872255,571477.552831,34751593.2879,5823797.86915,281811.6394,723763.954567,14343299.6188,1424986.35156,715041.730719,475656.09605,5363157.37693,11963554.3007,2042745.43185,9215594.30985,1059401.85302,2625923.63899,1857705.29565,,,2550555.9527
2063,0.0,1820854.24447,4213440.5023,7407953.56245,148165.72398,562124.536141,34162759.7191,5711904.57029,276373.587698,712194.837105,14113855.4387,1394024.93122,703645.893077,467902.112685,5272941.47119,11760312.5327,2009088.95529,9063408.9687,1035899.75371,2584286.83659,1827635.83937,,,2503988.54073
2064,0.0,1791161.53982,4146047.26019,7286887.2087,143481.008881,552990.730806,33587726.9387,5602633.77093,271062.990348,700896.870865,13889788.8572,1363789.16926,692517.145412,460329.863326,5184840.00099,11561834.2442,1976221.30249,8914790.4719,1012948.48492,2543625.89685,1798271.13605,,,2458512.55261
2065,0.0,1762164.7582,4080233.54779,7168658.34868,138906.091833,544070.999113,33026171.4941,5495924.00689,265876.860169,689863.700807,13670973.8382,1334262.05823,681649.227867,452935.088628,5098803.40976,11368007.7924,1944123.98559,8769655.22242,990535.136698,2503917.94825,1769594.66822,,,2414102.40836
2066,0.0,1733847.58798,4015962.34276,7053200.47484,134438.399298,535360.323426,32477777.4923,5391715.25049,260812.279798,679089.120419,13457287.2912,1305426.98819,671036.02689,445713.628792,5014783.29917,11178724.1435,1912778.94882,8627921.57701,968647.100807,2465140.65378,1741590.30445,,,2370733.12585
2067,0.0,1706194.10196,3953197.49527,6940448.64703,130075.418389,526853.804361,31942236.485,5289948.88872,255866.400622,668567.069456,13248609.0265,1277267.74063,660671.573005,438661.422053,4932732.41145,10993876.8337,1882168.56192,8489509.81651,947272.066158,2427272.20286,1714242.29347,,,2328380.31168
2068,0.0,1679188.74429,3891903.69839,6830339.43928,125814.694809,518546.656767,31419247.2157,5190567.67524,251036.440449,658291.628978,13044821.657,1249768.47521,650550.035925,431774.501353,4852604.59076,10813361.8811,1852275.60572,8354342.08054,926398.008711,2390291.29345,1687535.25127,,,2287020.14126
2069,0.0,1652816.32497,3832046.4755,6722810.91721,121653.831982,510434.20803,30908515.5128,5093515.70996,246319.682516,648257.019241,12845810.556,1222913.7241,640665.722473,425048.992927,4774354.76668,10637077.7497,1823083.26599,8222342.33975,906013.187199,2354177.12448,1661454.15565,,,2246629.35025
2070,0.0,1627062.00913,3773592.15606,6617802.5945,117590.489363,502511.894781,30409754.0823,4998738.39978,241713.473582,638457.595634,12651463.777,1196688.38113,631013.072583,418481.113581,4697938.92257,10464925.2769,1794575.12161,8093436.34243,886106.134869,2318909.38122,1635984.33561,,,2207185.21827
