year,Base case cost,Chignik lake -- unnamed creek 1,Chignik lake (cucumber creek),"Chignik lake (unnamed stream, site #6) -- unnamed creek 2",Chignik lagoon (through creek),Chignik hydroelectric dam project -- packers creek,Chignik (mud bay lake creek),Chignik lagoon (crazy creek),Chignik bay (negro creek),Chignik (indian creek),"Chignik (snowbird creek, 1)"
2049,294325.360092,400890.551741,825592.802688,421735.22457,645495.717935,212308.972571,1292427.05184,276279.294949,327188.477333,685555.045075,318250.217118
2050,293981.522055,395693.52419,811436.714531,416393.470976,635243.167057,210341.063829,1271272.39243,273262.753256,321227.503529,672484.659689,317167.904437
2051,293981.522055,390954.081313,797948.189043,411512.694073,625566.689687,208755.057281,1250949.3247,270652.691096,315742.019389,660056.390811,316446.737793
2052,293981.522055,386325.719125,784775.800862,406746.310375,616117.00475,207206.222767,1231102.57887,268103.802267,310385.101281,647919.409477,315742.473493
2053,293981.522055,381805.834193,771912.140578,402091.638813,606888.796838,205693.689049,1211720.99121,265614.653028,305153.73596,636066.888689,315054.715389
2054,293981.522055,377391.884026,759349.972225,397546.061076,597876.874972,204216.605345,1192793.65935,263183.843205,300044.98072,624492.161257,314383.076611
2055,293981.522055,373081.385831,747082.229734,393107.020333,589076.170055,202774.140791,1174309.9369,260810.005494,295055.961948,613188.716537,313727.179368
2056,293981.522055,368871.914941,735102.012468,388772.019611,580481.731666,201365.484003,1156259.4267,258491.804607,290183.873308,602150.196313,313086.654717
2057,293981.522055,364761.10353,723402.581559,384538.620474,572088.725438,199989.842602,1138631.97536,256227.936556,285425.974252,591370.391421,312461.142364
2058,293981.522055,360746.639246,711977.356016,380404.441612,563892.430261,198646.442808,1121417.66735,254017.127903,280779.588435,580843.238163,311850.290454
2059,293981.522055,356826.264,700819.909287,376367.1576,555888.235817,197334.528937,1104606.81981,251858.135096,276242.102324,570562.815143,311253.755391
2060,293981.522055,352997.772523,689923.965143,372424.497406,548071.639627,196053.363048,1088189.9764,249749.743669,271810.963513,560523.33947,310671.201614
2061,293981.522055,349259.011318,679283.394696,368574.243313,540438.244916,194802.224486,1072157.90277,247690.767667,267483.679521,550719.164015,310102.301442
2062,293981.522055,345607.87733,668892.212625,364814.229551,532983.757896,193580.40948,1056501.58087,245680.048916,263257.816249,541144.773926,309546.734868
2063,293981.522055,342042.316784,658744.573852,361142.341101,525703.985394,192387.230774,1041212.20397,243716.45638,259130.996636,531794.783576,309004.189384
2064,293981.522055,338560.324095,648834.770454,357556.51257,518594.832626,191222.017186,1026281.17198,241798.885562,255100.899394,522663.93371,308474.359814
2065,293981.522055,335159.940585,639157.228001,354054.726869,511652.300573,190084.113287,1011700.08594,239926.257795,251165.257527,513747.088071,307956.948121
2066,293981.522055,331839.253551,629706.502916,350635.014258,504872.484093,188972.879019,997460.744062,238097.519736,247321.857252,505039.230971,307451.663263
2067,293981.522055,328596.395147,620477.279278,347295.451189,498251.569616,187887.689296,983555.13687,236311.642739,243568.536703,496535.464343,306958.221023
2068,293981.522055,325429.541211,611464.365494,344034.159103,491785.832769,186827.93371,969975.442235,234567.622221,239903.184575,488231.004676,306476.343832
2069,293981.522055,322336.910423,602662.691902,340849.303559,485471.636646,185793.016149,956714.02173,232864.477188,236323.739146,480121.180806,306005.760638
2070,293981.522055,319316.763177,594067.307558,337739.093075,479305.429513,,943763.415804,231201.249621,232828.18698,472201.430954,305546.206739
