year,Base case diesel consumed,Chignik lake -- unnamed creek 1,Chignik lake (cucumber creek),"Chignik lake (unnamed stream, site #6) -- unnamed creek 2",Chignik lagoon (through creek),Chignik hydroelectric dam project -- packers creek,Chignik (mud bay lake creek),Chignik lagoon (crazy creek),Chignik bay (negro creek),Chignik (indian creek),"Chignik (snowbird creek, 1)"
2046,63706.7878988,31762.0706617,31762.0706617,31762.0706617,30011.7789029,30011.7789029,30011.7789029,30011.7789029,0.0,0.0,59348.4442211
2047,63706.7878988,31762.0706617,31762.0706617,31762.0706617,30011.7789029,30011.7789029,30011.7789029,30011.7789029,0.0,0.0,59348.4442211
2048,63706.7878988,31762.0706617,31762.0706617,31762.0706617,30011.7789029,30011.7789029,30011.7789029,30011.7789029,0.0,0.0,59348.4442211
2049,63706.7878988,31762.0706617,31762.0706617,31762.0706617,30011.7789029,30011.7789029,30011.7789029,30011.7789029,0.0,0.0,59348.4442211
2050,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2051,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2052,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2053,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2054,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2055,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2056,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2057,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2058,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2059,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2060,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2061,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2062,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2063,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2064,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2065,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2066,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2067,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2068,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2069,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,29937.3550853,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
2070,63632.3640811,31687.6468441,31687.6468441,31687.6468441,29937.3550853,,29937.3550853,29937.3550853,0.0,0.0,59274.0204035
