year,Base case cost,Sheep creek,Water supply creek (hoonah),Turner lake (turner creek),Yehring creek,Tease creek (tease lake),Treadwell ditch,Sawmill creek,Sweetheart lake -- sweetheart falls creek,Peterson lake,Rhine creek,Davidson creek,Davies creek,"Funter bay (s funter bay creek; 58.13', 134.52') -- south funter bay creek","Greens creek (hawk inlet; 58.04', 134.43')",Bear creek (taku harbor),Boundary lake (boundary creek),Carlson creek,Cowee creek,Lemon creek,Nugget creek
2031,0.0,2432297.0196,736866.213357,4179598.41485,5386058.61464,18667113.3123,4121480.93194,1945793.21183,9574823.43409,2896505.05993,1726744.47786,240365.122602,2979683.14646,386332.285708,595980.217536,104393.517784,20588484.9338,10134109.2968,654320.724257,5093209.49019,6433022.88928
2032,0.0,2382563.88698,722302.385738,4094382.96535,5272963.39633,18285546.797,4037340.72483,1907032.95684,9333030.03493,2837394.7358,1691445.29035,235667.641192,2919556.50374,379049.695431,584827.683879,102264.915849,20158441.2027,9926896.45138,641773.291012,4989069.87236,6302626.31946
2033,0.0,2333938.32812,708068.480144,4011068.00874,5162353.92469,17912479.225,3955075.80961,1869147.28488,9096110.77073,2779602.08895,1656932.31125,231077.185381,2860777.76758,371936.135319,573934.990034,100183.784417,19737874.0202,9724298.29645,629514.520588,4887249.4919,6175146.36957
2034,0.0,2286119.19974,694102.635445,3929150.36134,5053390.08299,17545606.4025,3874183.59326,1831955.17359,8860192.47656,2722775.1877,1622992.19144,226576.684905,2803024.68276,364979.795071,563288.708554,98137.5448748,19323704.4942,9525060.07306,617511.963542,4787117.82409,6049853.10989
2035,0.0,2240181.88885,680613.814425,3850421.08656,4949142.4035,17193153.798,3796455.71599,1796078.70208,8640199.29857,2668168.06638,1590386.62499,222221.93748,2747429.05193,358208.200405,552912.241809,96170.9747662,18927142.8589,9333662.56494,605861.748343,4690926.45462,5929326.06804
2036,0.0,2194450.53296,667269.871533,3772085.8613,4844864.18517,16842301.4525,3719098.41798,1760535.17661,8413468.73094,2613824.98196,1557928.50516,217923.179867,2692216.76607,351570.481399,542755.757424,94214.2169481,18530836.5922,9143123.01628,594403.319658,4595166.54076,5809530.62624
2037,0.0,2150827.24721,654442.505166,3697313.68703,4745974.16747,16507598.8474,3645281.25079,1726429.17676,8206206.87084,2561964.51199,1526965.12691,213780.008839,2639393.04825,345117.888992,532864.945675,92346.49737,18154576.3341,8961366.91115,583310.163796,4503820.63049,5695034.11937
2038,0.0,2107086.94661,641691.654136,3622394.92622,4646164.50843,16172024.8217,3571295.11409,1692457.86547,7988238.40324,2509990.18022,1495920.3526,209673.64824,2586603.85742,338784.030924,523175.568264,90475.0759853,17775305.8013,8779123.06632,572370.656425,4412229.94666,5580481.806
2039,0.0,2064857.68193,629335.221938,3550041.8616,4550074.60451,15848032.4523,3499852.8152,1659566.18252,7782015.42757,2459800.84827,1465947.34997,205689.241235,2535565.11624,332612.480431,513726.240813,88667.7607326,17409968.433,8603175.03091,561732.891896,4323803.21532,5469782.39941
2040,0.0,2022741.01528,617095.858861,3477922.65465,4453744.63908,15524923.9692,3428623.02791,1626933.72734,7568644.22322,2409764.48668,1436055.52474,201751.802893,2484796.10548,326560.558107,504474.99392,86866.2564991,17044087.6585,8427695.98438,551262.582597,4235612.4519,5359568.75204
2041,0.0,1984567.54066,605724.814888,3412420.54605,4368071.25969,15232000.6365,3363989.49318,1596790.47689,7400653.00432,2364349.61543,1408958.18105,198063.074307,2438339.35573,320734.789283,495519.393146,85230.1451319,16717470.3294,8268646.73908,541313.572236,4155677.95757,5259044.95844
2042,0.0,1947288.75685,594620.279757,3348453.64312,4284405.85013,14945942.6944,3300870.80693,1567353.70888,7236599.07962,2319999.15522,1382495.93136,194460.800297,2392971.43605,315045.561915,486773.689265,83632.3801248,16398508.094,8113325.21047,531597.741806,4077616.92795,5160877.19124
2043,0.0,1910883.6942,583776.007067,3285985.96388,4202701.34784,14666589.2327,3239231.4643,1538606.86484,7076390.16727,2276688.15851,1356653.8904,190942.954551,2348666.82657,309489.675762,478232.962738,82072.0627204,16087021.5331,7961644.02875,522109.626061,4001385.453,5065010.23019
2044,0.0,1875331.87545,573185.897091,3224982.3713,4122911.79537,14393783.1196,3179036.79419,1510533.77516,6919936.15239,2234392.26358,1331417.52245,187507.558338,2305400.60667,304064.005728,469892.409547,80548.3152658,15782835.4406,7813517.87576,512843.888094,3926940.65375,4971390.15168
2045,0.0,1840613.30249,562843.992832,3165408.55051,4044992.31065,14127370.9001,3120252.93674,1483118.64855,6767149.02869,2193087.67874,1306772.6319,184152.679229,2263148.43887,298765.499842,461747.338083,79060.2806441,15485778.71,7668863.42968,503795.315873,3854240.65459,4879964.29389
2046,0.0,1806708.44607,552744.476948,3107230.9911,3968899.06381,13867202.7169,3062846.82591,1456346.06396,6617942.85311,2152751.17009,1282705.35597,180876.430097,2221886.55622,293591.177686,453793.166726,77607.1218331,15195684.2463,7527599.32209,494958.819558,3783244.56161,4790681.22959
2047,0.0,1773598.23485,542881.668505,3050416.96846,3894589.25271,13613132.2265,3006786.17101,1430200.96192,6472233.69782,2113360.04851,1259202.1569,177676.968066,2181591.7491,288538.128723,446025.42129,76188.021437,14912388.8727,7389646.09254,486329.428658,3713912.43983,4703490.73744
2048,0.0,1741264.04392,533250.019552,2994934.52399,3822021.0772,13365016.511,2952039.43725,1404668.63548,6329939.59965,2074892.15601,1236249.81386,174552.4934,2142241.35118,283603.510554,438439.732322,74802.1811946,14635733.2321,7254926.14066,477902.289034,3646205.28907,4618343.77172
2049,0.0,1709687.68571,523844.112403,2940752.44951,3751153.71853,13122716.0085,2898575.83024,1379734.72304,6190980.51986,2037325.85487,1213835.41644,171501.248619,2103813.22834,278784.547514,431031.832965,73448.8215874,14365561.7089,7123363.6881,469672.660524,3580085.02488,4535192.43828
2050,0.0,1678851.39841,514658.656211,2887840.26744,3681947.31365,12886094.4242,2846365.27656,1355385.19918,6055278.29363,2000640.01394,1191946.35648,168521.51739,2066285.76467,274078.528924,423797.556255,72127.1813471,14101722.3311,6994884.73063,461635.913939,3515514.45443,4453989.9643
2051,0.0,1648737.83664,505688.48416,2836168.2147,3614362.93397,12655018.6585,2795378.4078,1331606.36733,5922756.5885,1964813.99746,1170570.32139,165611.623616,2029637.85097,269482.807652,416732.832915,70836.5170517,13844066.689,6869416.99888,453787.528612,3452457.25682,4374690.6734
2052,0.0,1619330.06135,496928.550481,2785707.22549,3548362.56291,12429358.7302,2745586.54358,1308384.85175,5793340.8603,1929827.65309,1149695.28704,162769.930465,1993848.8726,264994.798578,409833.689,69576.1026956,13592449.85,6746889.91661,446123.089785,3390877.96202,4297249.95932
2053,0.0,1590611.53103,488373.927818,2736428.91613,3483909.07609,12208987.7083,2696961.67657,1285707.59062,5666958.31427,1895661.30145,1129309.51147,159994.839521,1958898.6987,260611.977253,403096.243825,68345.229311,13346730.2827,6627234.5638,438638.286304,3330741.93244,4221624.26259
2054,0.0,1562566.09108,480019.804067,2688305.56681,3420966.21743,11993781.6308,2649476.45456,1263561.82766,5543537.85833,1862295.72345,1109401.52738,157284.789752,1924767.66928,256331.878274,396516.707478,67143.2045133,13106769.7661,6510383.63254,431328.907856,3272015.34065,4147771.04264
2055,0.0,1535177.96614,471861.480096,2641310.10852,3359498.58206,11783619.4458,2603104.16747,1241935.10603,5423010.0694,1829712.15121,1089960.13668,154638.256776,1891436.58587,252152.094117,390091.379017,65969.3521725,12872433.3242,6396271.39504,424190.842969,3214665.1534,4075648.75757
2056,0.0,1508431.75039,463894.366847,2595416.10631,3299471.59443,11578382.9371,2557818.73088,1220815.2607,5305307.15058,1797892.25646,1070974.40359,152053.751918,1858886.69975,248070.273653,383816.644196,64823.0119965,12643589.1429,6284833.66317,417220.076482,3158659.11118,4005216.83859
2057,0.0,1482312.39899,456113.982791,2550597.74464,3240851.48914,11377956.6585,2513594.67158,1200190.41167,5190362.89357,1766818.14039,1052433.64855,149529.821385,1827099.70148,244084.120844,377688.973453,63703.5391649,12420108.4963,6176007.7528,410412.687313,3103965.71041,3936435.6675
2058,0.0,1456805.22013,448515.951557,2506829.81372,3183605.2931,11182227.8726,2470407.11407,1180048.95774,5078112.64362,1736472.3242,1034327.44263,147065.045497,1796057.71128,240191.393528,371704.920048,62610.303988,12201865.6794,6069732.4507,403764.846389,3050554.18672,3869266.55573
2059,0.0,1431895.86559,441095.999124,2464087.69336,3127700.80435,10991086.4787,2428231.76461,1160379.56898,4968493.25807,1706837.73786,1016645.60078,144658.037775,1765743.26749,236389.901979,365861.117851,61542.6915024,11988737.927,5965947.9752,397272.814189,2998394.49522,3803671.71952
2060,0.0,1407570.32396,433849.951802,2422347.34131,3073106.57687,10804424.9606,2387044.89977,1141171.18146,4861443.07651,1677897.71203,999378.177041,142307.444289,1736139.31838,232677.507876,360154.279749,60500.1011809,11780605.3555,5864595.948,390932.938971,2947457.29632,3739614.26207
2061,0.0,1383814.9124,426773.733772,2381585.2791,3019791.90205,10622138.3233,2346823.35241,1122412.99067,4756901.88446,1649635.96829,982515.458684,140011.942856,1707229.21206,229052.12304,354581.195711,59481.9465786,11577350.8929,5765619.35977,384741.65463,2897713.93843,3677058.15179
2062,0.0,1360616.26812,419863.364546,2341778.57739,2967726.78949,10444124.0276,2307544.49725,1104094.44483,4654810.87575,1622036.60895,966047.960152,137770.242221,1678996.68613,225511.708132,349138.730786,58487.6549666,11378860.2051,5668962.53452,378695.478466,2849136.44009,3615968.19985
2063,0.0,1337961.34213,413114.957116,2302904.84536,2916881.95314,10270281.9424,2269186.24035,1086205.23996,4555112.62532,1595084.10966,949966.418662,135581.081449,1651425.8601,222054.271708,343823.823646,57516.6670669,11185021.6433,5574571.10388,372791.009572,2801697.477,3556310.04382
2064,0.0,1315837.39102,406524.715505,2264942.21653,2867228.79278,10100514.2816,2231727.00521,1068735.31337,4457751.05292,1568763.30965,934261.788344,133443.22914,1624501.22539,218677.86896,338633.484658,56568.4366987,10995726.1733,5482391.97265,367024.926684,2755370.36473,3498050.12599
2065,0.0,1294231.97021,400088.932739,2227869.33715,2818739.3788,9934725.55186,2195145.72121,1051674.83835,4362671.39322,1543059.40362,918925.235437,131355.482762,1598207.63703,215380.60068,333564.794284,55642.4304881,10810867.3176,5392373.29061,361393.986414,2710129.04456,3441155.67549
2066,0.0,1273132.92595,393803.988483,2191665.35252,2771386.43435,9772822.49163,2159421.81022,1035014.21781,4269820.16086,1517957.9323,903948.132635,129316.667892,1572530.30404,212160.61205,328614.901225,54738.1275268,10630341.087,5304464.41937,355895.021177,2665948.0668,3385594.68737
2067,0.0,1252528.39094,387666.347724,2156309.89945,2725143.3254,9614714.03734,2124535.17905,1018744.08087,4179145.13096,1493444.77717,889322.055955,127325.637784,1547454.78402,209016.091962,323781.021375,53855.0191826,10454045.9433,5218615.9139,350524.938039,2622802.58151,3331335.91092
2068,0.0,1232406.77454,381672.55787,2121783.08952,2679984.03895,9460311.24867,2090466.20302,1002855.27514,4090595.29634,1469506.14892,875038.777829,125381.272427,1522966.9713,205945.271539,319060.435545,52992.6086832,10281882.7156,5134779.48209,345280.716181,2580668.31818,3278348.82411
2069,0.0,1212756.75873,375819.247527,2088065.50206,2635883.17373,9309527.27693,2057195.71895,987338.863453,4004120.84937,1446128.58251,861090.26418,123482.478153,1499053.09194,202946.423501,314450.488494,52150.4109387,10113754.5653,5052907.9675,340159.405826,2539521.57708,3226603.62268
2070,0.0,1193567.2901,370103.124125,2055138.17043,2592815.92238,9162277.30401,2024705.01175,972186.11761,3919673.14695,1423298.92773,847468.66877,121628.186863,1475699.69404,200017.860953,309948.58706,51327.9522008,9949566.91798,4972955.31625,335158.126165,2499339.21258,3176071.19923
