year,Base case diesel consumed,"Bradfield river, north -- bradfield river, north fork","Fish creek; 55.58, 130.03 (hyder) -- beaver falls creek",City creek (petersburg),Cascade creek (cascade/rosa),Anan creek (anan lake),Aaron (aaron creek),Bakewell arm (bakewell arm lake),"Anita and kunk lakes (petersburg) -- kunk lake, anita lake","Coho creek (56.49, 133.01 near kupreanof)",Clover creek,Ruth lake hydroelectric project,Short (short creek),Thomas bay (juneau) -- swan lake,Orchard creek,Perseverance lake (ward cove creek) -- perserverance lake,Scenery lake -- scenery creek,Shelokum lake,Margaret creek,Nadzaheen lake,Naha river,Olive lake (olive creek),Ruth lake -- delta creek,Crittenden creek,Eagle (eagle lake),Drake lake,Gokachin river,Farragut river (glory creek),Harding river,Grace lake (mahoney lake),Katate river,Houghton (unnamed stream),Connell lake -- connel lake,Mahoney lake,Sunrise lake,"Wrangell resevoir, lower (unnamed stream) -- unnamed creek",White river,Virginia lake,Tom creek,"Thomas lake (petersburg/ wrangell, thoms) -- thoms lake"
2031,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2032,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2033,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2034,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2035,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2036,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2037,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2038,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2039,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2040,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2041,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2042,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2043,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2044,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2045,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2046,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2047,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2048,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2049,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2050,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2051,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2052,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2053,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2054,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2055,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2056,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2057,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2058,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2059,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2060,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2061,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2062,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2063,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2064,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2065,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2066,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2067,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2068,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2069,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
2070,483866.3683,0.0,455383.128106,267760.283183,440482.771768,0.0,0.0,0.0,0.0,439041.537218,0.0,,0.0,0.0,0.0,273062.852306,0.0,0.0,396516.845073,280050.814155,0.0,0.0,0.0,288494.601374,0.0,375261.794453,0.0,0.0,0.0,478043.066753,0.0,0.0,0.0,0.0,0.0,425633.352826,0.0,0.0,0.0,0.0
