year,Base case cost,"Bradfield river, north -- bradfield river, north fork","Fish creek; 55.58, 130.03 (hyder) -- beaver falls creek",City creek (petersburg),Cascade creek (cascade/rosa),Anan creek (anan lake),Aaron (aaron creek),Bakewell arm (bakewell arm lake),"Anita and kunk lakes (petersburg) -- kunk lake, anita lake","Coho creek (56.49, 133.01 near kupreanof)",Clover creek,Ruth lake hydroelectric project,Short (short creek),Thomas bay (juneau) -- swan lake,Orchard creek,Perseverance lake (ward cove creek) -- perserverance lake,Scenery lake -- scenery creek,Shelokum lake,Margaret creek,Nadzaheen lake,Naha river,Olive lake (olive creek),Ruth lake -- delta creek,Crittenden creek,Eagle (eagle lake),Drake lake,Gokachin river,Farragut river (glory creek),Harding river,Grace lake (mahoney lake),Katate river,Houghton (unnamed stream),Connell lake -- connel lake,Mahoney lake,Sunrise lake,"Wrangell resevoir, lower (unnamed stream) -- unnamed creek",White river,Virginia lake,Tom creek,"Thomas lake (petersburg/ wrangell, thoms) -- thoms lake"
2031,2008045.42845,30476266.2625,2432943.64774,1215615.55015,2046457.32698,7868554.63268,13635957.3339,4540159.52731,1601187.49109,2294147.6786,5670603.53645,,6248003.53758,8728301.48058,10090866.0425,1956298.86271,3868960.99942,8270978.03003,2125387.72868,2061023.54901,4008168.83626,3012755.96065,4032584.12421,2049935.22078,10416752.889,2701399.12408,3277968.9553,42804449.9576,20302143.4726,2393721.48084,30045973.3373,36008072.6091,3391427.18692,4194356.55357,2550504.77055,1984318.93068,8962559.20417,1121253.55077,5926622.2619,5911223.96729
2032,2051593.40159,29827062.0408,2463290.88466,1235447.45371,2081485.3992,7699990.764,13344778.6688,4445434.62594,1551627.11664,2324202.73907,5551771.2616,,6116463.62802,8457572.96508,9874353.60314,1962985.41569,3752519.20778,8097604.77281,2151020.16819,2066971.46287,3923177.45111,2948865.05894,3918194.67972,2057610.12072,10198621.3375,2712252.41042,3208442.58389,41904163.8979,19870216.011,2428883.44827,29421399.7766,35251013.2601,3319070.84876,4091661.84409,2493841.23339,2017863.7067,8770090.5959,1084562.88074,5801786.86643,5784162.70336
2033,2099980.03842,29188478.9123,2498428.18079,1257957.69873,2121006.54584,7534220.18488,13058390.2397,4352488.52085,1502051.5978,2358849.31447,5435105.87107,,5987271.15431,8186174.9509,9661372.43927,1972725.05047,3636010.60212,7927332.07461,2180813.29869,2076077.59979,3839709.98649,2886150.6413,3804043.01828,2068508.89474,9984371.9018,2727345.62618,3140184.65802,41019261.3086,19445430.6001,2469007.43513,28807992.3795,34506927.4906,3248003.50936,3989939.36035,2438077.5704,2055749.68433,8580765.10344,1047810.41693,5679181.88961,5659212.06967
2034,2148366.67525,28563973.2977,2533806.71875,1280548.71186,2160629.94045,7372110.83711,12778320.3131,4261635.42438,1453410.25412,2393708.87963,5321055.16587,,5860964.26947,7919780.14602,9453084.33257,1982857.66391,3521691.52222,7760863.78098,2210829.72399,2085608.56224,3758108.19802,2824843.97226,3692093.90603,2079811.02009,9774905.80825,2742954.96006,3073456.64164,40153992.118,19030024.0849,2509310.91187,28208289.6693,33779358.0119,3178523.0656,3890323.31782,2383537.99567,2093740.11082,8395612.18029,1011740.93963,5559315.8723,5537022.0898
2035,2182237.32103,27964598.0627,2555791.76105,1295431.69512,2187188.06887,7216444.33529,12509460.5156,4173919.6099,1408596.40769,2415656.2018,5211089.51801,,5739297.55667,7675649.62986,9253202.52257,1985422.02963,3416437.31055,7600496.17011,2229268.09873,2087384.78706,3679487.94973,2765707.20561,3588348.597,2083074.51527,9573159.01457,2747934.04074,3009117.21891,39322059.5076,18631162.4383,2535455.00582,27630572.7149,33079734.9879,3111600.26765,3796318.65154,2331254.59305,2119129.79989,8217922.80657,978621.955486,5443847.44075,5419676.89158
2036,2235462.62155,27363471.1035,2596178.98046,1320774.24473,2231397.19879,7060446.21994,12239906.885,4086742.07131,1360786.50359,2455300.30106,5101575.2214,,5617953.13473,7413119.41907,9052698.7129,1998963.8566,3304035.64562,7440576.12721,2263647.573,2100458.96513,3601100.82634,2706852.77434,3478633.29909,2097966.04655,9371909.8779,2768251.02931,2945044.10847,38489966.2974,18231397.4749,2580883.16234,27054455.861,32380106.7604,3044846.92599,3699583.76946,2278724.2064,2161556.0834,8039694.33541,943109.631964,5328693.98819,5302099.34823
2037,2264494.60364,26794426.2039,2614075.73499,1333213.84061,2253759.69172,6912636.93508,11984637.349,4003336.01374,1318705.31312,2473275.6946,4997048.79778,,5502333.15192,7184212.71623,8862937.71083,1999618.31379,3205217.56908,7288174.95405,2278574.82039,2100312.78252,3526383.90158,2650634.65836,3381057.41326,2099179.015,9180195.69044,2770491.56595,2883886.74044,37699763.6902,17852676.9452,2602587.37214,26505439.6193,31715555.9769,2981251.40196,3610734.50599,2229101.79713,2182908.41211,7870999.8323,912039.246457,5218962.75959,5190674.24999
2038,2317719.90416,26219213.3637,2654907.03631,1358705.06948,2298157.04139,6763378.47458,11726714.922,3920011.31981,1272615.05399,2513311.86891,4892347.6569,,5386300.56942,6930892.49531,8671072.95793,2013883.54233,3096846.41912,7135258.12158,2313365.33941,2114168.98638,3451431.14552,2594371.63385,3275396.60409,2114813.04204,8987751.8086,2791758.63321,2822629.91254,36903811.9631,17470176.807,2648345.93658,25954550.5783,31046331.2089,2917419.24386,3517877.1955,2178824.73225,2225526.96679,7700452.29528,877784.175722,5108851.22868,5078178.56354
2039,2356429.21362,25667886.6819,2682323.52016,1376481.12991,2329480.08782,6620239.26725,11479444.1719,3839638.92025,1230269.72637,2540416.97543,4791500.47808,,5274653.12023,6699394.36152,8487199.71248,2020545.7903,2997346.61925,6988105.72494,2336558.07227,2120232.90501,3379295.03448,2540154.08986,3177744.92894,2122372.78929,8802604.45769,2802349.83091,2763626.45939,36139461.5458,17103392.597,2679929.25427,25424436.0237,30403593.1265,2856004.47604,3430445.08641,2130695.65016,2255535.55248,7536999.52103,846419.233342,5002895.20448,4970283.66225
2040,2409654.51413,25117387.4778,2723578.33111,1402114.15039,2374056.93788,6477408.24414,11232614.1278,3759988.58626,1185819.44891,2580827.06173,4691389.52138,,5163686.30388,6454857.47369,8303573.80828,2035500.90853,2892819.26891,6841867.67611,2371740.59421,2134834.90699,3307617.54719,2486362.42407,3075950.78253,2138714.91566,8618557.92341,2824522.96406,2705055.4485,35377977.0316,16737357.4835,2726002.92033,24897606.1062,29763363.3645,2794958.1764,3341285.71731,2082567.52092,2298337.47127,7373777.09552,813363.172609,4897592.02601,4862634.41344
2041,2409654.51413,24620549.378,2715064.17655,1399263.59942,2370448.29718,6348192.30184,11009615.0345,3686119.97363,1152849.57869,2573310.00815,4599109.35761,,5061845.13347,6278279.06599,8137941.60784,2021631.50158,2815544.27449,6707598.71801,2363859.84433,2119841.52786,3241772.1854,2436678.71258,2998216.1516,2124479.42549,8449739.29304,2806307.59299,2651060.30933,34685054.9326,16406347.8539,2719668.17902,24413926.2005,29180453.4448,2738951.82368,3266943.02793,2039365.73959,2294651.15495,7226514.48863,789258.510388,4800925.85046,4765202.58021
2042,2409654.51413,24135355.9208,2706749.57248,1396479.85823,2366924.234,6222004.85809,10791842.4824,3613982.65655,1120652.43979,2565969.13551,4508992.01012,,4962390.86542,6105839.2146,7976191.41199,2008087.15885,2740080.41269,6576476.68852,2356163.79952,2105199.55604,3177470.07424,2388159.46304,2922303.42602,2110577.57962,8284877.34921,2788519.14466,2598330.6812,34008373.1947,16083096.2623,2713481.9082,23941582.5423,28611205.4761,2684258.11982,3194342.74528,1997176.49997,2291051.23666,7082703.349,765718.801172,4706525.28834,4670054.30551
2043,2409654.51413,23661534.1873,2698629.84198,1393761.36098,2363482.76606,6098774.93308,10579173.9753,3543536.05814,1089209.92146,2558800.3146,4420986.78833,,4865267.5572,5937440.92294,7818232.23702,1994860.2617,2666385.23547,6448427.83214,2348648.13079,2090900.7555,3114675.04407,2340777.38361,2848169.90526,2097001.55831,8123879.35787,2771147.61316,2546836.90395,33347551.1879,15767420.8813,2707440.62813,23480309.4405,28055299.2589,2630846.29986,3123444.03205,1955976.07083,2287535.69147,6942262.78354,742730.803987,4614337.23977,4577136.06889
2044,2409654.51413,23198817.6489,2690700.41763,1391106.57851,2360121.95752,5978433.20898,10371489.8855,3474740.55161,1058504.33703,2551799.51291,4335044.1886,,4770420.57614,5772989.46561,7663975.22963,1981943.36991,2594417.28869,6323380.12036,2341308.61052,2076937.08304,3053351.77218,2294505.82149,2775773.88861,2083743.72496,7966654.75635,2754183.22687,2496550.01191,32702217.1944,15459144.1408,2701540.94054,23029847.4253,27512422.0916,2578686.31924,3054207.00715,1915741.2766,2284102.54186,6805113.79331,720281.587901,4524309.84826,4486395.60309
2045,2409654.51413,22746946.0311,2682956.83919,1388514.01751,2356839.91794,5860911.99449,10168673.3924,3407557.44003,1028518.41486,2544962.79253,4251115.86887,,4677796.57156,5612392.33993,7513333.62143,1969329.21782,2524136.09093,6201263.21479,2334141.11029,2063300.68421,2993465.76471,2249318.74928,2705074.65388,2070796.62212,7813115.10702,2737616.44345,2447441.71909,32072008.2188,15158092.6375,2695779.52691,22589943.1153,26982268.61,2527748.83836,2986592.72528,1876449.48551,2280749.85671,6671179.23306,698358.525401,4436392.47406,4397781.8673
2046,2409654.51413,22305665.1538,2675394.75087,1385982.21965,2353634.80115,5746145.18331,9970610.4106,3341948.93254,999235.287695,2538286.30777,4169154.61903,,4587343.44197,5455559.20918,7366222.67572,1957010.7099,2455502.10865,6082008.42404,2327141.59833,2049983.88846,2934983.33546,2205190.74902,2636032.43237,2058152.96699,7663174.04303,2721437.94399,2399484.40182,31456569.7653,14864097.0285,2690153.14639,22160349.062,26464540.6,2478005.20463,2920563.15306,1838078.59572,2277475.75011,6540383.76389,676949.284651,4350535.66322,4311245.01583
2047,2409654.51413,21874726.7981,2668009.89901,1383509.76081,2350504.8043,5634068.21955,9777189.5304,3277878.12461,970638.483898,2531766.30315,4089114.33618,,4499010.30783,5302401.85531,7222559.64317,1944980.91704,2388476.73551,5965548.66773,2320306.13745,2036979.20514,2877871.58829,2162096.99887,2568608.3881,2045805.64755,7516747.22309,2705638.62816,2352651.08429,30855555.652,14576991.9423,2684658.63418,21740823.6204,25958946.8414,2429427.43742,2856081.14909,1800607.02375,2274278.38039,6412653.81385,656041.823033,4266691.12159,4226736.37203
2048,2409654.51413,21453888.5601,2660798.12961,1381095.25023,2347448.16675,5524618.05963,9588301.95209,3215308.97623,942711.917689,2525399.11113,4010949.99746,,4412747.48152,5152834.12693,7082263.71294,1933233.07246,2323022.26954,5851818.43697,2313630.88268,2024279.31909,2822098.3977,2120013.25849,2502764.59486,2033747.71842,7373752.28174,2690209.60878,2306915.42264,30268627.807,14296615.8816,2679292.89961,21331130.8063,25465202.9365,2381988.21164,2793110.4421,1764013.69175,2271155.94903,6287917.53451,635624.380047,4184811.6864,4144208.39957
2049,2409654.51413,21042913.7145,2653755.38599,1378737.32972,2344463.16912,5417733.13682,9403841.42465,3154206.2917,915439.880119,2519181.15011,3934617.63471,,4328506.4394,5006771.8908,6945255.96728,1921760.56787,2259101.89202,5740753.75744,2307112.07914,2011877.08649,2767632.39074,2078915.85539,2438464.01492,2021972.39689,7234108.78301,2675142.20691,2262251.69014,29695456.0779,14022811.1321,2674052.92438,20931040.1638,24983031.1499,2335660.84228,2731615.61047,1728278.01563,2268106.69962,6166104.76057,615685.470692,4104851.29972,4063614.6757
2050,2409654.51413,20641571.0945,2646877.70673,1376434.67298,2341548.13238,5313353.33011,9223704.19207,3094535.70174,888807.031114,2513108.9226,3860074.31223,,4246239.79728,4864132.98932,6811459.34159,1910556.95018,2196679.64878,5632292.15709,2300746.0601,1999765.53131,2714442.9312,2038781.67295,2375670.48026,2010473.05954,7097738.17972,2660427.94737,2218634.76417,29135718.0651,13755423.6834,2668935.76111,20540326.6484,24512160.2678,2290419.27095,2671562.06437,1693379.89467,2265128.91701,6047146.97435,596213.87966,4026764.98514,3984909.86778
2051,2409654.51413,20249634.9428,2640161.22308,1374185.98477,2338701.41683,5211419.92527,9047788.92613,3036263.64132,862798.389544,2507179.01293,3787278.09897,,4165901.27969,4724837.18728,6680798.57449,1899615.9173,2135720.42695,5526372.62564,2294529.24464,1987937.84072,2662500.09968,1999588.13547,2314348.66916,1999243.23792,6964563.76264,2646058.55331,2176040.10996,28589098.9128,13494303.1283,2663938.53137,20158770.4815,24052325.4226,2246238.04901,2612916.02334,1659299.69846,2262220.92619,5930977.2614,577198.65407,3950508.81867,3908049.7039
2052,2409654.51413,19866884.7944,2633602.15701,1371990.00018,2335921.42117,5111875.58454,8875996.67412,2979357.33228,837399.325495,2501388.08552,3716188.04692,,4087445.69607,4588806.13053,6553200.16905,1888931.31487,2076189.93684,5422935.58315,2288458.13578,1976387.36162,2611774.67824,1961313.1965,2254464.08796,1988276.61524,6834510.62088,2632025.94191,2134443.76793,28055291.1465,13239302.5862,2659058.42419,19786157.0371,23603267.9563,2203092.32443,2555644.49886,1626018.25683,2259381.09141,5817530.27603,558629.097818,3876039.90606,3832990.95007
2053,2409654.51413,19493105.354,2627196.81908,1369845.48399,2333206.58166,5014664.31466,8708230.80365,2923784.76507,812595.552103,2495732.88298,3646764.16822,,4010828.91547,4455963.30216,6428592.3517,1878497.13285,2018054.69281,5321922.84673,2282529.31857,1965107.59692,2562238.13406,1923935.32655,2195983.05186,1977567.02282,6707505.6001,2618322.2199,2093822.34033,27533994.5017,12990278.6201,2654292.69454,19422276.7217,23164735.276,2160957.82793,2499715.27594,1593516.84911,2256607.81526,5706742.20479,540494.765609,3803316.35885,3759691.38605
2054,2409654.51413,19128086.3661,2620941.6062,1367751.22988,2330555.37119,4919731.43311,8544396.94438,2869514.67944,788373.116943,2490210.22421,3578967.4111,,3936007.84003,4326233.97648,6306905.02903,1868307.50189,1961281.99309,5223277.59547,2276739.45795,1954092.20161,2513862.60222,1887433.50011,2138872.66455,1967108.43638,6583477.25844,2604939.67875,2054152.97709,27024915.7427,12747091.1512,2649638.66164,19066924.8481,22736480.7018,2119810.85834,2445096.89373,1561777.19286,2253899.53774,5598550.72805,522785.45666,3732297.26918,3688109.77996
2055,2409654.51413,18771622.512,2614832.99989,1365706.05986,2327966.29847,4827023.54128,8384402.94171,2816516.54912,764718.395186,2484817.00277,3512759.64069,,3862940.38379,4199545.18229,6188069.75338,1858356.69043,1905839.90369,5126944.34261,2271085.29722,1943334.97966,2466620.87206,1851787.18536,2083100.80213,1956894.97309,6462355.83145,2591870.79096,2015413.36469,26527768.5188,12509603.3893,2645093.70765,18719901.5352,22318263.3456,2079628.27098,2391758.63002,1530781.43491,2251254.73549,5492894.9894,505491.209697,3662942.68966,3618205.86799
2056,2409654.51413,18423513.2797,2608867.56405,1363708.82351,2325437.90714,4736488.49075,8228158.79862,2764760.56252,741618.080991,2479550.18497,3448103.61497,,3791585.44611,4075825.65683,6072019.67961,1848639.10112,1851697.23832,5032868.90044,2265563.65588,1932829.88011,2420486.37,1816976.33113,2028636.09278,1946920.88786,6344073.188,2579108.20523,1977581.71198,26042273.1833,12277681.7471,2640655.27603,18381011.5815,21909847.959,2040387.46305,2339670.48192,1500512.14007,2248671.9208,5389715.55722,488602.296663,3595213.60815,3549940.32902
2057,2409654.51413,18083562.858,2603041.94312,1361758.39739,2322968.77499,4648075.35558,8075576.62784,2714217.60693,719059.180439,2474406.80821,3384962.96492,,3721902.88988,3955005.8079,5958689.5296,1839149.26783,1798823.54173,4940998.35158,2260171.42802,1922570.99385,2375433.14538,1782981.35635,1975447.90013,1937180.57027,6228562.79416,2566644.74263,1940636.73869,25568156.6454,12051195.7687,2636320.87015,18050064.3615,21511004.8085,2002066.36161,2288803.14985,1470952.28186,2246149.64083,5288954.39311,472109.217549,3529071.92708,3483274.76371
2058,2409654.51413,17751580.023,2597352.86016,1359853.68438,2320557.51312,4561734.40291,7926570.60107,2664859.25165,697029.00403,2469383.97933,3323302.17362,,3653853.51829,3837017.6737,5848015.55452,1829881.85247,1747189.0722,4851281.01833,2254905.58047,1912552.55019,2331435.85554,1749783.13865,1923506.30554,1927668.54133,6115759.67472,2554473.39238,1904557.66306,25105152.212,11830018.0545,2632088.05189,17726873.7157,21121509.5429,1964643.41083,2239128.02068,1442085.23271,2243686.47678,5190554.81838,456002.694911,3464480.44139,3418171.67232
2059,2409654.51413,17427378.0383,2591797.11512,1357993.61309,2318202.76521,4477417.06701,7781056.90425,2616657.73323,675515.160055,2464478.87303,3263086.5576,,3587399.05439,3721794.88734,5739935.50162,1820831.64223,1696764.78596,4763666.4358,2249763.15127,1902768.91388,2288469.75253,1717363.00445,1872782.09248,1918379.45064,6005600.37929,2542587.30825,1869324.19105,24652999.4486,11614024.1948,2627954.44035,17411257.8533,20741143.0756,1928097.56075,2190617.15274,1413894.75525,2241281.04316,5094461.48447,440273.669027,3401402.81917,3354594.43515
2060,2409654.51413,17110774.5355,2586371.58283,1356177.13721,2315903.20669,4395075.91811,7638953.68374,2569585.93757,654505.546658,2459688.73014,3204282.24468,,3522502.11654,3609272.63427,5634388.57424,1811993.54623,1647522.3186,4678105.31948,2244741.24772,1893214.58149,2246510.66728,1685702.71693,1823246.72783,1909308.07296,5898022.94162,2530979.80414,1834916.50331,24211444.0127,11403092.6897,2623917.7103,17103039.2355,20369691.4448,1892408.2538,2143243.25795,1386364.99192,2238931.98688,5000620.33745,424913.292083,3339803.5783,3292507.28906
2061,2409654.51413,16801591.4274,2581073.21144,1354403.23499,2313657.54408,4314664.63994,7500181.00754,2523617.38715,633988.346087,2455010.85622,3146856.15789,,3459126.20072,3499387.62158,5531315.40304,1803362.59311,1599433.97159,4594549.54186,2239837.04504,1883884.17877,2205534.99811,1654784.46741,1774872.34832,1900449.3057,5792966.85021,2519644.35091,1801315.24577,23780237.5326,11197104.8919,2619975.59111,16802044.4917,20006945.7119,1857555.415,2096979.68885,1359480.45744,2236637.9866,4908978.59236,409912.923982,3279648.06967,3231875.31049
2062,2409654.51413,16499654.7987,2575899.02064,1352670.9086,2311464.51418,4236138.00115,7364660.81602,2478726.22465,613952.017414,2450442.61997,3090775.99503,,3397235.65795,3392078.03893,5430658.00934,1794933.92796,1552472.69525,4512952.10283,2235047.78461,1874772.45736,2165519.69621,1624590.86438,1727631.74335,1891798.1658,5690373.011,2508574.57237,1768501.51772,23359137.4545,10995944.9331,2616125.86534,16508104.3125,19652701.8323,1823519.43963,2051800.42217,1333226.02925,2234397.75196,4819484.70071,395264.127017,3220902.45581,3172664.39396
2063,2409654.51413,16204794.8087,2570846.09993,1350979.1836,2309322.88342,4159451.83021,7232316.87857,2434887.19865,594385.290134,2445981.45175,3036010.21082,,3336795.67459,3287283.52429,5332359.773,1786702.80962,1506612.07367,4433267.10353,2230370.77246,1865874.2919,2126442.25283,1595104.92384,1681498.33992,1883349.78696,5590183.71458,2497764.24173,1736456.86132,22947906.9083,10799499.6604,2612366.3675,16221053.3552,19306760.5426,1790281.18232,2007680.04442,1307586.93914,2232210.02281,4732088.32189,380958.661186,3163533.6921,3114841.2331
2064,2409654.51413,15916845.6025,2565911.60708,1349327.10843,2307231.44714,4084562.9921,7103074.75335,2392075.65021,575277.158203,2441624.8422,2982528.00017,,3277772.25389,3184945.13205,5236365.40247,1778664.6082,1461826.31083,4355449.72212,2225803.37782,1857184.67727,2088280.68738,1566310.06029,1636446.18856,1875099.41708,5492342.6057,2487207.27832,1705163.25185,22546314.5817,10607658.5755,2608694.98294,15940730.1574,18968927.255,1757821.94698,1964593.73842,1282548.76544,2230073.56858,4646740.29648,366988.47984,3107509.5093,3058373.30309
2065,2409654.51413,15635645.2036,2561092.76638,1347713.75375,2305189.02889,4011429.36058,6976861.73949,2350267.49712,556616.872972,2437370.34065,2930299.27844,,3220132.19418,3085005.29512,5142620.89929,1770814.80206,1418090.21397,4279456.18501,2221343.03146,1848698.72542,2051013.53334,1538190.07614,1592449.94665,1867042.41518,5396794.6471,2476897.74366,1674603.08612,22154134.5724,10420313.7646,2605109.64642,15666977.0325,18639011.9325,1726123.47472,1922517.2674,1258097.42375,2227987.18748,4563392.61479,353345.724517,3052798.39288,3003228.83978
2066,2409654.51413,15361035.4382,2556386.86724,1346138.21207,2303194.47981,3940009.79831,6853606.84273,2309439.22248,538393.938114,2433215.55396,2879294.6672,,3163843.07318,2987407.79778,5051073.53259,1763148.97573,1375379.18174,4205243.74618,2216987.22446,1840411.66304,2014619.8281,1510729.15403,1549484.86652,1859174.24924,5303486.09345,2466829.83868,1644759.17418,21771146.2806,10237359.847,2601608.34121,15399639.9955,18316828.9993,1695167.9353,1881426.96353,1234219.1603,2225949.70593,4481998.39411,340022.721226,2999369.56807,2949376.82465
2067,2409654.51413,15092861.8413,2551791.26265,1344599.59716,2301246.67799,3870264.1326,6733240.73361,2269567.86085,520598.103441,2429158.14513,2829485.47696,,3108873.2289,2892097.74258,4961671.80804,1755662.81726,1333669.18968,4132770.66198,2212733.50671,1832318.82875,1979079.10062,1483911.8475,1507526.78081,1851490.4935,5212364.45979,2456997.90031,1615614.72916,21397134.2801,10058693.9134,2598189.09787,15138568.6726,18002197.2313,1664937.91659,1841299.714,1210900.54384,2223959.97788,4402511.85114,327011.975933,2947192.98177,2896786.96655
