year,Base case cost,Elfin cove (joe's creek),Elfin cove hydroelectric permitting -- crooked creek,Ernie's creek (elfin cove),"Crooked creek and jim's lake (elfin cove) -- crooked creek, jim's lake",Crooked creek (elfin cove),Roy's creek (elfin cove),Wood (wood lake),"Elfin cove (margaret creek; 58.07', 136.20')"
2050,106569.311932,100818.361946,,-1124126.15824,142417.834998,164074.072904,182718.037964,1384753.47881,273232.002114
2051,106569.311932,100033.859131,,-1127179.54433,139897.052931,162202.230219,180444.123941,1360661.51037,268594.073962
2052,106569.311932,99267.7430971,,-1130161.3667,137435.351684,160374.258839,178223.504768,1337134.19733,264064.847233
2053,106569.311932,98519.582914,,-1133073.30258,135031.34658,158589.130553,176054.931375,1314158.30589,259641.774292
2054,106569.311932,97788.9577303,,-1135916.98998,132683.68533,156845.841199,173937.183907,1291720.91175,255322.367093
2055,106569.311932,97075.4565747,,-1138694.02846,130391.047391,155143.410191,171869.071147,1269809.39405,251104.196004
2056,106569.311932,96378.6781028,,-1141405.98009,128152.143155,153480.87991,169849.42978,1248411.42756,246984.888301
2057,106569.311932,95698.2303742,,-1144054.37037,125965.713231,151857.315177,167877.123751,1227514.97584,242962.12686
2058,106569.311932,95033.7306455,,-1146640.68898,123830.527778,150271.802758,165951.043664,1207108.28489,239033.648927
2059,106569.311932,94384.8051242,,-1149166.39076,121745.385718,148723.450775,164070.106064,1187179.87562,235197.244667
2060,106569.311932,93751.0887927,,-1151632.89642,119709.114168,147211.388286,162233.252932,1167718.53837,231450.756118
2061,106569.311932,93132.2251928,,-1154041.59333,117720.567749,145734.764773,160439.451061,1148713.32637,227792.075926
2062,106569.311932,92527.8662036,,-1156393.83642,115778.627871,144292.749613,158687.691407,1130153.54888,224219.146021
2063,106569.311932,91937.6718799,,-1158690.94881,113882.202214,142884.531686,156976.988624,1112028.76622,220729.95667
2064,106569.311932,91361.3102372,,-1160934.22263,112030.224038,141509.318872,155306.380443,1094328.7832,217322.545204
2065,106569.311932,90798.4570755,,-1163124.91969,110221.651617,140166.337619,153674.927155,1077043.64369,213994.994975
2066,106569.311932,90248.7957719,,-1165264.27234,108455.467571,138854.832459,152081.711017,1060163.62424,210745.434127
2067,106569.311932,89712.0171652,,-1167353.48388,106730.678495,137574.065725,150525.83591,1043679.23056,207572.034921
2068,106569.311932,89187.8193027,,-1169393.72953,105046.31415,136323.316951,149006.426614,1027581.18972,204473.012233
2069,106569.311932,88675.907333,,-1171386.15691,103401.427111,135101.882614,147522.628489,1011860.44687,201446.622922
2070,106569.311932,88175.9932982,,-1173331.88678,101795.092107,133909.07564,146073.606877,996508.158882,198491.164599
