year,Base case diesel consumed,Elfin cove (joe's creek),Elfin cove hydroelectric permitting -- crooked creek,Ernie's creek (elfin cove),"Crooked creek and jim's lake (elfin cove) -- crooked creek, jim's lake",Crooked creek (elfin cove),Roy's creek (elfin cove),Wood (wood lake),"Elfin cove (margaret creek; 58.07', 136.20')"
2041,20282.1544474,9277.97073428,4611.49068909,-2849.55888931,-2849.55888931,8748.3576144,7571.43957021,-2849.55888931,-2849.55888931
2042,20282.1544474,9277.97073428,4611.49068909,-2849.55888931,-2849.55888931,8748.3576144,7571.43957021,-2849.55888931,-2849.55888931
2043,20198.3438918,9194.16017871,4527.68013352,-2933.36944487,-2933.36944487,8664.54705883,7487.62901465,-2933.36944487,-2933.36944487
2044,20198.3438918,9194.16017871,4527.68013352,-2933.36944487,-2933.36944487,8664.54705883,7487.62901465,-2933.36944487,-2933.36944487
2045,20282.1544474,9277.97073428,4611.49068909,-2849.55888931,-2849.55888931,8748.3576144,7571.43957021,-2849.55888931,-2849.55888931
2046,20282.1544474,9277.97073428,4611.49068909,-2849.55888931,-2849.55888931,8748.3576144,7571.43957021,-2849.55888931,-2849.55888931
2047,20365.965003,9361.78128985,4695.30124466,-2765.74833374,-2765.74833374,8832.16816997,7655.25012578,-2765.74833374,-2765.74833374
2048,20365.965003,9361.78128985,4695.30124466,-2765.74833374,-2765.74833374,8832.16816997,7655.25012578,-2765.74833374,-2765.74833374
2049,20449.7755585,9445.59184542,4779.11180022,-2681.93777817,-2681.93777817,8915.97872554,7739.06068135,-2681.93777817,-2681.93777817
2050,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2051,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2052,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2053,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2054,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2055,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2056,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2057,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2058,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2059,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2060,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2061,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2062,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2063,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2064,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2065,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2066,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2067,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2068,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2069,20533.5861141,9529.40240099,4862.92235579,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
2070,20533.5861141,9529.40240099,,-2598.1272226,-2598.1272226,8999.7892811,7822.87123692,-2598.1272226,-2598.1272226
