year,Base case diesel consumed,Chignik lake -- unnamed creek 1,Chignik lake (cucumber creek),"Chignik lake (unnamed stream, site #6) -- unnamed creek 2",Chignik lagoon (through creek),Chignik hydroelectric dam project -- packers creek,Chignik (mud bay lake creek),Chignik lagoon (crazy creek),Chignik bay (negro creek),Chignik (indian creek),"Chignik (snowbird creek, 1)"
2049,66157.3312437,42073.9979104,42073.9979104,42073.9979104,66157.3312437,66157.3312437,66157.3312437,66157.3312437,-1564.53148211,-1564.53148211,61726.7702876
2050,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2051,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2052,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2053,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2054,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2055,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2056,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2057,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2058,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2059,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2060,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2061,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2062,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2063,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2064,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2065,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2066,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2067,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2068,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2069,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,66082.8297446,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
2070,66082.8297446,41999.4964112,41999.4964112,41999.4964112,66082.8297446,,66082.8297446,66082.8297446,-1639.03298126,-1639.03298126,61652.2687884
