year,Base case cost,Elfin cove (joes creek),Elfin cove hydroelectric permitting -- crooked creek,Ernies creek (elfin cove),"Crooked creek and jims lake (elfin cove) -- crooked creek, jims lake",Crooked creek (elfin cove),Roys creek (elfin cove),Wood (wood lake),"Elfin cove (margaret creek; 58.07, 136.20)"
2055,99892.3303323,96044.4410465,,52794.7916048,146314.080231,160466.516206,179639.820478,1411478.07062,279265.167834
2056,99892.3303323,95241.1101625,,49668.1242447,143732.799391,158549.749293,177311.332515,1386807.8949,274515.9294
2057,99892.3303323,94456.6073471,,46614.7381548,141212.017324,156677.906608,175037.418492,1362715.92646,269878.001249
2058,99892.3303323,93690.4913133,,43632.9157892,138750.316077,154849.935228,172816.799319,1339188.61343,265348.77452
2059,99892.3303323,92942.3311302,,40720.9799092,136346.310973,153064.806942,170648.225927,1316212.72198,260925.701578
2060,99892.3303323,92211.7059465,,37877.2925072,133998.649723,151321.517588,168530.478459,1293775.32784,256606.29438
2061,99892.3303323,91498.2047909,,35100.2540303,131706.011784,149619.08658,166462.365698,1271863.81014,252388.12329
2062,99892.3303323,90801.426319,,32388.3023942,129467.107548,147956.556299,164442.724331,1250465.84365,248268.815588
2063,99892.3303323,90120.9785904,,29739.9121163,127280.677624,146332.991567,162470.418303,1229569.39193,244246.054147
2064,99892.3303323,89456.4788617,,27153.5935096,125145.492171,144747.479147,160544.338215,1209162.70098,240317.576214
2065,99892.3303323,88807.5533404,,24627.8917262,123060.350111,143199.127164,158663.400615,1189234.29171,236481.171953
2066,99892.3303323,88173.8370089,,22161.3860698,121024.078561,141687.064675,156826.547483,1169772.95446,232734.683405
2067,99892.3303323,87554.973409,,19752.6891599,119035.532142,140210.441162,155032.745612,1150767.74246,229076.003212
2068,99892.3303323,86950.6144198,,17400.4460644,117093.592264,138768.426002,153280.985958,1132207.96497,225503.073307
2069,99892.3303323,86360.4200961,,15103.3336728,115197.166607,137360.208076,151570.283176,1114083.18231,222013.883957
2070,99892.3303323,85784.0584534,,12860.0598591,113345.188431,135984.995261,149899.674994,1096383.19929,218606.472491
