year,Base case diesel consumed,Elfin cove (joes creek),Elfin cove hydroelectric permitting -- crooked creek,Ernies creek (elfin cove),"Crooked creek and jims lake (elfin cove) -- crooked creek, jims lake",Crooked creek (elfin cove),Roys creek (elfin cove),Wood (wood lake),"Elfin cove (margaret creek; 58.07, 136.20)"
2050,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2051,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2052,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2053,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2054,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2055,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2056,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2057,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2058,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2059,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2060,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2061,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2062,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2063,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2064,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2065,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2066,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2067,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2068,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2069,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2070,19247.0771353,8481.4253066,,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
