year,Base case diesel consumed,Adak hydroelectric project -- mount reed creek,Adak hydroelectric project -- mount moffet creek,Adak hydroelectric project -- heart lake,Adak hydroelectric project -- lake betty,Adak hydroelectric project -- lake bonnie rose,Adak hydroelectric project -- lake demarie,"Adak (unnamed stream, site #2) -- unnamed creek, 2","Adak (unnamed stream, site #1) -- unnamed creek, 1",Adak hydroelectric feasibility study – phase ii--option 1
2061,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2062,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2063,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2064,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2065,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2066,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2067,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2068,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2069,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2070,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
