year,Base case diesel consumed,Adak hydroelectric project -- mount reed creek,Adak hydroelectric project -- mount moffet creek,Adak hydroelectric project -- heart lake,Adak hydroelectric project -- lake betty,Adak hydroelectric project -- lake bonnie rose,Adak hydroelectric project -- lake demarie,"Adak (unnamed stream, site #2) -- unnamed creek, 2","Adak (unnamed stream, site #1) -- unnamed creek, 1",Adak hydroelectric feasibility study  phase ii--option 1
2036,181321.539051,101629.250962,81706.1789203,139261.720335,134834.370992,52485.6499841,163612.141692,114247.196561,136826.678201,52866.9593755
2037,181476.91312,101784.625032,81861.5529897,139417.094405,134989.745062,52641.0240536,163767.515761,114402.57063,136982.05227,53022.3334449
2038,181554.600155,101862.312067,81939.2400244,139494.781439,135067.432097,52718.7110883,163845.202796,114480.257665,137059.739305,53100.0204797
2039,181709.974224,102017.686136,82094.6140939,139650.155509,135222.806166,52874.0851578,164000.576865,114635.631735,137215.113374,53255.3945491
2040,181787.661259,102095.373171,82172.3011286,139727.842543,135300.493201,52951.7721925,164078.2639,114713.318769,137292.800409,53333.0815838
2041,181943.035328,102250.74724,82327.6751981,139883.216613,135455.86727,53107.1462619,164233.63797,114868.692839,137448.174478,53488.4556533
2042,182020.722363,102328.434275,82405.3622328,139960.903648,135533.554305,53184.8332967,164311.325004,114946.379873,137525.861513,53566.142688
2043,182176.096433,102483.808344,82560.7363022,140116.277717,135688.928374,53340.2073661,164466.699074,115101.753943,137681.235583,53721.5167575
2044,182253.783467,102561.495379,82638.423337,140193.964752,135766.615409,53417.8944008,164544.386109,115179.440978,137758.922617,53799.2037922
2045,182331.470502,102639.182414,82716.1103717,140271.651787,135844.302444,53495.5814356,164622.073143,115257.128012,137836.609652,53876.8908269
2046,182409.157537,102716.869449,82793.7974064,140349.338821,135921.989479,53573.2684703,164699.760178,115334.815047,137914.296687,53954.5778616
2047,182486.844571,102794.556483,82871.4844411,140427.025856,135999.676513,53650.955505,164777.447213,115412.502082,137991.983722,54032.2648964
2048,182564.531606,102872.243518,82949.1714759,140504.712891,136077.363548,53728.6425397,164855.134247,115490.189117,138069.670756,54109.9519311
2049,182564.531606,102872.243518,82949.1714759,140504.712891,136077.363548,53728.6425397,164855.134247,115490.189117,138069.670756,54109.9519311
2050,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2051,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2052,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2053,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2054,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2055,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2056,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2057,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2058,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2059,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2060,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2061,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2062,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2063,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2064,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2065,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2066,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2067,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2068,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2069,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
2070,182642.218641,102949.930553,83026.8585106,140582.399925,136155.050583,53806.3295745,164932.821282,115567.876151,138147.357791,54187.6389658
