year,Base case cost,Adak hydroelectric project -- mount reed creek,Adak hydroelectric project -- mount moffet creek,Adak hydroelectric project -- heart lake,Adak hydroelectric project -- lake betty,Adak hydroelectric project -- lake bonnie rose,Adak hydroelectric project -- lake demarie,"Adak (unnamed stream, site #2) -- unnamed creek, 2","Adak (unnamed stream, site #1) -- unnamed creek, 1",Adak hydroelectric feasibility study  phase ii--option 1
2037,1186859.0118,1151222.72662,1133411.19979,1166929.92242,1188821.89868,619147.127247,1282445.76138,1255487.45823,1289711.99393,648153.348859
2038,1214600.27504,1156544.67465,1133293.025,1182859.51005,1203064.31273,620081.277338,1303289.97216,1262534.50124,1302664.78724,648661.275401
2039,1235627.82472,1158727.381,1130925.3662,1193961.42484,1212687.98703,619859.254095,1318259.67889,1265919.10928,1310952.8408,648008.429365
2040,1267059.99897,1166526.69989,1132973.54713,1212940.48314,1229932.91287,622085.228428,1342613.83798,1275720.19425,1327024.19173,649838.701178
2041,1268142.95624,1158404.71314,1122703.71877,1209184.59183,1225254.31152,617076.169854,1339867.78579,1267356.33792,1320852.67071,644376.830361
2042,1268684.43487,1149956.98862,1112158.49269,1205000.63241,1220169.26807,611668.414266,1336669.99737,1258672.41264,1314309.69789,638526.875316
2043,1269767.39213,1142261.42722,1102414.58993,1201468.90409,1215757.57488,606941.572511,1334101.32667,1250746.18644,1308474.24556,633368.198155
2044,1270308.87077,1134230.13369,1092382.96302,1197503.85382,1210933.18392,601809.419267,1331076.76236,1242489.63431,1302259.4648,627814.330647
2045,1270850.3494,1126399.76453,1082599.14332,1193644.42533,1206234.55554,596810.241791,1328135.77719,1234439.28606,1296203.03389,622403.322836
2046,1271391.82803,1118765.61055,1073057.32278,1189888.1431,1201658.74216,591940.923435,1325276.41226,1226590.30875,1290301.24149,617131.826419
2047,1271933.30666,1111323.07298,1063751.82959,1186232.58965,1197202.86533,587198.420648,1322496.75461,1218937.98276,1284550.46326,611996.571619
2048,1272474.7853,1104067.66078,1054677.12481,1182675.40414,1192864.11401,582579.761174,1319794.93609,1211477.69907,1278947.1598,606994.365259
2049,1272474.7853,1096453.50952,1045286.3206,1178672.8024,1188098.26441,577540.563758,1316627.65369,1203663.47798,1272946.39598,601580.610332
2050,1273016.26393,1089559.2936,1036657.09206,1175305.4903,1183985.59307,573160.951198,1314076.08312,1196573.88137,1267627.75374,596835.218955
2051,1273016.26393,1082297.87316,1027701.32336,1171488.31185,1179440.52475,568355.198087,1311055.52726,1189121.65948,1261904.97946,591672.25997
2052,1273016.26393,1075206.64225,1018955.45547,1167760.59852,1175001.98146,563662.079812,1308105.76568,1181844.09903,1256316.33269,586630.307832
2053,1273016.26393,1068281.61209,1010414.5689,1164120.25349,1170667.46654,559078.956513,1305225.13915,1174737.10643,1250858.66986,581706.526466
2054,1273016.26393,1061518.88727,1002073.85928,1160565.22901,1166434.54179,554603.250129,1302412.02728,1167796.68391,1245528.92095,576898.146185
2055,1273016.26393,1054914.66384,993928.635073,1157093.52543,1162300.82622,550232.443128,1299664.84773,1161018.92756,1240324.08805,572202.462332
2056,1273016.26393,1048465.22689,985974.314566,1153703.18991,1158263.99461,545964.076919,1296982.0552,1154400.02489,1235241.24342,567616.833574
2057,1273016.26393,1042166.94864,978206.423455,1150392.31537,1154321.77625,541795.750549,1294362.14062,1147936.25275,1230277.52797,563138.680496
2058,1273016.26393,1036016.28625,970620.592261,1147159.03945,1150471.95362,537725.119312,1291803.63028,1141623.97525,1225430.14959,558765.484112
2059,1273016.26393,1030009.78006,963212.554046,1144001.54346,1146712.36124,533749.893527,1289305.08505,1135459.6418,1220696.38167,554494.784554
2060,1273016.26393,1024144.05133,955978.141679,1140918.05126,1143040.88427,529867.83707,1286865.09946,1129439.78488,1216073.56141,550324.179488
2061,1273016.26393,1018415.80061,948913.285855,1137906.82841,1139455.45755,526076.766313,1284482.30103,1123561.01836,1211559.0885,546251.322982
2062,1273016.26393,1012821.80577,942014.012594,1134966.1811,1135954.06427,522374.548779,1282155.34943,1117820.03543,1207150.42355,542273.924051
2063,1273016.26393,1007358.92017,935276.441028,1132094.4552,1132534.73489,518759.101958,1279882.93576,1112213.60677,1202845.08667,538389.745396
2064,1273016.26393,1002024.071,928696.781358,1129290.0354,1129195.54607,515228.392204,1277663.78181,1106738.57883,1198640.65617,534596.602214
2065,1273016.26393,996814.257323,922271.332412,1126551.34417,1125934.61946,511780.433434,1275496.63926,1101391.87183,1194534.76697,530892.360797
2066,1273016.26393,991726.548633,915996.479904,1123876.841,1122750.12081,508413.286186,1273380.28911,1096170.47824,1190525.10954,527274.937525
2067,1273016.26393,986758.083156,909868.694303,1121265.02153,1119640.25887,505125.05648,1271313.54093,1091071.46112,1186609.42848,523742.297641
2068,1273016.26393,981906.066049,903884.528628,1118714.41655,1116603.2843,501913.89463,1269295.23214,1086091.95216,1182785.52117,520292.453976
2069,1273016.26393,977167.768106,898040.616852,1116223.59139,1113637.48883,498777.994395,1267324.22747,1081229.15046,1179051.2367,516923.466031
2070,1273016.26393,972540.524034,892333.671774,1113791.14494,1110741.20419,495715.59183,1265399.41823,1076480.32069,1175404.47453,513633.438751
